x,y
69, 75
69, 74
68, 75
69, 75
69, 74
69, 74
33, 6
33, 7
34, 7
35, 7
34, 6
33, 6
33, 5
34, 6
33, 7
33, 6
33, 6
33, 18
34, 17
34, 18
33, 18
32, 18
32, 19
31, 18
31, 19
31, 19
33, 62
32, 62
31, 62
32, 62
32, 63
32, 63
14, 29
15, 30
15, 31
16, 32
17, 32
17, 32
19, 60
20, 59
19, 60
20, 61
19, 62
18, 62
17, 63
17, 63
70, 69
70, 68
69, 69
68, 70
69, 69
68, 69
69, 69
68, 70
67, 70
67, 70
35, 9
35, 10
35, 11
35, 12
35, 13
35, 12
34, 11
33, 11
34, 12
33, 12
33, 12
18, 33
18, 32
18, 33
19, 32
18, 31
19, 30
18, 29
17, 28
18, 28
18, 28
60, 84
61, 83
60, 84
59, 85
60, 86
61, 87
61, 86
60, 85
61, 85
61, 85
18, 63
18, 62
18, 63
19, 62
18, 62
19, 63
19, 63
67, 69
67, 68
66, 67
65, 67
65, 68
65, 67
66, 68
65, 67
64, 66
64, 66
61, 84
62, 85
61, 84
62, 83
62, 82
61, 83
61, 83
32, 6
32, 5
32, 6
31, 6
32, 7
33, 6
32, 6
31, 7
32, 7
32, 7
16, 32
15, 33
16, 33
15, 32
16, 32
15, 33
15, 32
14, 33
14, 32
15, 32
15, 32
32, 11
31, 11
31, 10
30, 9
30, 8
30, 8
18, 27
18, 28
17, 29
18, 28
17, 29
17, 29
33, 64
34, 64
34, 63
33, 64
34, 63
34, 63
70, 75
71, 76
70, 77
71, 76
70, 76
69, 76
68, 76
68, 77
68, 76
69, 76
69, 76
31, 20
30, 20
30, 19
29, 18
28, 18
28, 17
28, 16
28, 16
31, 6
30, 5
30, 6
31, 7
30, 8
30, 8
35, 64
35, 65
34, 64
35, 63
35, 62
35, 62
69, 77
69, 78
68, 77
69, 77
68, 77
68, 77
18, 62
19, 63
20, 63
21, 62
22, 61
21, 62
22, 63
22, 63
29, 15
30, 15
30, 16
30, 17
31, 16
30, 15
31, 16
32, 15
33, 15
33, 15
15, 31
14, 30
15, 30
14, 29
15, 28
15, 28
16, 29
17, 29
16, 29
17, 30
16, 31
15, 32
14, 33
14, 33
65, 65
64, 64
63, 63
63, 62
64, 62
64, 63
64, 62
64, 62
61, 82
61, 81
62, 82
62, 81
61, 81
62, 82
62, 82
31, 7
31, 6
30, 5
29, 6
28, 5
28, 6
28, 6
15, 33
16, 33
16, 32
15, 31
15, 30
14, 29
15, 28
16, 28
16, 29
16, 29
32, 16
33, 17
33, 16
33, 17
34, 18
33, 18
32, 19
31, 18
31, 18
29, 6
29, 7
30, 6
30, 5
31, 6
31, 6
16, 27
16, 26
15, 27
16, 26
17, 27
16, 28
15, 28
15, 27
15, 27
61, 81
60, 81
61, 81
62, 80
61, 81
62, 81
62, 81
