Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
0,334,0,0,38,60,56,59,110,11,1.0745341614906831:1,99,
1,334,0,0,38,60,56,57,112,11,1.08125:1,100,
2,334,0,0,38,60,55,57,113,11,1.08125:1,100,
3,333,0,1,37,60,55,57,113,11,1.075:1,100,
4,333,0,1,37,60,55,56,114,11,1.0817610062893082:1,100,
5,333,0,1,35,60,57,55,115,11,1.0817610062893082:1,100,
6,333,0,1,34,60,58,55,114,12,1.0817610062893082:1,99,
7,332,0,2,34,60,58,55,113,12,1.0754716981132075:1,98,
8,330,0,4,34,60,57,56,111,12,1.0759493670886076:1,96,
9,329,0,5,33,60,58,55,111,12,1.0696202531645569:1,95,
10,328,0,6,31,61,59,55,110,12,1.0632911392405062:1,94,
11,328,0,6,29,63,58,56,110,12,1.0632911392405062:1,94,
12,328,0,6,29,62,59,56,110,12,1.0632911392405062:1,94,
13,328,0,6,27,62,61,56,110,12,1.0632911392405062:1,94,
14,326,0,8,26,62,62,55,109,12,1.0769230769230769:1,93,
15,326,0,8,26,62,61,56,109,12,1.0769230769230769:1,93,
16,326,0,8,25,63,61,55,110,12,1.0838709677419356:1,93,
17,326,0,8,23,65,61,55,110,12,1.0838709677419356:1,93,
18,350,24,8,45,67,60,56,110,12,1.103030303030303:1,93,
19,350,24,8,45,67,60,56,110,12,1.103030303030303:1,93,
20,351,25,8,46,67,60,56,110,12,1.1090909090909091:1,93,
21,350,25,9,46,67,59,56,110,12,1.103030303030303:1,93,
22,350,25,9,45,68,58,57,110,12,1.103030303030303:1,93,
23,349,25,10,45,68,56,59,109,12,1.096969696969697:1,92,
24,349,25,10,45,68,56,59,109,12,1.096969696969697:1,92,
25,349,25,10,45,67,56,60,109,12,1.096969696969697:1,92,
26,348,25,11,44,68,56,59,109,12,1.103658536585366:1,92,
27,347,25,12,44,68,56,59,108,12,1.0975609756097562:1,91,
28,346,25,13,43,68,57,59,107,12,1.0914634146341464:1,90,
29,346,25,13,42,69,57,58,108,12,1.0914634146341464:1,90,
30,346,25,13,41,70,57,58,108,12,1.0914634146341464:1,90,
31,346,25,13,41,69,58,58,108,12,1.0914634146341464:1,90,
32,346,25,13,41,69,57,59,107,13,1.0914634146341464:1,89,
33,346,25,13,41,66,59,60,107,13,1.0914634146341464:1,89,
34,345,25,14,41,66,59,59,107,13,1.098159509202454:1,90,
35,345,25,14,41,66,59,58,108,13,1.1049382716049383:1,90,
36,345,25,14,41,66,59,57,109,13,1.1049382716049383:1,91,
37,344,25,15,41,65,60,56,109,13,1.0987654320987654:1,91,
38,344,25,15,41,64,60,56,110,13,1.0987654320987654:1,91,
39,344,25,15,41,64,60,56,110,13,1.0987654320987654:1,91,
40,344,25,15,41,62,62,56,110,13,1.0987654320987654:1,91,
41,344,25,15,40,63,62,56,110,13,1.0987654320987654:1,91,
42,343,25,16,39,64,61,56,110,13,1.0925925925925926:1,91,
43,342,25,17,38,64,61,56,110,13,1.0993788819875776:1,91,
44,342,25,17,37,65,61,56,110,13,1.0993788819875776:1,91,
45,342,25,17,37,65,61,56,110,13,1.0993788819875776:1,91,
46,342,25,17,36,66,61,56,110,13,1.0993788819875776:1,91,
47,341,25,18,36,66,61,56,109,13,1.10625:1,90,
48,349,33,18,44,65,62,56,108,14,1.0909090909090908:1,89,
49,348,33,19,43,66,62,55,108,14,1.0975609756097562:1,90,
50,349,34,19,44,66,62,55,108,14,1.0909090909090908:1,90,
51,350,35,19,45,66,62,54,108,15,1.096969696969697:1,90,
52,350,35,19,45,66,62,54,108,15,1.096969696969697:1,90,
53,349,35,20,44,66,63,53,108,15,1.0909090909090908:1,90,
54,349,35,20,43,67,63,53,108,15,1.0909090909090908:1,90,
55,349,35,20,43,67,63,53,108,15,1.0909090909090908:1,90,
56,349,35,20,42,68,61,55,108,15,1.0909090909090908:1,90,
57,348,35,21,40,68,62,55,108,15,1.0975609756097562:1,90,
58,348,35,21,40,67,63,55,108,15,1.0975609756097562:1,90,
59,346,35,23,39,68,63,55,107,14,1.098159509202454:1,89,
60,345,35,24,39,67,63,56,106,14,1.1049382716049383:1,88,
61,345,35,24,38,67,64,54,108,14,1.1049382716049383:1,89,
62,345,35,24,38,67,64,53,109,14,1.1049382716049383:1,90,
63,345,35,24,38,66,65,53,109,14,1.1049382716049383:1,90,
64,345,35,24,38,66,65,53,109,14,1.1049382716049383:1,90,
65,344,35,25,38,66,65,53,108,14,1.1118012422360248:1,89,
66,344,35,25,38,66,65,53,108,14,1.1118012422360248:1,89,
67,344,35,25,37,66,66,53,108,14,1.1118012422360248:1,89,
68,344,35,25,37,66,66,53,108,14,1.1118012422360248:1,89,
69,344,35,25,36,67,66,53,108,14,1.1118012422360248:1,89,
70,344,35,25,35,68,66,53,108,14,1.1118012422360248:1,89,
71,344,35,25,34,69,66,53,108,14,1.1118012422360248:1,89,
72,344,35,25,33,70,66,53,108,14,1.1118012422360248:1,89,
73,343,35,26,33,70,66,52,108,14,1.11875:1,89,
74,343,35,26,33,69,66,53,108,14,1.11875:1,89,
75,343,35,26,33,69,66,53,108,14,1.11875:1,89,
76,342,35,27,33,69,66,53,107,14,1.1257861635220126:1,89,
77,342,35,27,33,69,66,53,107,14,1.1257861635220126:1,89,
78,341,35,28,33,69,65,53,107,14,1.119496855345912:1,89,
79,341,35,28,33,69,65,53,107,14,1.119496855345912:1,89,
80,340,35,29,33,69,64,53,107,14,1.1265822784810127:1,89,
81,340,35,29,33,67,66,52,108,14,1.1265822784810127:1,90,
82,340,35,29,33,67,66,51,109,14,1.1337579617834395:1,90,
83,340,35,29,33,67,66,51,109,14,1.1337579617834395:1,90,
84,339,35,30,33,67,65,52,108,14,1.127388535031847:1,89,
85,339,35,30,33,67,64,52,109,14,1.127388535031847:1,90,
86,339,35,30,33,67,64,50,111,14,1.127388535031847:1,92,
87,339,35,30,33,67,64,50,111,14,1.127388535031847:1,92,
88,339,35,30,33,66,65,50,110,15,1.127388535031847:1,91,
89,339,35,30,33,65,66,50,110,15,1.127388535031847:1,91,
90,339,35,30,33,64,66,49,112,15,1.127388535031847:1,92,
91,353,49,30,24,87,65,50,112,15,1.0838323353293413:1,92,
92,353,49,30,24,86,65,51,112,15,1.0838323353293413:1,92,
93,353,50,31,24,87,64,51,112,15,1.0714285714285714:1,92,
94,355,52,31,26,86,65,51,111,16,1.0710059171597632:1,91,
95,354,52,32,26,85,66,51,110,16,1.0650887573964498:1,90,
96,355,53,32,27,85,65,52,110,16,1.0588235294117647:1,90,
97,354,53,33,27,85,65,52,110,15,1.0529411764705883:1,90,
98,353,53,34,27,85,65,52,109,15,1.0470588235294118:1,89,
99,353,53,34,27,84,66,51,110,15,1.0470588235294118:1,90,
100,353,53,34,27,84,66,51,110,15,1.0470588235294118:1,90,
101,352,53,35,27,84,65,51,110,15,1.0411764705882354:1,90,
102,352,53,35,27,82,67,51,110,15,1.0411764705882354:1,90,
103,352,53,35,27,82,67,50,111,15,1.0411764705882354:1,91,
104,351,53,36,27,82,67,50,110,15,1.035294117647059:1,90,
105,350,53,37,27,82,65,52,109,15,1.0414201183431953:1,89,
106,349,53,38,27,81,66,51,109,15,1.0355029585798816:1,89,
107,349,53,38,27,81,66,51,109,15,1.0355029585798816:1,89,
108,349,53,38,27,80,67,51,109,15,1.0355029585798816:1,89,
109,349,53,38,27,79,68,51,109,15,1.0355029585798816:1,89,
110,347,53,40,27,78,68,52,107,15,1.0357142857142858:1,87,
111,347,53,40,27,78,68,52,107,15,1.0357142857142858:1,87,
112,346,53,41,27,77,69,52,106,15,1.0297619047619047:1,86,
113,346,53,41,27,76,69,53,106,15,1.0297619047619047:1,86,
114,346,53,41,27,75,69,53,107,15,1.0297619047619047:1,86,
115,346,53,41,27,75,69,53,107,15,1.0297619047619047:1,86,
116,346,53,41,27,75,68,54,107,15,1.0297619047619047:1,86,
117,346,53,41,27,74,69,54,107,15,1.0297619047619047:1,86,
118,346,53,41,27,74,69,52,109,15,1.0297619047619047:1,87,
119,346,53,41,27,74,69,52,109,15,1.0297619047619047:1,87,
120,345,53,42,27,73,69,52,109,15,1.0238095238095237:1,87,
121,358,66,42,33,79,70,52,109,15,1.028735632183908:1,87,
122,358,66,42,33,78,71,52,108,16,1.028735632183908:1,86,
123,357,66,43,32,78,72,52,107,16,1.0229885057471264:1,85,
124,357,66,43,31,79,72,52,107,16,1.0229885057471264:1,85,
125,357,66,43,31,79,72,52,107,16,1.0229885057471264:1,85,
126,357,66,43,31,78,73,52,107,16,1.0229885057471264:1,85,
127,357,66,43,31,78,73,52,107,16,1.0229885057471264:1,85,
128,357,66,43,31,78,73,52,107,16,1.0229885057471264:1,85,
129,357,66,43,31,78,73,52,107,16,1.0229885057471264:1,85,
130,357,66,43,31,76,75,52,107,16,1.0229885057471264:1,85,
131,357,66,43,31,75,76,51,108,16,1.0229885057471264:1,86,
132,357,66,43,31,74,77,51,108,16,1.0229885057471264:1,86,
133,356,66,44,31,74,76,52,108,15,1.0172413793103448:1,86,
134,355,66,45,31,74,76,52,107,15,1.023121387283237:1,85,
135,355,66,45,31,72,78,52,107,15,1.023121387283237:1,85,
136,355,66,45,31,71,79,50,109,15,1.0290697674418605:1,86,
137,355,66,45,31,71,79,50,109,15,1.0290697674418605:1,86,
138,354,66,46,31,71,79,50,109,14,1.0350877192982457:1,86,
139,353,66,47,31,70,80,50,108,14,1.0411764705882354:1,86,
140,353,66,47,31,70,80,49,109,14,1.0411764705882354:1,86,
141,353,66,47,31,70,80,48,110,14,1.0411764705882354:1,86,
142,352,66,48,31,70,80,47,110,14,1.035294117647059:1,86,
143,352,66,48,31,69,80,47,111,14,1.0414201183431953:1,86,
144,352,66,48,31,69,80,46,112,14,1.0414201183431953:1,86,
145,352,66,48,31,69,80,45,113,14,1.0414201183431953:1,87,
146,350,66,50,30,69,80,45,112,14,1.0416666666666667:1,87,
147,350,66,50,30,69,80,44,113,14,1.0479041916167664:1,87,
148,350,66,50,30,69,80,43,113,15,1.0542168674698795:1,86,
149,349,66,51,30,69,79,43,113,15,1.0606060606060606:1,86,
150,349,66,51,30,69,79,43,113,15,1.0606060606060606:1,86,
151,349,66,51,30,67,81,43,113,15,1.0606060606060606:1,86,
152,348,66,52,29,66,82,43,113,15,1.0670731707317074:1,86,
153,348,66,52,29,66,82,43,113,15,1.0670731707317074:1,86,
154,348,66,52,29,66,82,43,112,16,1.0670731707317074:1,85,
155,346,66,54,29,64,83,42,112,16,1.0674846625766872:1,85,
156,346,66,54,29,62,85,42,112,16,1.0674846625766872:1,85,
157,345,66,55,29,60,87,42,111,16,1.0740740740740742:1,84,
158,345,66,55,29,60,87,42,111,16,1.0740740740740742:1,84,
159,344,66,56,29,58,89,41,111,16,1.0679012345679013:1,84,
160,343,66,57,29,57,90,41,109,17,1.0617283950617284:1,82,
161,343,66,57,29,57,90,41,109,17,1.0617283950617284:1,82,
162,343,66,57,29,56,91,41,109,17,1.0617283950617284:1,82,
163,343,66,57,29,54,93,41,109,17,1.0617283950617284:1,82,
164,358,81,57,30,66,95,41,109,17,1.0650887573964498:1,82,
165,359,82,57,31,66,95,41,109,17,1.0710059171597632:1,82,
166,361,84,57,32,67,95,41,109,17,1.0705882352941176:1,82,
167,361,84,57,30,69,95,40,110,17,1.0769230769230769:1,82,
168,362,85,57,31,68,96,40,110,17,1.0828402366863905:1,82,
169,363,86,57,31,69,95,41,110,17,1.0887573964497042:1,82,
170,363,86,57,31,69,94,42,109,18,1.0887573964497042:1,81,
171,363,86,57,31,69,94,42,109,18,1.0887573964497042:1,81,
172,363,86,57,31,68,95,42,109,18,1.0887573964497042:1,81,
173,363,86,57,31,68,95,42,109,18,1.0887573964497042:1,81,
174,363,86,57,31,67,95,43,109,18,1.0887573964497042:1,81,
175,363,86,57,31,66,96,42,110,18,1.0952380952380953:1,81,
176,363,86,57,31,65,97,42,110,18,1.0952380952380953:1,81,
177,363,86,57,31,65,97,42,110,18,1.0952380952380953:1,81,
178,362,86,58,30,65,97,42,110,18,1.1017964071856288:1,81,
179,362,86,58,30,65,97,40,112,18,1.108433734939759:1,82,
180,361,86,59,29,65,97,39,113,18,1.1024096385542168:1,82,
181,361,86,59,29,65,97,39,113,18,1.1024096385542168:1,82,
182,360,86,60,29,65,97,39,112,18,1.0963855421686748:1,81,
183,360,86,60,29,65,97,39,112,18,1.0963855421686748:1,81,
184,360,86,60,29,65,96,40,112,18,1.0963855421686748:1,81,
185,360,86,60,29,65,95,41,112,18,1.0963855421686748:1,81,
186,359,86,61,29,65,95,41,111,18,1.0903614457831325:1,80,
187,359,86,61,29,64,96,41,111,18,1.0903614457831325:1,80,
188,358,86,62,29,63,96,41,111,18,1.096969696969697:1,80,
189,358,86,62,29,63,96,40,112,18,1.096969696969697:1,80,
190,355,86,65,29,60,97,39,111,19,1.1042944785276074:1,79,
191,355,86,65,29,60,97,39,111,19,1.1042944785276074:1,79,
192,353,86,67,29,59,98,39,109,19,1.1049382716049383:1,78,
193,353,86,67,29,59,97,40,109,19,1.1049382716049383:1,78,
194,358,91,67,24,69,97,40,109,19,1.1097560975609757:1,78,
195,358,91,67,24,68,98,40,109,19,1.1097560975609757:1,78,
196,358,91,67,24,68,98,40,108,20,1.1097560975609757:1,77,
197,358,91,67,24,68,98,39,109,20,1.1097560975609757:1,78,
198,358,91,67,24,68,97,39,110,20,1.1097560975609757:1,78,
199,358,91,67,24,68,97,38,111,20,1.1097560975609757:1,79,
