HH_ID,Question_I,Frequency,latitude,longitude,x,y,,Question,Frequency_,,House,House,House,House,House,House,,HH_ID,2_2_i,HH_ID,2_2_ii,,,,
2,Fuelwood,0.5,27.9925,108.784,86,79,,8.4i-a,3,,"108,46,58.704","27,59,32.502",108.7829733,27.99236167,86,78,,HH_ID,House_longitude,HH_ID,House_latitude,,,House,House
2,Bamboo,0.333333333,27.9943,108.784,87,79,,8.4i-c,2,,"108,46,58.704","27,59,32.502",108.7829733,27.99236167,86,78,,1,"108,46,38.848",1,"27,59,29.035",108.7774578,27.99139861,85,74
2,Fodder,1.666666667,27.9939,108.783,86,79,,8.4i-e,10,,"108,46,58.704","27,59,32.502",108.7829733,27.99236167,86,78,,2,"108,46,58.704",2,"27,59,32.502",108.7829733,27.99236167,86,78
3,Fuelwood,5,27.9912,108.785,85,79,,8.4i-a,30,,"108,46,41.773","27,59,27.201",108.7782703,27.99088917,85,75,,3,"108,46,41.773",3,"27,59,27.201",108.7782703,27.99088917,85,75
3,Bamboo,1.666666667,27.9912,108.784,85,79,,8.4i-c,10,,"108,46,41.773","27,59,27.201",108.7782703,27.99088917,85,75,,5,"108,46,37.982",5,"27,59,28.941",108.7772172,27.9913725,85,74
3,Fodder,4.166666667,27.9904,108.778,85,77,,8.4i-e,25,,"108,46,41.773","27,59,27.201",108.7782703,27.99088917,85,75,,6,"108,46,48.451",6,"27,59,30.043",108.7801253,27.99167861,85,76
5,Fuelwood,0.5,27.9926,108.777,86,77,,8.4i-a,3,,"108,46,37.982","27,59,28.941",108.7772172,27.9913725,85,74,,8,"108,46,53.995",8,"27,59,33.331",108.7816653,27.99259194,86,77
5,Fodder,5,27.9914,108.774,85,76,,8.4i-e,30,,"108,46,37.982","27,59,28.941",108.7772172,27.9913725,85,74,,9,"108,46,42.012",9,"27,59,27.287",108.7783367,27.99091306,85,75
6,Fuelwood,3.333333333,27.9943,108.782,87,78,,8.4i-a,20,,"108,46,48.451","27,59,30.043",108.7801253,27.99167861,85,76,,11,"108,46,40.727",11,"27,59,28.350",108.7779797,27.99120833,85,75
8,Fuelwood,6.666666667,27.9932,108.784,86,79,,8.4i-a,40,,"108,46,53.995","27,59,33.331",108.7816653,27.99259194,86,77,,14,"108,46,40.978",14,"27,59,23.636",108.7780494,27.98989889,85,75
8,Bamboo,0.833333333,27.993,108.784,86,79,,8.4i-c,5,,"108,46,53.995","27,59,33.331",108.7816653,27.99259194,86,77,,15,"108,46,42.434",15,"27,59,23.944",108.7784539,27.98998444,85,75
8,Fodder,10,27.9905,108.779,85,77,,8.4i-e,60,,"108,46,53.995","27,59,33.331",108.7816653,27.99259194,86,77,,16,"108,46,50.761",16,"27,59,30.003",108.7807669,27.9916675,85,76
9,Fuelwood,1.666666667,27.9918,108.783,86,79,,8.4i-a,10,,"108,46,42.012","27,59,27.287",108.7783367,27.99091306,85,75,,17,"108,46,39.826",17,"27,59,28.917",108.7777294,27.99136583,85,75
