with,,maxent,
,,,
61,65,55,96
63,65,52,95
62,65,53,95
61,65,53,95
62,65,53,95
61,65,54,95
61,65,55,95
53,65,56,95
54,65,53,94
56,65,53,94
55,65,53,94
51,65,54,94
51,65,55,94
59,65,56,94
52,65,57,94
54,65,62,94
54,65,62,94
54,65,62,94
53,65,63,94
61,65,63,94
59,65,63,94
47,65,64,94
56,65,64,94
44,65,64,94
64,65,65,94
64,65,65,94
64,65,65,94
42,65,65,94
60,65,65,94
58,65,65,94
65,65,66,94
55,65,66,94
41,65,66,94
48,65,66,94
39,65,66,94
51,65,66,94
51,65,66,94
39,65,66,94
64,65,66,94
41,65,66,94
43,65,66,94
40,65,67,94
55,65,67,94
58,65,67,94
49,65,67,94
39,65,67,94
42,65,67,94
53,65,68,94
47,65,68,94
47,65,68,94
49,65,68,94
49,65,68,94
43,65,68,94
44,65,69,94
44,65,69,94
57,65,69,94
58,65,69,94
58,65,69,94
60,65,69,94
59,65,53,93
50,65,53,93
51,65,53,93
51,65,54,93
45,65,55,93
62,65,56,93
61,65,57,93
60,65,58,93
52,65,58,93
52,65,58,93
62,65,59,93
61,65,59,93
53,65,59,93
52,65,59,93
52,65,59,93
53,65,59,93
52,65,60,93
50,65,60,93
49,65,60,93
50,65,61,93
51,65,61,93
52,65,61,93
48,65,61,93
48,65,61,93
50,65,61,93
50,65,61,93
55,65,61,93
51,65,61,93
52,65,61,93
52,65,61,93
52,65,61,93
50,65,61,93
51,65,61,93
52,65,61,93
50,65,61,93
50,65,61,93
49,65,61,93
50,65,61,93
51,65,61,93
50,65,61,93
50,65,62,93
49,65,62,93
49,65,62,93
53,65,62,93
49,65,62,93
49,65,62,93
49,65,62,93
49,65,62,93
49,65,62,93
49,65,62,93
48,65,62,93
48,65,62,93
52,65,62,93
51,65,62,93
55,65,62,93
40,65,62,93
48,65,63,93
38,65,63,93
38,65,63,93
43,65,63,93
44,65,63,93
44,65,63,93
49,65,63,93
39,65,63,93
41,65,63,93
48,65,63,93
46,65,63,93
43,65,64,93
35,65,64,93
35,65,64,93
43,65,64,93
53,65,64,93
53,65,64,93
42,65,65,93
45,65,65,93
47,65,65,93
54,65,65,93
58,65,65,93
58,65,65,93
51,65,65,93
56,65,65,93
58,65,65,93
53,65,65,93
54,65,65,93
54,65,65,93
59,65,65,93
52,65,65,93
34,65,65,93
49,65,65,93
38,65,66,93
59,65,66,93
54,65,66,93
50,65,66,93
58,65,66,93
52,65,66,93
44,65,66,93
55,65,66,93
56,65,66,93
58,65,66,93
58,65,66,93
58,65,67,93
61,65,67,93
62,65,67,93
42,65,67,93
43,65,67,93
44,65,67,93
45,65,67,93
45,65,67,93
67,65,67,93
66,65,67,93
66,65,67,93
44,65,68,93
32,65,68,93
31,65,68,93
32,65,68,93
32,65,68,93
67,65,68,93
66,65,68,93
31,65,68,93
30,65,68,93
30,65,68,93
30,65,68,93
31,65,69,93
32,65,69,93
32,65,69,93
33,65,69,93
33,65,69,93
32,65,69,93
34,65,70,93
34,65,71,93
58,65,72,93
57,65,73,93
57,65,53,92
43,65,53,92
46,65,53,92
53,65,53,92
56,65,53,92
56,65,53,92
59,65,54,92
58,65,55,92
57,65,56,92
56,65,57,92
55,65,57,92
54,65,57,92
53,65,57,92
52,65,57,92
51,65,57,92
50,65,58,92
50,65,58,92
46,65,58,92
46,65,59,92
43,65,59,92
64,65,59,92
66,65,59,92
60,65,59,92
60,65,59,92
60,65,60,92
60,65,60,92
66,65,60,92
48,65,60,92
54,65,60,92
44,65,60,92
43,65,61,92
42,65,61,92
41,65,61,92
40,65,61,92
39,65,61,92
38,65,61,92
37,65,61,92
36,65,61,92
35,65,61,92
35,65,61,92
65,65,61,92
51,65,61,92
54,65,61,92
36,65,61,92
35,65,61,92
33,65,61,92
35,65,62,92
35,65,62,92
35,65,62,92
60,65,62,92
60,65,62,92
58,65,62,92
59,65,63,92
59,65,63,92
42,65,63,92
41,65,63,92
41,65,63,92
57,65,63,92
58,65,63,92
61,65,63,92
62,65,63,92
60,65,63,92
60,65,63,92
58,65,63,92
56,65,63,92
55,65,63,92
54,65,63,92
53,65,63,92
53,65,64,92
63,65,64,92
54,65,64,92
53,65,64,92
52,65,64,92
63,65,64,92
63,65,64,92
64,65,64,92
64,65,64,92
66,65,64,92
54,65,64,92
55,65,65,92
40,65,65,92
41,65,65,92
41,65,65,92
43,65,65,92
64,65,65,92
63,65,66,92
63,65,66,92
64,65,66,92
63,65,66,92
63,65,66,92
27,65,66,92
26,65,67,92
63,65,67,92
56,65,67,92
38,65,67,92
38,65,67,92
46,65,67,92
56,65,67,92
56,65,67,92
50,65,67,92
46,65,67,92
36,65,67,92
41,65,68,92
51,65,68,92
41,65,68,92
41,65,68,92
37,65,68,92
46,65,68,92
42,65,68,92
41,65,68,92
42,65,68,92
46,65,68,92
47,65,68,92
44,65,68,92
46,65,68,92
46,65,68,92
48,65,68,92
48,65,68,92
32,65,69,92
31,65,69,92
31,65,69,92
51,65,69,92
50,65,69,92
49,65,69,92
51,65,69,92
52,65,69,92
53,65,69,92
29,65,69,92
27,65,69,92
27,65,69,92
28,65,69,92
27,65,69,92
29,65,69,92
30,65,69,92
58,65,70,92
59,65,70,92
59,65,70,92
59,65,70,92
51,65,70,92
51,65,70,92
27,65,71,92
27,65,72,92
51,65,73,92
51,65,73,92
58,65,73,92
59,65,74,92
60,65,53,91
60,65,53,91
52,65,53,91
52,65,53,91
27,65,53,91
61,65,53,91
62,65,53,91
62,65,53,91
25,65,53,91
55,65,53,91
55,65,53,91
54,65,54,91
52,65,54,91
28,65,54,91
29,65,55,91
62,65,56,91
63,65,57,91
64,65,57,91
63,65,57,91
63,65,58,91
27,65,58,91
26,65,58,91
25,65,58,91
55,65,58,91
55,65,58,91
54,65,59,91
55,65,59,91
54,65,59,91
54,65,59,91
21,65,59,91
62,65,59,91
62,65,60,91
54,65,60,91
20,65,60,91
57,65,60,91
47,65,60,91
57,65,60,91
57,65,61,91
62,65,61,91
62,65,61,91
63,65,61,91
63,65,61,91
38,65,61,91
38,65,62,91
55,65,62,91
60,65,62,91
50,65,63,91
65,65,63,91
46,65,63,91
55,65,64,91
40,65,64,91
45,65,64,91
40,65,64,91
50,65,64,91
56,65,64,91
58,65,64,91
58,65,64,91
59,65,64,91
59,65,64,91
59,65,64,91
58,65,65,91
60,65,65,91
59,65,65,91
42,65,65,91
42,65,65,91
58,65,65,91
57,65,65,91
39,65,65,91
38,65,65,91
38,65,65,91
38,65,65,91
39,65,65,91
42,65,65,91
44,65,65,91
44,65,65,91
43,65,65,91
44,65,66,91
42,65,66,91
41,65,66,91
45,65,66,91
54,65,66,91
54,65,66,91
65,65,66,91
63,65,66,91
63,65,66,91
51,65,66,91
43,65,66,91
43,65,66,91
63,65,66,91
46,65,66,91
61,65,66,91
61,65,66,91
47,65,67,91
54,65,67,91
52,65,67,91
44,65,67,91
56,65,67,91
45,65,67,91
48,65,67,91
49,65,67,91
59,65,67,91
50,65,67,91
