with,,without,
,,,
19,65,34,65
19,65,39,65
19,65,36,65
19,65,34,65
19,65,39,65
19,65,38,65
19,65,35,65
19,65,34,65
20,65,35,65
20,65,35,65
20,65,35,65
20,65,35,65
20,65,34,65
20,65,40,65
20,65,40,65
20,65,39,65
21,65,33,65
21,65,33,65
21,65,41,65
21,65,42,65
21,65,34,65
21,65,35,65
22,65,35,65
22,65,34,65
22,65,34,65
22,65,35,65
22,65,33,65
22,65,40,65
22,65,38,65
22,65,35,65
22,65,36,65
23,65,37,65
23,65,38,65
23,65,38,65
23,65,27,65
23,65,36,65
23,65,35,65
24,65,30,65
24,65,31,65
24,65,27,65
25,65,28,65
25,65,27,65
25,65,32,65
25,65,17,65
26,65,29,65
26,65,35,65
27,65,38,65
27,65,40,65
27,65,57,65
27,65,61,65
27,65,50,65
27,65,58,65
28,65,47,65
28,65,56,65
28,65,49,65
28,65,45,65
28,65,53,65
28,65,56,65
29,65,52,65
29,65,51,65
29,65,48,65
29,65,51,65
29,65,53,65
29,65,53,65
29,65,49,65
29,65,54,65
29,65,47,65
29,65,38,65
29,65,53,65
30,65,26,65
30,65,26,65
30,65,25,65
30,65,22,65
30,65,22,65
30,65,23,65
30,65,24,65
30,65,23,65
30,65,41,65
30,65,40,65
30,65,39,65
30,65,39,65
30,65,39,65
30,65,25,65
30,65,26,65
30,65,40,65
30,65,39,65
30,65,27,65
31,65,26,65
31,65,27,65
31,65,27,65
31,65,26,65
31,65,45,65
31,65,63,65
31,65,60,65
31,65,53,65
31,65,53,65
31,65,61,65
31,65,61,65
31,65,57,65
31,65,63,65
31,65,63,65
31,65,56,65
32,65,36,65
32,65,50,65
32,65,54,65
32,65,52,65
32,65,45,65
32,65,58,65
32,65,61,65
32,65,55,65
32,65,57,65
32,65,44,65
32,65,49,65
32,65,62,65
32,65,54,65
32,65,61,65
32,65,62,65
33,65,62,65
33,65,63,65
33,65,66,65
33,65,65,65
33,65,67,65
33,65,53,65
33,65,53,65
33,65,54,65
34,65,54,65
34,65,53,65
34,65,56,65
34,65,71,65
34,65,58,65
34,65,57,65
34,65,71,65
34,65,53,65
