with,,without,
,,,
61,65,61,94
63,65,61,94
62,65,63,93
61,65,64,93
62,65,64,93
61,65,62,93
61,65,60,93
53,65,65,93
54,65,64,93
56,65,64,93
55,65,65,92
51,65,65,92
51,65,65,92
59,65,66,92
52,65,67,92
54,65,68,92
54,65,69,92
54,65,69,92
53,65,70,92
61,65,69,92
59,65,68,92
47,65,64,92
56,65,63,92
44,65,63,92
64,65,65,92
64,65,64,92
64,65,64,92
42,65,59,92
60,65,59,92
58,65,60,92
65,65,61,92
55,65,62,92
41,65,59,92
48,65,65,92
39,65,66,92
51,65,63,92
51,65,69,91
39,65,69,91
64,65,68,91
41,65,69,91
43,65,69,91
40,65,69,91
55,65,66,91
58,65,66,91
49,65,65,91
39,65,66,91
42,65,61,91
53,65,61,91
47,65,66,91
47,65,65,91
49,65,70,91
49,65,71,91
43,65,71,91
44,65,71,91
44,65,71,91
57,65,68,91
58,65,68,91
58,65,69,91
60,65,69,91
59,65,68,91
50,65,65,91
51,65,66,91
51,65,66,91
45,65,66,91
62,65,66,91
61,65,65,91
60,65,63,91
52,65,60,91
52,65,58,91
62,65,58,91
61,65,58,91
53,65,59,91
52,65,59,91
52,65,53,91
53,65,54,91
52,65,53,91
50,65,53,91
49,65,63,91
50,65,63,91
51,65,63,91
52,65,63,91
48,65,63,91
48,65,63,91
50,65,54,91
50,65,55,91
55,65,54,91
51,65,54,91
52,65,64,91
52,65,65,91
52,65,65,91
50,65,65,91
51,65,62,91
52,65,68,90
50,65,69,90
50,65,69,90
49,65,69,90
50,65,70,90
51,65,70,90
50,65,69,90
50,65,68,90
49,65,70,90
49,65,68,90
53,65,69,90
49,65,68,90
49,65,68,90
49,65,67,90
49,65,65,90
49,65,67,90
49,65,67,90
48,65,57,90
48,65,58,90
52,65,58,90
51,65,66,90
55,65,66,90
40,65,66,90
48,65,66,90
38,65,61,90
38,65,60,90
43,65,57,90
44,65,57,90
44,65,58,90
49,65,57,90
39,65,57,90
41,65,65,90
48,65,72,90
46,65,71,90
43,65,72,90
35,65,67,90
35,65,67,90
43,65,66,90
53,65,67,90
53,65,66,90
42,65,62,90
45,65,55,90
47,65,55,90
54,65,63,90
58,65,62,90
58,65,62,90
51,65,67,90
56,65,66,90
58,65,66,90
53,65,51,90
54,65,51,90
54,65,51,90
59,65,51,90
52,65,51,90
34,65,51,90
49,65,61,90
38,65,61,90
59,65,62,90
54,65,61,90
50,65,60,90
58,65,57,90
52,65,58,90
44,65,58,90
55,65,58,90
56,65,55,90
58,65,55,90
58,65,54,90
58,65,53,90
61,65,63,90
62,65,54,90
42,65,62,90
43,65,55,90
44,65,55,90
45,65,55,90
45,65,55,90
67,65,54,90
66,65,55,90
66,65,55,90
44,65,65,90
32,65,65,90
31,65,62,90
32,65,63,90
32,65,63,90
67,65,55,90
66,65,64,90
31,65,63,90
30,65,58,90
30,65,61,90
30,65,63,89
31,65,65,89
32,65,68,89
32,65,69,89
33,65,70,89
33,65,69,89
32,65,68,89
34,65,68,89
34,65,68,89
58,65,68,89
57,65,69,89
57,65,70,89
43,65,71,89
46,65,69,89
53,65,44,89
56,65,45,89
56,65,46,89
59,65,47,89
58,65,47,89
57,65,66,89
56,65,65,89
55,65,65,89
54,65,58,89
53,65,58,89
52,65,51,89
51,65,51,89
50,65,49,89
50,65,49,89
46,65,56,89
46,65,57,89
43,65,63,89
64,65,64,89
66,65,65,89
60,65,65,89
60,65,65,89
60,65,65,89
60,65,66,89
66,65,65,89
48,65,65,89
54,65,57,89
44,65,57,89
43,65,67,89
42,65,65,89
41,65,61,89
40,65,65,89
39,65,59,89
38,65,53,89
37,65,54,89
36,65,54,89
35,65,56,89
35,65,56,89
65,65,56,89
51,65,57,89
54,65,57,89
36,65,59,89
35,65,59,89
33,65,63,89
35,65,63,89
35,65,64,89
35,65,65,89
60,65,62,89
60,65,56,89
58,65,56,89
59,65,69,89
59,65,69,89
42,65,55,89
41,65,55,89
41,65,64,89
57,65,63,89
58,65,62,89
61,65,62,89
62,65,58,89
60,65,51,89
60,65,53,89
