Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,Isothermality contribution,Precipitation Seasonality contribution,Slope contribution,Vegetation Categories contribution,Isothermality permutation importance,Precipitation Seasonality permutation importance,Slope permutation importance,Vegetation Categories permutation importance,Training gain without Isothermality,Training gain without Precipitation Seasonality,Training gain without Slope,Training gain without Vegetation Categories,Training gain with only Isothermality,Training gain with only Precipitation Seasonality,Training gain with only Slope,Training gain with only Vegetation Categories,Test gain without Isothermality,Test gain without Precipitation Seasonality,Test gain without Slope,Test gain without Vegetation Categories,Test gain with only Isothermality,Test gain with only Precipitation Seasonality,Test gain with only Slope,Test gain with only Vegetation Categories,AUC without Isothermality,AUC without Precipitation Seasonality,AUC without Slope,AUC without Vegetation Categories,AUC with only Isothermality,AUC with only Precipitation Seasonality,AUC with only Slope,AUC with only Vegetation Categories,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Golden_monkey_0,33,0.9142,1.1775,360,0.9475,10,1.5105,0.9299,0.0123,10033,14.5930,58.3605,2.3365,24.7100,10.2664,67.8250,3.4474,18.4612,0.8372,0.6719,0.8937,0.7837,0.3460,0.6210,0.0921,0.4018,1.3583,1.0330,1.4996,1.2794,0.4337,1.0061,0.0468,0.7363,0.9124,0.8730,0.9312,0.9094,0.7349,0.8720,0.5534,0.8140,8.1095,0.1914,1.0000,0.0273,0.6415,0.0000,0.0000,1.18E-2,5.0000,0.1058,0.4234,0.0000,0.0000,1.852E-4,10.0000,0.1888,0.3191,0.0000,0.0000,1.096E-5,23.1571,0.3663,0.1791,0.0000,0.0000,3.398E-8,36.5715,0.6052,0.1103,0.0909,0.2000,8.042E-7,36.5715,0.6052,0.1103,0.1212,0.2000,8.042E-7,23.1571,0.3663,0.1791,0.0000,0.0000,3.398E-8,30.4596,0.4952,0.1360,0.0909,0.2000,4.06E-6,30.4587,0.4952,0.1360,0.0909,0.0000,2.157E-9,6.0511,0.1242,0.3949,0.0000,0.0000,9.222E-5,9.2425,0.1813,0.3315,0.0000,0.0000,1.603E-5
Golden_monkey_1,33,0.7159,0.9422,320,0.9388,10,1.5791,0.9631,0.0141,10033,8.1065,36.6577,0.5429,54.6929,9.0644,18.8410,2.2365,69.8581,0.6666,0.6351,0.7123,0.4334,0.1919,0.3701,0.0351,0.4895,1.4483,1.1051,1.5686,1.2978,0.3891,1.0857,0.0689,0.7506,0.9523,0.9045,0.9617,0.9573,0.7800,0.9138,0.5650,0.7878,8.4492,0.2726,1.0000,0.0403,0.8601,0.0000,0.0000,2.215E-1,5.0000,0.0971,0.5773,0.0000,0.0000,4.111E-3,10.0000,0.2131,0.4270,0.0000,0.0000,2.015E-4,10.3603,0.2169,0.4200,0.0000,0.0000,1.709E-4,51.1942,0.7139,0.1051,0.0606,0.1000,1.411E-8,51.1942,0.7139,0.1051,0.0606,0.1000,1.411E-8,51.1942,0.7139,0.1051,0.0606,0.1000,1.411E-8,52.6406,0.7458,0.1000,0.1818,0.1000,9.076E-9,39.8906,0.6157,0.1546,0.0606,0.0000,7.795E-9,7.6597,0.1699,0.4773,0.0000,0.0000,6.14E-4,8.1539,0.1858,0.4656,0.0000,0.0000,4.784E-4
Golden_monkey_2,33,0.8552,1.0937,480,0.9293,10,1.4097,0.8993,0.0436,10033,30.1454,43.9824,0.3081,25.5640,36.9511,48.6233,2.7980,11.6276,0.6974,0.6425,0.8467,0.7676,0.3617,0.5022,0.0494,0.3846,1.4376,0.7103,1.3725,1.1787,0.0428,1.2417,0.1176,0.5547,0.9368,0.8163,0.8905,0.8660,0.6400,0.9137,0.6462,0.7741,8.2100,0.2115,1.0000,0.0330,0.7157,0.0000,0.0000,3.528E-2,5.0000,0.0950,0.4821,0.0000,0.0000,6.783E-4,10.0000,0.1983,0.3581,0.0606,0.2000,5.672E-3,6.6718,0.1213,0.4280,0.0000,0.0000,2.062E-4,11.8948,0.2309,0.3296,0.0606,0.2000,3.141E-3,36.1775,0.5665,0.1212,0.1212,0.2000,1.668E-6,59.3079,0.8333,0.0605,0.1515,0.2000,7.232E-9,24.1164,0.3572,0.2000,0.1212,0.2000,7.804E-5,59.3079,0.8333,0.0605,0.1515,0.2000,7.232E-9,6.6718,0.1213,0.4280,0.0000,0.0000,2.062E-4,9.5104,0.1900,0.3665,0.0606,0.2000,6.677E-3
Golden_monkey_3,33,0.8451,1.0486,480,0.9139,10,0.7243,0.8323,0.0446,10033,32.8580,38.7821,0.1228,28.2372,30.0396,51.8847,2.3277,15.7481,0.6298,0.6352,0.8388,0.7451,0.3588,0.4290,0.0512,0.3850,0.9726,0.4205,0.7088,0.5012,0.0187,0.7401,0.0281,0.4267,0.8630,0.7685,0.8251,0.7953,0.6354,0.8365,0.5275,0.7388,8.1590,0.2028,1.0000,0.0263,0.6700,0.0000,0.0000,1.823E-2,5.0000,0.1019,0.4567,0.0000,0.0000,3.947E-4,10.0000,0.1893,0.3459,0.1212,0.3000,2.431E-2,5.4373,0.1114,0.4431,0.0000,0.0000,2.92E-4,9.3207,0.1802,0.3575,0.0606,0.1000,6.473E-4,30.9257,0.5137,0.1515,0.1515,0.5000,1.031E-2,50.1201,0.7018,0.0824,0.1515,0.5000,6.729E-4,13.1072,0.2296,0.3000,0.1212,0.3000,1.059E-2,7.6220,0.1548,0.3898,0.0303,0.0000,8.102E-5,5.4373,0.1114,0.4431,0.0000,0.0000,2.92E-4,9.8608,0.1874,0.3483,0.1212,0.3000,2.529E-2
Golden_monkey_4,33,0.7022,0.9980,360,0.9254,10,1.1202,0.8995,0.0436,10033,22.2600,46.9034,2.3295,28.5071,27.1996,47.9587,5.1939,19.6478,0.5585,0.5225,0.6810,0.5943,0.2144,0.3735,0.0708,0.3412,1.3033,0.9784,0.9660,0.7161,0.0250,0.7631,0.2372,0.7467,0.9357,0.8828,0.8771,0.8415,0.5444,0.8433,0.7334,0.8278,8.3484,0.2475,1.0000,0.0324,0.7689,0.0000,0.0000,7.219E-2,5.0000,0.1195,0.5291,0.0303,0.0000,1.718E-3,10.0000,0.2070,0.4093,0.0303,0.1000,2.038E-3,4.5819,0.1112,0.5434,0.0000,0.0000,2.245E-3,49.9107,0.6838,0.1028,0.0909,0.1000,1.16E-8,49.9107,0.6838,0.1028,0.0909,0.1000,1.16E-8,49.9107,0.6838,0.1028,0.0909,0.1000,1.16E-8,49.9107,0.6838,0.1028,0.0909,0.1000,1.16E-8,49.9107,0.6838,0.1028,0.0909,0.1000,1.16E-8,4.5819,0.1112,0.5434,0.0000,0.0000,2.245E-3,9.3812,0.1970,0.4209,0.0303,0.1000,2.576E-3
Golden_monkey_5,33,0.8632,1.0468,240,0.9284,10,0.5974,0.8115,0.0735,10033,11.3866,57.0269,3.5102,28.0763,7.0428,67.6437,3.9714,21.3421,0.8084,0.6373,0.8317,0.7264,0.2949,0.5821,0.0885,0.4041,0.4767,0.4566,0.5042,0.3881,0.0645,0.1539,0.1117,0.2665,0.7948,0.7569,0.8055,0.7626,0.5918,0.7334,0.6222,0.6811,8.1832,0.2087,1.0000,0.0338,0.6180,0.0000,0.1000,5.833E-2,5.0000,0.1173,0.4230,0.0000,0.1000,2.685E-3,10.0000,0.2198,0.3259,0.0000,0.1000,2.933E-4,19.8028,0.3601,0.2191,0.0000,0.1000,9.332E-6,32.9486,0.5494,0.1413,0.0909,0.3000,9.106E-5,32.9932,0.5504,0.1411,0.1515,0.4000,9.933E-4,19.8028,0.3601,0.2191,0.0000,0.1000,9.332E-6,19.8028,0.3601,0.2191,0.0909,0.3000,1.539E-3,19.8028,0.3601,0.2191,0.0000,0.1000,9.332E-6,5.5736,0.1330,0.4077,0.0000,0.1000,1.968E-3,8.0447,0.1841,0.3568,0.0000,0.1000,6.366E-4
Golden_monkey_6,33,0.7643,0.9353,460,0.9142,10,1.4344,0.9297,0.0277,10033,29.9202,37.8849,4.1740,28.0210,36.5450,30.9581,5.9143,26.5825,0.6394,0.6347,0.7272,0.6556,0.3564,0.4220,0.0741,0.3484,1.1612,1.0877,1.4779,1.1524,0.6019,0.8298,-0.0403,0.6481,0.9006,0.8928,0.9353,0.8931,0.8129,0.8543,0.5121,0.7889,8.4199,0.2639,1.0000,0.0547,0.7966,0.0000,0.0000,1.029E-1,5.0000,0.1031,0.5801,0.0303,0.0000,4.314E-3,10.0000,0.1955,0.4264,0.0606,0.0000,1.987E-4,1.6129,0.0684,0.7538,0.0000,0.0000,5.924E-2,38.9228,0.5475,0.1488,0.0606,0.1000,3.099E-7,38.9228,0.5475,0.1488,0.1515,0.2000,8.15E-6,38.9228,0.5475,0.1488,0.0606,0.1000,3.099E-7,38.9228,0.5475,0.1488,0.0606,0.1000,3.099E-7,38.9228,0.5475,0.1488,0.0606,0.1000,3.099E-7,1.6129,0.0684,0.7538,0.0000,0.0000,5.924E-2,8.8853,0.1644,0.4521,0.0606,0.0000,3.568E-4
Golden_monkey_7,33,1.0396,1.2233,480,0.9441,10,0.9405,0.8359,0.0795,10033,17.0713,43.0218,4.1313,35.7756,23.0051,46.3131,5.5831,25.0987,0.9117,0.8125,0.9996,0.8887,0.3566,0.6133,0.1100,0.5308,0.6805,0.6595,0.9281,0.9697,0.5913,0.6697,-0.1091,0.2053,0.7893,0.7971,0.8425,0.8498,0.8099,0.7841,0.4715,0.6978,7.9273,0.1591,1.0000,0.0182,0.5903,0.0000,0.2000,1.521E-1,5.0000,0.0976,0.3610,0.0303,0.2000,6.004E-3,10.0000,0.1673,0.2627,0.0303,0.2000,6.009E-4,4.1698,0.0823,0.3852,0.0000,0.2000,9.469E-3,31.4166,0.6156,0.1079,0.0606,0.2000,6.78E-7,31.4512,0.6170,0.1079,0.1212,0.2000,6.78E-7,31.4166,0.6156,0.1079,0.0606,0.2000,6.78E-7,15.1520,0.2425,0.2000,0.0606,0.2000,7.804E-5,55.3834,0.7765,0.0561,0.1212,0.2000,3.994E-9,4.1698,0.0823,0.3852,0.0000,0.2000,9.469E-3,9.1436,0.1572,0.2762,0.0303,0.2000,8.685E-4
Golden_monkey_8,33,0.7196,1.0267,300,0.9100,10,1.2048,0.9210,0.0292,10033,24.2776,44.0201,0.8814,30.8209,22.3099,50.4297,3.1374,24.1230,0.5305,0.5290,0.7104,0.5752,0.2158,0.3318,0.0495,0.3505,0.9672,0.9685,1.1730,0.9907,0.5081,0.6707,0.0452,0.5665,0.8801,0.8896,0.9161,0.8997,0.8191,0.8336,0.5600,0.7629,8.2759,0.2301,1.0000,0.0335,0.7691,0.0000,0.0000,7.238E-2,5.0000,0.1099,0.5434,0.0303,0.0000,2.245E-3,10.0000,0.1806,0.4154,0.0303,0.0000,1.531E-4,3.3830,0.0820,0.6067,0.0000,0.0000,6.757E-3,14.0565,0.2349,0.3465,0.0606,0.0000,2.492E-5,43.7340,0.5690,0.1212,0.1212,0.1000,5.028E-8,51.5414,0.6325,0.0877,0.1212,0.1000,2.83E-9,48.5248,0.6047,0.1000,0.1212,0.1000,9.076E-9,51.5414,0.6325,0.0877,0.1212,0.1000,2.83E-9,3.3830,0.0820,0.6067,0.0000,0.0000,6.757E-3,11.2833,0.1970,0.3914,0.0606,0.0000,8.439E-5
Golden_monkey_9,33,0.7868,0.9926,420,0.9422,10,1.0846,0.8572,0.0810,10033,3.3049,55.5843,3.3556,37.7552,6.6871,42.6589,4.1575,46.4964,0.7655,0.6114,0.7483,0.5628,0.1505,0.5023,0.0913,0.4369,1.1440,0.4739,0.9660,0.7752,-0.3121,0.6869,0.1926,0.5659,0.8627,0.7703,0.8406,0.7953,0.4501,0.7693,0.6876,0.7725,8.3799,0.2531,1.0000,0.0326,0.8132,0.0000,0.1000,4.17E-1,5.0000,0.1360,0.5478,0.0000,0.1000,2.252E-2,10.0000,0.2133,0.4372,0.0000,0.1000,3.537E-3,23.3154,0.3393,0.2541,0.0000,0.1000,3.402E-5,36.1782,0.5465,0.1509,0.0606,0.1000,3.506E-7,42.8775,0.6983,0.1212,0.1212,0.2000,1.668E-6,36.1782,0.5465,0.1509,0.0606,0.1000,3.506E-7,36.2145,0.5467,0.1507,0.1212,0.2000,8.982E-6,36.1782,0.5465,0.1509,0.0606,0.1000,3.506E-7,6.0139,0.1595,0.5205,0.0000,0.1000,1.49E-2,10.1559,0.2150,0.4344,0.0000,0.1000,3.353E-3
