without,,maxent,
,,,
34,65,55,96
39,65,52,95
36,65,53,95
34,65,53,95
39,65,53,95
38,65,54,95
35,65,55,95
34,65,56,95
35,65,53,94
35,65,53,94
35,65,53,94
35,65,54,94
34,65,55,94
40,65,56,94
40,65,57,94
39,65,62,94
33,65,62,94
33,65,62,94
41,65,63,94
42,65,63,94
34,65,63,94
35,65,64,94
35,65,64,94
34,65,64,94
34,65,65,94
35,65,65,94
33,65,65,94
40,65,65,94
38,65,65,94
35,65,65,94
36,65,66,94
37,65,66,94
38,65,66,94
38,65,66,94
27,65,66,94
36,65,66,94
35,65,66,94
30,65,66,94
31,65,66,94
27,65,66,94
28,65,66,94
27,65,67,94
32,65,67,94
17,65,67,94
29,65,67,94
35,65,67,94
38,65,67,94
40,65,68,94
57,65,68,94
61,65,68,94
50,65,68,94
58,65,68,94
47,65,68,94
56,65,69,94
49,65,69,94
45,65,69,94
53,65,69,94
56,65,69,94
52,65,69,94
51,65,53,93
48,65,53,93
51,65,53,93
53,65,54,93
53,65,55,93
49,65,56,93
54,65,57,93
47,65,58,93
38,65,58,93
53,65,58,93
26,65,59,93
26,65,59,93
25,65,59,93
22,65,59,93
22,65,59,93
23,65,59,93
24,65,60,93
23,65,60,93
41,65,60,93
40,65,61,93
39,65,61,93
39,65,61,93
39,65,61,93
25,65,61,93
26,65,61,93
40,65,61,93
39,65,61,93
27,65,61,93
26,65,61,93
27,65,61,93
27,65,61,93
26,65,61,93
45,65,61,93
63,65,61,93
60,65,61,93
53,65,61,93
53,65,61,93
61,65,61,93
61,65,61,93
57,65,61,93
63,65,62,93
63,65,62,93
56,65,62,93
36,65,62,93
50,65,62,93
54,65,62,93
52,65,62,93
45,65,62,93
58,65,62,93
61,65,62,93
55,65,62,93
57,65,62,93
44,65,62,93
49,65,62,93
62,65,62,93
54,65,62,93
61,65,63,93
62,65,63,93
62,65,63,93
63,65,63,93
66,65,63,93
65,65,63,93
67,65,63,93
53,65,63,93
53,65,63,93
54,65,63,93
54,65,63,93
53,65,64,93
56,65,64,93
71,65,64,93
58,65,64,93
57,65,64,93
71,65,64,93
53,65,65,93
54,65,65,93
71,65,65,93
71,65,65,93
59,65,65,93
59,65,65,93
50,65,65,93
50,65,65,93
49,65,65,93
48,65,65,93
48,65,65,93
60,65,65,93
60,65,65,93
53,65,65,93
53,65,65,93
53,65,65,93
60,65,66,93
61,65,66,93
61,65,66,93
54,65,66,93
52,65,66,93
52,65,66,93
72,65,66,93
73,65,66,93
53,65,66,93
52,65,66,93
53,65,66,93
52,65,67,93
45,65,67,93
45,65,67,93
48,65,67,93
48,65,67,93
46,65,67,93
63,65,67,93
64,65,67,93
64,65,67,93
46,65,67,93
45,65,67,93
45,65,68,93
46,65,68,93
46,65,68,93
63,65,68,93
62,65,68,93
62,65,68,93
62,65,68,93
63,65,68,93
63,65,68,93
45,65,68,93
45,65,68,93
54,65,69,93
57,65,69,93
60,65,69,93
56,65,69,93
63,65,69,93
57,65,69,93
48,65,70,93
50,65,71,93
61,65,72,93
46,65,73,93
50,65,53,92
53,65,53,92
52,65,53,92
52,65,53,92
50,65,53,92
37,65,53,92
55,65,54,92
36,65,55,92
37,65,56,92
38,65,57,92
39,65,57,92
40,65,57,92
41,65,57,92
42,65,57,92
43,65,57,92
44,65,58,92
45,65,58,92
45,65,58,92
26,65,59,92
55,65,59,92
60,65,59,92
59,65,59,92
59,65,59,92
60,65,59,92
59,65,60,92
57,65,60,92
56,65,60,92
55,65,60,92
55,65,60,92
54,65,60,92
53,65,61,92
53,65,61,92
42,65,61,92
47,65,61,92
55,65,61,92
49,65,61,92
43,65,61,92
64,65,61,92
61,65,61,92
55,65,61,92
59,65,61,92
50,65,61,92
51,65,61,92
42,65,61,92
59,65,61,92
51,65,61,92
51,65,62,92
35,65,62,92
35,65,62,92
35,65,62,92
36,65,62,92
36,65,62,92
36,65,63,92
37,65,63,92
36,65,63,92
36,65,63,92
46,65,63,92
47,65,63,92
37,65,63,92
38,65,63,92
38,65,63,92
37,65,63,92
37,65,63,92
40,65,63,92
38,65,63,92
38,65,63,92
43,65,63,92
54,65,63,92
38,65,64,92
42,65,64,92
41,65,64,92
49,65,64,92
48,65,64,92
47,65,64,92
47,65,64,92
47,65,64,92
39,65,64,92
45,65,64,92
45,65,64,92
37,65,65,92
36,65,65,92
47,65,65,92
47,65,65,92
47,65,65,92
48,65,65,92
47,65,66,92
46,65,66,92
34,65,66,92
32,65,66,92
32,65,66,92
46,65,66,92
46,65,67,92
46,65,67,92
31,65,67,92
45,65,67,92
44,65,67,92
47,65,67,92
47,65,67,92
49,65,67,92
49,65,67,92
48,65,67,92
50,65,67,92
48,65,68,92
50,65,68,92
49,65,68,92
50,65,68,92
50,65,68,92
53,65,68,92
63,65,68,92
63,65,68,92
57,65,68,92
63,65,68,92
56,65,68,92
55,65,68,92
55,65,68,92
41,65,68,92
41,65,68,92
47,65,68,92
30,65,69,92
42,65,69,92
43,65,69,92
44,65,69,92
45,65,69,92
46,65,69,92
47,65,69,92
48,65,69,92
49,65,69,92
50,65,69,92
51,65,69,92
51,65,69,92
48,65,69,92
47,65,69,92
49,65,69,92
38,65,69,92
38,65,70,92
47,65,70,92
48,65,70,92
51,65,70,92
36,65,70,92
57,65,70,92
24,65,71,92
25,65,72,92
28,65,73,92
26,65,73,92
26,65,73,92
26,65,74,92
26,65,53,91
25,65,53,91
25,65,53,91
26,65,53,91
27,65,53,91
27,65,53,91
53,65,53,91
54,65,53,91
54,65,53,91
29,65,53,91
29,65,53,91
53,65,54,91
65,65,54,91
36,65,54,91
52,65,55,91
52,65,56,91
58,65,57,91
55,65,57,91
57,65,57,91
50,65,58,91
48,65,58,91
48,65,58,91
52,65,58,91
41,65,58,91
35,65,58,91
35,65,59,91
63,65,59,91
57,65,59,91
57,65,59,91
54,65,59,91
37,65,59,91
64,65,60,91
37,65,60,91
54,65,60,91
35,65,60,91
45,65,60,91
44,65,60,91
45,65,61,91
45,65,61,91
45,65,61,91
45,65,61,91
50,65,61,91
57,65,61,91
57,65,62,91
54,65,62,91
44,65,62,91
55,65,63,91
66,65,63,91
59,65,63,91
59,65,64,91
58,65,64,91
55,65,64,91
55,65,64,91
59,65,64,91
58,65,64,91
40,65,64,91
51,65,64,91
48,65,64,91
44,65,64,91
47,65,64,91
40,65,65,91
50,65,65,91
35,65,65,91
35,65,65,91
53,65,65,91
39,65,65,91
56,65,65,91
57,65,65,91
57,65,65,91
50,65,65,91
48,65,65,91
52,65,65,91
52,65,65,91
58,65,65,91
57,65,65,91
