Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,675,0,3,56,124,95,137,235,28,1.0642201834862386:1,191,
12,673,0,5,51,120,99,132,243,28,1.0644171779141105:1,193,
18,671,0,7,47,117,102,128,247,30,1.0646153846153845:1,196,
24,669,0,9,46,112,105,126,250,30,1.0648148148148149:1,196,
30,666,0,12,40,114,106,124,253,29,1.0683229813664596:1,198,
36,663,0,15,38,108,112,120,256,29,1.071875:1,202,
42,662,0,16,32,111,113,117,259,30,1.06875:1,204,
48,657,0,21,25,114,114,114,260,30,1.0595611285266457:1,204,
54,671,14,21,32,119,114,114,260,32,1.0519877675840978:1,204,
60,666,14,26,28,121,107,117,261,32,1.0555555555555556:1,203,
66,661,14,31,18,121,114,117,259,32,1.065625:1,203,
72,660,14,32,15,120,116,114,261,34,1.0689655172413792:1,204,
78,657,14,35,14,116,117,111,263,36,1.0660377358490567:1,203,
84,653,14,39,14,109,122,110,259,39,1.0796178343949046:1,200,
90,652,14,40,14,106,123,106,264,39,1.0830670926517572:1,203,
96,649,14,43,14,103,125,105,263,39,1.0935483870967742:1,203,
102,646,14,46,13,100,126,102,263,42,1.1042345276872965:1,204,
108,644,14,48,13,90,136,99,265,41,1.0977198697068404:1,203,
114,638,14,54,13,85,140,96,263,41,1.0986842105263157:1,200,
120,633,14,59,13,78,147,95,261,39,1.11:1,198,
126,698,85,65,71,84,150,95,261,37,1.0529411764705883:1,197,
132,691,85,72,69,77,155,92,261,37,1.056547619047619:1,197,
138,685,85,78,68,73,157,89,258,40,1.044776119402985:1,193,
144,684,85,79,68,68,158,91,256,43,1.0417910447761194:1,191,
150,677,85,86,63,64,161,88,258,43,1.0391566265060241:1,192,
156,675,85,88,63,61,159,93,257,42,1.039274924471299:1,191,
162,671,85,92,63,57,159,91,259,42,1.0333333333333334:1,191,
168,668,85,95,60,55,158,91,262,42,1.0365853658536586:1,192,
174,662,85,101,58,50,161,86,265,42,1.0559006211180124:1,195,
180,659,85,104,57,48,160,83,269,42,1.059375:1,197,
186,657,85,106,56,43,165,78,271,44,1.0660377358490567:1,200,
192,654,85,109,56,38,169,74,272,45,1.0630914826498423:1,199,
198,724,160,114,78,82,175,72,271,46,1.011111111111111:1,197,
204,719,162,121,75,84,173,66,275,46,1.0083798882681565:1,199,
210,715,162,125,73,75,182,61,276,48,1.0140845070422535:1,198,
216,711,162,129,72,71,184,60,275,49,1.0141643059490084:1,196,
222,710,162,130,72,69,185,59,274,51,1.0113314447592068:1,195,
228,708,162,132,70,69,184,59,275,51,1.0113636363636365:1,196,
234,704,162,136,68,69,181,57,278,51,1.0171919770773639:1,199,
240,699,162,141,65,68,178,58,278,52,1.0144092219020173:1,199,
246,699,162,141,65,68,177,57,278,54,1.0144092219020173:1,197,
252,697,162,143,64,68,174,59,274,58,1.0202898550724637:1,195,
258,692,162,148,64,68,171,60,271,58,1.029325513196481:1,193,
264,687,162,153,64,68,171,58,268,58,1.0265486725663717:1,189,
270,730,208,156,51,114,180,60,267,58,1.0391061452513966:1,188,
276,723,209,164,45,118,178,57,265,60,1.0598290598290598:1,186,
282,720,209,167,45,118,174,54,270,59,1.0689655172413792:1,189,
288,715,209,172,42,117,170,56,268,62,1.0605187319884726:1,189,
294,713,209,174,41,117,169,54,268,64,1.0666666666666667:1,190,
300,709,209,178,40,117,164,57,266,65,1.0670553935860059:1,189,
306,706,209,181,40,117,156,63,264,66,1.064327485380117:1,187,
312,701,209,186,40,117,151,66,263,64,1.0557184750733137:1,187,
318,695,209,192,40,117,146,70,258,64,1.0562130177514792:1,185,
324,692,209,195,38,117,142,72,259,64,1.053412462908012:1,186,
330,689,209,198,38,116,134,78,259,64,1.0567164179104478:1,186,
336,685,209,202,37,116,131,80,257,64,1.057057057057057:1,185,
342,737,263,204,55,105,177,81,254,65,1.0819209039548023:1,184,
348,740,269,207,59,99,183,80,254,65,1.0845070422535212:1,184,
354,732,269,215,58,97,178,81,253,65,1.0914285714285714:1,183,
360,729,269,218,57,97,172,86,250,67,1.100864553314121:1,180,
366,721,269,226,53,97,168,85,250,68,1.0959302325581395:1,179,
372,719,269,228,52,97,163,90,249,68,1.096209912536443:1,179,
378,717,269,230,52,96,160,85,256,68,1.0964912280701755:1,182,
384,714,269,233,50,96,158,85,257,68,1.093841642228739:1,181,
390,712,269,235,50,96,153,89,255,69,1.1002949852507375:1,181,
396,705,269,242,49,96,146,91,254,69,1.0919881305637982:1,180,
402,701,269,246,48,96,140,95,253,69,1.0863095238095237:1,180,
408,697,269,250,48,96,135,99,251,68,1.093093093093093:1,179,
414,759,333,252,112,96,127,107,249,68,1.0681198910081744:1,177,
420,762,339,255,69,85,180,112,249,67,1.065040650406504:1,178,
426,757,339,260,67,85,176,115,248,66,1.073972602739726:1,178,
432,749,339,268,66,84,169,119,244,67,1.0921787709497206:1,174,
438,745,339,272,65,84,166,121,245,64,1.0868347338935573:1,175,
444,742,339,275,64,84,163,123,243,65,1.0842696629213484:1,173,
450,734,339,283,61,84,158,126,242,63,1.0852272727272727:1,172,
456,729,339,288,60,84,155,127,240,63,1.0888252148997135:1,169,
462,723,339,294,60,84,153,124,240,62,1.1017441860465116:1,169,
468,712,339,305,57,83,148,124,239,61,1.0879765395894427:1,168,
474,711,339,306,57,83,146,124,239,62,1.0850439882697946:1,167,
480,702,339,315,57,82,137,128,236,62,1.0892857142857142:1,165,
486,696,339,321,57,82,131,132,233,61,1.0838323353293413:1,162,
492,740,389,327,50,101,162,134,234,59,1.072829131652661:1,163,
498,738,389,329,50,101,160,132,234,61,1.0788732394366196:1,162,
504,735,389,332,50,101,152,136,233,63,1.076271186440678:1,161,
