Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,633,0,3,61,100,106,125,214,27,1.082236842105263:1,182,
12,628,0,8,56,100,109,120,214,29,1.0863787375415281:1,180,
18,624,0,12,48,106,108,116,216,30,1.0869565217391304:1,181,
24,620,0,16,43,108,108,112,217,32,1.0875420875420876:1,179,
30,617,0,19,40,108,108,110,220,31,1.0915254237288134:1,181,
36,615,0,21,36,108,111,102,225,33,1.0847457627118644:1,182,
42,612,0,24,27,112,110,103,228,32,1.0816326530612246:1,184,
48,607,0,29,24,109,113,100,228,33,1.0931034482758621:1,182,
54,678,73,31,91,112,115,96,228,36,1.0925925925925926:1,182,
60,675,73,34,84,115,114,94,232,36,1.102803738317757:1,184,
66,666,73,43,78,114,114,98,227,35,1.1075949367088607:1,180,
72,662,73,47,70,113,119,95,230,35,1.0949367088607596:1,180,
78,659,73,50,68,106,125,93,232,35,1.0987261146496816:1,182,
84,653,73,56,65,102,127,94,230,35,1.1132686084142396:1,180,
90,649,73,60,65,95,132,92,228,37,1.1140065146579805:1,176,
96,642,73,67,63,88,130,95,228,38,1.118811881188119:1,176,
102,637,73,72,62,85,128,95,226,41,1.1304347826086956:1,174,
108,629,73,80,59,82,129,95,224,40,1.1467576791808873:1,175,
114,620,73,89,55,81,129,89,227,39,1.1232876712328768:1,173,
120,616,73,93,53,72,133,93,227,38,1.1314878892733564:1,172,
126,670,134,100,61,119,132,92,228,38,1.09375:1,173,
132,664,134,106,60,119,130,91,227,37,1.0880503144654088:1,173,
138,660,134,110,60,111,137,89,225,38,1.0820189274447949:1,170,
144,654,134,116,60,107,139,86,225,37,1.0696202531645569:1,168,
150,648,134,122,58,103,142,82,226,37,1.0702875399361023:1,170,
156,645,134,125,56,99,143,83,225,39,1.0673076923076923:1,168,
162,642,134,128,56,92,147,84,223,40,1.0776699029126213:1,167,
168,639,134,131,56,88,150,80,226,39,1.0746753246753247:1,165,
174,630,134,140,54,85,147,81,224,39,1.086092715231788:1,164,
180,626,134,144,52,83,146,82,222,41,1.0866666666666667:1,162,
186,622,134,148,51,77,148,82,223,41,1.087248322147651:1,163,
192,619,134,151,51,73,151,80,221,43,1.0912162162162162:1,164,
198,700,224,160,90,117,155,76,222,40,1.0588235294117647:1,165,
204,698,225,163,87,114,159,76,222,40,1.0529411764705883:1,164,
210,695,225,166,85,110,160,77,223,40,1.0441176470588236:1,165,
216,687,225,174,83,104,164,72,224,40,1.0507462686567164:1,162,
222,681,225,180,81,101,166,70,221,42,1.0574018126888218:1,162,
228,676,225,185,79,101,166,69,222,39,1.0609756097560976:1,162,
234,671,225,190,78,101,163,71,219,39,1.0582822085889572:1,159,
240,667,225,194,76,101,160,72,220,38,1.0523076923076924:1,160,
246,666,225,195,76,101,159,72,220,38,1.0555555555555556:1,161,
252,660,225,201,74,100,156,72,221,37,1.0560747663551402:1,161,
258,654,225,207,71,99,150,74,223,37,1.0566037735849056:1,162,
264,651,225,210,70,99,149,71,225,37,1.0666666666666667:1,163,
270,716,296,216,73,118,195,72,224,34,1.0457142857142858:1,162,
276,711,299,224,71,119,192,71,225,33,1.0489913544668588:1,161,
282,705,299,230,69,119,189,68,228,32,1.055393586005831:1,163,
288,703,299,232,69,119,187,69,226,33,1.06158357771261:1,163,
294,695,299,240,67,119,186,67,225,31,1.068452380952381:1,163,
300,694,299,241,66,119,178,73,227,31,1.0654761904761905:1,165,
306,690,299,245,66,119,176,74,223,32,1.072072072072072:1,161,
312,686,299,249,65,119,175,70,226,31,1.0725075528700907:1,164,
318,678,299,257,62,119,172,67,227,31,1.0797546012269938:1,164,
324,676,299,259,62,119,170,67,227,31,1.08:1,164,
330,671,299,264,60,118,168,68,227,30,1.0773993808049536:1,164,
336,667,299,268,60,118,161,70,226,32,1.0714285714285714:1,162,
342,740,377,273,83,124,204,71,225,33,1.0555555555555556:1,162,
348,740,378,274,79,127,203,70,227,34,1.0612813370473537:1,161,
354,735,378,279,79,126,201,71,223,35,1.0588235294117647:1,158,
360,729,378,285,76,125,196,76,218,38,1.0593220338983051:1,155,
366,727,378,287,74,125,189,82,218,39,1.0594900849858357:1,155,
372,723,378,291,74,123,183,86,218,39,1.0598290598290598:1,154,
378,719,378,295,73,122,177,92,216,39,1.0601719197707737:1,152,
384,715,378,299,70,122,173,95,216,39,1.0545977011494252:1,152,
390,713,378,301,70,122,171,96,214,40,1.0547550432276658:1,151,
396,711,378,303,69,121,169,94,218,40,1.0549132947976878:1,152,
402,709,378,305,68,121,165,93,221,41,1.061046511627907:1,154,
