Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area,Avg Household Income
6,366,386,3.893617021276596,4.1063829787234045,2.412287234042553,2.471170212765957,19699.340132894275,
12,336,416,3.574468085106383,4.425531914893617,2.269414893617021,2.567978723404255,18191.4660708368,
18,314,438,3.3404255319148937,4.659574468085107,2.118351063829787,2.683510638297873,17788.316552741373,
24,303,449,3.223404255319149,4.776595744680851,2.076223404255319,2.732659574468085,18022.66722054409,
30,295,457,3.1382978723404253,4.861702127659575,2.010159574468085,2.7815957446808506,16972.9827630609,
36,288,464,3.0638297872340425,4.9361702127659575,1.9830319148936166,2.786914893617021,17506.27217918381,
42,283,469,3.0106382978723403,4.98936170212766,1.9611170212765958,2.8018085106382977,17243.80690671201,
48,281,471,2.9893617021276597,5.01063829787234,1.9402659574468084,2.8124468085106376,17946.618134644625,
54,278,474,2.9574468085106385,5.042553191489362,1.9311170212765956,2.8230851063829783,16752.847053498164,
60,275,477,2.925531914893617,5.074468085106383,1.920478723404255,2.8432978723404254,18240.96186337927,
66,277,475,2.9468085106382977,5.053191489361702,1.920478723404255,2.830531914893617,18022.514680293047,
72,274,478,2.9148936170212765,5.085106382978723,1.905585106382978,2.852234042553191,17403.550702395358,
78,271,481,2.882978723404255,5.117021276595745,1.8986702127659572,2.8709574468085113,17568.658551599634,
84,273,479,2.904255319148936,5.095744680851064,1.9002659574468082,2.8486170212765956,18066.627917533842,
90,272,480,2.893617021276596,5.1063829787234045,1.8896276595744679,2.869893617021277,18043.57009626085,
96,273,479,2.904255319148936,5.095744680851064,1.8896276595744679,2.857127659574468,18741.004440893983,
102,272,480,2.893617021276596,5.1063829787234045,1.8789893617021274,2.8656382978723403,18204.946195736968,
108,270,482,2.872340425531915,5.127659574468085,1.8768617021276595,2.8784042553191487,18618.324998976386,
114,270,482,2.872340425531915,5.127659574468085,1.8755851063829785,2.8656382978723403,19178.557164884496,
120,269,483,2.8617021276595747,5.138297872340425,1.860691489361702,2.8869148936170212,19655.02653074988,
126,267,485,2.8404255319148937,5.159574468085107,1.8500531914893614,2.9010638297872338,19887.43306823101,
132,265,487,2.8191489361702127,5.180851063829787,1.8404787234042552,2.9170212765957446,19298.457223059686,
138,266,486,2.8297872340425534,5.170212765957447,1.8404787234042552,2.9063829787234043,18695.99812275747,
144,264,488,2.8085106382978724,5.191489361702128,1.8404787234042552,2.929787234042553,18316.719920177948,
150,264,488,2.8085106382978724,5.191489361702128,1.8404787234042552,2.918085106382979,18754.323246559317,
156,264,488,2.8085106382978724,5.191489361702128,1.8334574468085105,2.920531914893617,17849.57052141896,
162,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17914.284472970598,
168,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17461.153007149296,
174,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,18059.779457092558,
180,263,489,2.797872340425532,5.202127659574468,1.8286702127659575,2.952446808510638,18433.661819282745,
186,261,491,2.776595744680851,5.223404255319149,1.8302659574468088,2.9758510638297873,19353.866454462655,
192,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,19554.902849616563,
198,264,488,2.8085106382978724,5.191489361702128,1.8302659574468088,2.9418085106382974,18953.90064654823,
204,261,491,2.776595744680851,5.223404255319149,1.8302659574468088,2.9662765957446813,18462.068358854624,
210,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.9630851063829784,18535.964751825595,
216,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.955638297872341,18649.854748440444,
222,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.954574468085106,18700.331426127963,
228,264,488,2.8085106382978724,5.191489361702128,1.8302659574468088,2.9418085106382974,18358.829627555464,
234,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17296.56684251406,
240,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.954574468085106,17299.897945546974,
246,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.9630851063829784,17046.969866949166,
252,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17797.914390161055,
258,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.9545744680851067,17614.546662365516,
264,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.9439361702127655,16614.20385240852,
270,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.9535106382978724,16759.4435963984,
276,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,18329.98332908356,
282,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,18284.655704193076,
288,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.9535106382978724,18582.77767927536,
294,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,19009.92099308813,
300,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.954574468085106,19820.588865590897,
306,264,488,2.8085106382978724,5.191489361702128,1.8302659574468088,2.9418085106382974,19126.982057869365,
312,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.9545744680851067,19302.498530310408,
318,262,490,2.7872340425531914,5.212765957446808,1.8302659574468088,2.9535106382978724,19052.40331575233,
324,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,18169.85580790857,
330,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17654.274534791108,
336,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17663.250562678604,
342,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17682.028696143338,
348,263,489,2.797872340425532,5.202127659574468,1.8302659574468088,2.952446808510638,17767.95122027581,
354,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,18402.570290400992,
360,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,18861.624029028666,
366,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,18467.31225386835,
372,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17621.662636640005,
378,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17011.036978969238,
384,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.954574468085106,15919.68490206384,
390,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,16525.249915257016,
396,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.9535106382978724,15340.915931561372,
402,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.9535106382978724,15789.771470518064,
408,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.9630851063829784,16175.691574584747,
414,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,16504.731288133855,
420,260,492,2.765957446808511,5.23404255319149,1.8281382978723404,2.9662765957446813,17039.87299630021,
426,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.954574468085106,16866.985392985116,
432,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,16924.917907074792,
438,260,492,2.765957446808511,5.23404255319149,1.8281382978723404,2.95563829787234,16766.9170648933,
444,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.954574468085106,17263.5774230206,
450,263,489,2.797872340425532,5.202127659574468,1.8281382978723404,2.9418085106382974,15861.449074351433,
456,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,16093.934178300693,
462,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.9535106382978724,16691.146613315286,
468,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,16643.68589347148,
474,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17547.609780253297,
480,259,493,2.75531914893617,5.24468085106383,1.8281382978723404,2.9684042553191494,17932.461140549265,
486,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.9535106382978724,17798.014083544786,
492,260,492,2.765957446808511,5.23404255319149,1.8281382978723404,2.95563829787234,17469.274439802313,
498,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.965212765957447,17771.499744655033,
504,261,491,2.776595744680851,5.223404255319149,1.8265425531914896,2.954574468085106,17748.369583049236,
510,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17107.03598400781,
516,261,491,2.776595744680851,5.223404255319149,1.8281382978723404,2.9630851063829784,17896.643335803492,
522,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17807.219982627194,
528,260,492,2.765957446808511,5.23404255319149,1.8265425531914896,2.975851063829787,17818.353741605042,
534,263,489,2.797872340425532,5.202127659574468,1.8281382978723404,2.9418085106382974,17412.810008635177,
540,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.9545744680851067,17505.583484267216,
546,263,489,2.797872340425532,5.202127659574468,1.8281382978723404,2.9418085106382974,18060.36183457093,
552,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17430.74367881718,
558,263,489,2.797872340425532,5.202127659574468,1.8281382978723404,2.9418085106382974,17194.35493151553,
564,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17722.465444039146,
570,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17195.606897111375,
576,260,492,2.765957446808511,5.23404255319149,1.8281382978723404,2.9641489361702127,17114.514535348244,
582,262,490,2.7872340425531914,5.212765957446808,1.8281382978723404,2.952446808510638,17027.927410565848,
588,290,462,3.0851063829787235,4.914893617021277,1.9742021276595747,2.7769148936170205,17040.43958508007,
594,311,441,3.3085106382978724,4.691489361702128,2.1212234042553195,2.627340425531915,16863.533641708444,
600,331,421,3.521276595744681,4.4787234042553195,2.256117021276596,2.511063829787234,15929.989920854438,
606,355,397,3.776595744680851,4.223404255319149,2.3859042553191485,2.410425531914894,16807.753766965212,
612,374,378,3.978723404255319,4.0212765957446805,2.547180851063829,2.317978723404255,17060.368496468796,
618,389,363,4.138297872340425,3.8617021276595747,2.608670212765957,2.2726595744680846,16832.696647811517,
624,405,347,4.308510638297872,3.6914893617021276,2.6949468085106374,2.2202127659574464,17000.81180695192,
630,419,333,4.457446808510638,3.5425531914893615,2.7668617021276587,2.1595744680851063,17474.656809840704,
636,429,323,4.5638297872340425,3.4361702127659575,2.811861702127659,2.141914893617021,17414.235521165454,
642,434,318,4.617021276595745,3.382978723404255,2.8490957446808505,2.1142553191489357,16969.1987830676,
648,446,306,4.74468085106383,3.25531914893617,2.9132446808510637,2.022765957446808,18738.044060363092,
654,453,299,4.819148936170213,3.1808510638297873,2.9628191489361706,1.9745744680851065,18002.94432392468,
660,459,293,4.882978723404255,3.117021276595745,2.997925531914894,1.9572340425531918,18167.539488977636,
666,468,284,4.9787234042553195,3.021276595744681,3.071648936170213,1.9101063829787235,18925.246322357776,
672,481,271,5.117021276595745,2.882978723404255,3.1609042553191498,1.8835106382978724,18442.194077970395,
678,489,263,5.202127659574468,2.797872340425532,3.205691489361703,1.83563829787234,17751.967691686837,
684,495,257,5.26595744680851,2.734042553191489,3.273776595744681,1.7937234042553194,18044.089426755996,
690,499,253,5.308510638297872,2.6914893617021276,3.302180851063831,1.7862765957446811,17854.510110190833,
696,502,250,5.340425531914893,2.6595744680851063,3.3149468085106384,1.755425531914894,18346.449934607383,
702,506,246,5.382978723404255,2.617021276595745,3.3543085106382984,1.732021276595745,18159.08140509331,
708,507,245,5.3936170212765955,2.606382978723404,3.359627659574469,1.7303191489361702,18761.015589325885,
714,510,242,5.425531914893617,2.574468085106383,3.3702659574468092,1.7069148936170215,18299.789938908845,
720,518,234,5.51063829787234,2.4893617021276597,3.4340957446808518,1.6364893617021279,19076.5357171525,
726,521,231,5.542553191489362,2.4574468085106385,3.4443085106382982,1.6258510638297874,19022.969183026365,
732,526,226,5.595744680851064,2.404255319148936,3.4776063829787236,1.6194680851063832,18552.821088077806,
738,528,224,5.617021276595745,2.382978723404255,3.4925,1.6024468085106385,17668.57200502594,
744,530,222,5.638297872340425,2.3617021276595747,3.506329787234043,1.588617021276596,18072.584396893722,
750,535,217,5.691489361702128,2.3085106382978724,3.542021276595745,1.5585106382978726,17797.95648837998,
756,536,216,5.702127659574468,2.297872340425532,3.544148936170213,1.5497872340425536,19597.810864271618,
762,537,215,5.712765957446808,2.2872340425531914,3.546276595744681,1.5497872340425536,20107.684900060496,
768,538,214,5.723404255319149,2.276595744680851,3.5494680851063833,1.5497872340425536,19150.29184052221,
774,539,213,5.73404255319149,2.265957446808511,3.5547872340425535,1.5444680851063834,18562.667048469688,
780,540,212,5.74468085106383,2.25531914893617,3.565425531914894,1.537021276595745,18818.22920308088,
