Steps,Male 0-10,Male 10-20,Male 20-30,Male 30-40,Male 40-50,Male 50-60,Male 60-70,Male 70-80,Male 80-90,Male 90+,Female 0-10,Female 10-20,Female 20-30,Female 30-40,Female 40-50,Female 50-60,Female 60-70,Female 70-80,Female 80-90,Female 90+
6,34,47,49,45,41,28,37,21,4,0,26,46,19,17,30,23,29,22,10,3,
12,34,47,49,45,41,28,37,21,4,0,26,46,19,17,30,23,29,22,10,3,
18,34,47,49,45,41,28,36,20,4,0,27,46,19,17,30,23,29,22,10,3,
24,34,47,49,45,41,28,36,20,4,0,27,46,19,17,30,23,29,22,10,3,
30,34,47,49,45,41,28,36,20,4,0,27,46,19,17,30,23,29,22,10,3,
36,34,46,47,43,44,29,36,21,4,0,29,44,20,18,28,25,29,22,10,3,
42,34,46,47,43,44,29,36,21,4,0,30,44,20,18,28,25,29,22,10,3,
48,34,46,47,43,44,29,36,21,4,0,30,44,20,18,28,25,29,22,10,3,
54,34,46,47,43,44,29,36,21,3,0,30,44,20,18,28,25,29,22,10,3,
60,34,46,47,43,44,29,36,21,3,0,30,44,20,18,28,25,29,21,9,3,
66,34,46,47,43,44,29,36,21,3,0,31,44,20,18,28,25,29,21,9,3,
72,34,46,47,43,44,29,36,21,3,0,33,44,20,18,28,25,29,21,9,3,
78,33,45,46,41,46,32,35,20,5,0,31,44,20,19,25,25,31,21,10,3,
84,33,45,46,41,46,32,35,20,5,0,31,44,20,19,25,25,31,21,10,3,
90,33,45,46,41,46,32,35,20,5,0,31,44,20,19,25,25,30,21,10,3,
96,34,45,46,41,46,32,35,19,5,0,32,44,20,19,25,25,30,21,10,3,
102,34,45,46,41,46,32,34,19,5,0,32,44,20,19,25,25,30,21,10,3,
108,34,45,46,41,46,32,33,19,5,0,32,44,20,19,25,25,30,21,10,3,
114,32,42,48,38,51,30,34,19,7,0,33,38,23,20,27,24,30,21,10,3,
120,32,42,48,38,51,30,34,19,7,0,33,38,23,20,27,24,30,20,10,3,
126,33,42,48,38,51,30,34,19,7,0,34,38,23,20,27,24,30,20,10,3,
132,33,42,48,38,51,30,33,19,7,0,34,38,23,20,27,24,30,18,10,3,
138,33,42,48,38,51,30,33,19,6,0,34,38,23,20,27,24,30,18,10,3,
144,33,42,48,38,51,30,33,18,6,0,35,38,23,20,27,24,30,18,10,3,
150,34,38,45,40,55,30,32,18,8,0,33,38,25,19,24,28,30,17,10,3,
156,34,38,45,40,55,30,32,18,7,0,33,38,25,19,24,28,30,17,10,3,
162,34,38,45,40,55,30,32,18,7,0,33,38,25,19,24,28,30,17,10,3,
168,34,38,45,40,55,30,31,18,7,0,33,38,25,19,24,28,30,17,10,3,
174,34,38,45,40,55,30,31,17,7,0,33,38,25,19,24,28,30,17,10,3,
180,35,38,45,40,55,30,30,17,7,0,33,38,25,19,24,28,30,17,10,3,
186,34,31,47,46,50,35,24,21,7,1,32,36,28,18,23,28,31,17,11,3,
192,34,31,47,46,50,35,24,20,7,1,32,36,28,18,23,28,31,17,11,3,
198,35,31,47,46,50,35,24,20,7,1,32,36,28,18,23,28,31,17,11,3,
204,35,31,47,46,50,35,24,20,7,1,32,36,28,18,23,28,31,16,11,3,
