Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,373,2,0,0,294,28,78,71,
12,371,2,2,1,292,34,77,68,
18,372,3,2,2,293,38,78,66,
24,372,3,2,2,293,45,78,65,
30,372,4,3,2,290,48,78,64,
36,372,4,3,2,292,55,78,62,
42,371,4,4,2,295,59,77,61,
48,370,5,6,2,296,59,76,58,
54,368,5,8,2,296,61,75,55,
60,367,6,10,3,295,62,74,56,
66,367,6,10,4,296,66,75,58,
72,368,7,10,5,296,68,76,57,
78,369,8,10,8,303,69,79,54,
84,369,9,11,8,294,69,78,65,
90,368,9,12,8,294,70,77,66,
96,367,9,13,8,296,72,77,62,
102,366,9,14,8,292,74,76,66,
108,368,11,14,8,293,74,76,67,
114,367,11,15,9,299,74,77,67,
120,367,11,15,9,295,74,77,72,
126,366,11,16,9,300,75,76,66,
132,367,12,16,10,301,75,77,64,
138,367,12,16,10,308,78,77,55,
144,369,15,17,10,305,78,77,60,
150,370,16,17,11,303,80,78,63,
156,370,16,17,11,298,81,78,69,
162,369,16,18,11,303,81,77,64,
168,370,17,18,11,297,81,77,69,
174,369,17,19,11,300,83,76,64,
180,370,19,20,11,303,84,75,62,
186,372,21,20,11,306,87,75,61,
192,369,21,23,12,302,87,75,64,
198,369,21,23,12,294,87,75,71,
204,369,22,24,13,297,86,75,67,
210,368,22,25,15,301,84,77,63,
216,370,24,25,15,298,85,77,66,
222,370,24,25,15,291,91,77,74,
228,369,24,26,15,288,91,77,75,
234,369,24,26,15,289,91,77,75,
240,368,24,27,15,293,91,76,69,
246,368,24,27,15,286,92,76,76,
252,369,25,27,15,290,93,76,74,
258,370,27,28,15,292,94,75,75,
264,368,27,30,15,292,94,75,74,
270,369,28,30,16,294,93,76,72,
276,369,28,30,16,291,93,76,75,
282,369,28,30,16,293,93,76,71,
288,367,28,32,16,289,93,76,72,
294,368,31,34,17,288,94,77,72,
300,368,32,35,17,287,94,78,72,
306,367,32,36,17,285,94,78,75,
312,368,34,37,17,289,94,78,70,
318,369,35,37,18,289,92,79,71,
324,368,36,39,18,286,92,79,74,
330,367,37,41,18,285,92,78,77,
336,368,38,41,18,285,93,78,74,
342,367,40,44,18,286,93,77,70,
348,367,40,44,18,282,93,77,73,
354,367,40,44,18,282,93,77,71,
360,367,42,46,18,280,93,75,70,
366,367,43,47,18,283,94,74,66,
372,367,43,47,19,282,94,75,66,
378,367,44,48,19,286,94,74,61,
384,367,45,49,19,284,94,74,62,
390,367,45,49,19,283,95,74,63,
396,366,45,50,19,285,95,74,58,
402,366,47,52,19,282,95,72,61,
408,363,47,55,19,280,95,72,63,
414,363,48,56,19,277,95,71,65,
420,363,49,57,19,275,95,71,65,
426,363,49,57,19,274,95,71,66,
432,363,49,57,19,271,95,71,65,
438,363,49,57,19,278,95,71,68,
444,362,49,58,20,276,94,71,70,
450,360,49,60,21,277,93,70,69,
456,363,52,60,21,272,93,70,74,
462,362,52,61,22,285,93,71,58,
468,363,53,61,23,281,92,72,64,
474,363,53,61,24,281,93,73,64,
480,364,54,61,24,281,92,73,71,
486,365,56,62,24,280,92,73,74,
492,367,59,63,24,277,91,73,73,
498,363,59,67,24,282,89,72,68,
504,363,59,67,24,279,89,72,69,
510,362,59,68,25,277,88,73,72,
516,361,59,69,25,286,90,73,71,
522,361,60,70,26,284,90,74,71,
528,362,61,70,26,285,90,74,72,
534,361,61,71,26,289,90,73,67,
540,361,61,71,26,295,90,73,62,
546,360,61,72,26,293,90,73,62,
552,359,61,73,26,294,90,73,62,
558,359,62,74,26,286,90,72,65,
564,359,62,74,26,285,90,72,61,
570,359,62,74,26,280,90,72,63,
576,357,62,76,27,282,90,73,60,
582,358,64,77,27,277,90,72,62,
