Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,667,0,4,62,112,96,136,231,30,0.9970059880239521:1,193,
12,665,0,6,57,111,101,133,233,30,0.996996996996997:1,193,
18,658,0,13,50,110,103,130,233,32,0.9879154078549849:1,192,
24,658,0,13,48,105,108,130,234,33,0.9879154078549849:1,191,
30,655,0,16,42,99,118,126,236,34,0.9908814589665653:1,192,
36,654,0,17,37,98,122,120,243,34,0.9878419452887538:1,194,
42,650,0,21,31,100,125,115,245,34,0.9877675840978594:1,194,
48,645,0,26,23,104,125,110,248,35,0.9907407407407407:1,196,
54,661,19,29,34,108,126,105,252,36,0.984984984984985:1,199,
60,657,19,33,31,109,125,105,251,36,0.990909090909091:1,198,
66,652,19,38,27,109,127,100,254,35,0.9938837920489296:1,197,
72,649,19,41,19,113,126,103,252,36,0.99079754601227:1,195,
78,645,19,45,18,110,126,103,253,35,0.9846153846153847:1,195,
84,644,19,46,18,103,130,103,253,37,0.9815384615384616:1,193,
90,639,19,51,18,98,132,101,254,36,0.9906542056074766:1,192,
96,637,19,53,18,97,131,100,254,37,0.9968652037617555:1,192,
102,633,19,57,18,91,136,98,253,37,0.9968454258675079:1,191,
108,632,19,58,17,83,144,92,258,38,1.0:1,195,
114,629,19,61,15,81,145,92,258,38,1.0095846645367412:1,195,
120,625,19,65,15,78,147,90,256,39,1.022653721682848:1,196,
126,683,78,66,59,88,149,88,258,41,0.9970760233918129:1,195,
132,682,78,67,59,86,149,85,260,43,1.0:1,199,
138,679,78,70,58,80,151,84,262,44,0.9970588235294118:1,200,
144,676,78,73,57,75,154,82,263,45,1.0:1,199,
150,672,78,77,57,70,159,79,262,45,1.0059701492537314:1,198,
156,671,78,78,57,64,163,77,261,49,1.0089820359281436:1,196,
162,665,78,84,56,58,167,75,260,49,1.0212765957446808:1,196,
168,658,78,91,56,57,167,69,260,49,1.0308641975308641:1,196,
174,651,78,98,52,51,168,71,258,51,1.034375:1,194,
180,645,78,104,52,46,170,69,256,52,1.0347003154574133:1,189,
186,640,78,109,50,42,170,69,258,51,1.0447284345047922:1,191,
192,639,78,110,49,39,173,64,261,53,1.0415335463258786:1,191,
198,705,145,111,70,77,179,65,260,54,0.9971671388101983:1,190,
204,706,149,114,69,77,179,60,266,55,1.0:1,193,
210,705,149,115,69,75,177,62,268,54,0.9971671388101983:1,194,
216,698,149,122,68,68,177,65,267,53,0.9886039886039886:1,192,
222,696,149,124,66,63,179,67,268,53,0.9885714285714285:1,193,
228,691,149,129,64,63,176,65,270,53,0.9913544668587896:1,194,
234,684,149,136,62,63,175,65,265,54,1.0058651026392962:1,189,
240,679,149,141,59,63,173,66,263,55,1.0208333333333333:1,188,
246,675,149,145,59,63,166,67,262,58,1.0149253731343284:1,186,
252,669,149,151,57,63,162,69,259,59,1.0272727272727273:1,184,
258,666,149,154,55,62,161,69,260,59,1.036697247706422:1,185,
264,665,149,155,55,62,160,67,261,60,1.039877300613497:1,185,
270,724,210,157,66,96,175,67,261,59,1.0509915014164306:1,185,
276,722,211,160,61,102,171,68,261,59,1.045325779036827:1,184,
282,714,211,168,61,100,169,68,260,56,1.0635838150289016:1,184,
288,711,211,171,61,99,168,68,259,56,1.066860465116279:1,184,
294,706,211,176,60,99,162,69,261,55,1.0703812316715542:1,184,
300,700,211,182,58,99,159,71,256,57,1.0710059171597632:1,180,
306,698,211,184,58,99,152,73,259,57,1.0712166172106825:1,181,
312,689,211,193,55,98,148,73,261,54,1.081570996978852:1,183,
318,682,211,200,54,97,141,80,256,54,1.079268292682927:1,180,
324,680,211,202,54,97,133,88,251,57,1.0858895705521472:1,178,
330,674,211,208,51,97,128,93,246,59,1.0866873065015479:1,174,
336,671,211,211,51,95,126,94,246,59,1.0838509316770186:1,175,
342,724,268,215,59,102,164,94,245,60,1.0685714285714285:1,174,
348,722,271,220,58,103,162,94,244,61,1.080691642651297:1,175,
354,715,271,227,56,103,160,92,243,61,1.0784883720930232:1,172,
360,714,271,228,56,103,157,93,243,62,1.0816326530612246:1,172,
366,708,271,234,53,102,152,98,242,61,1.0823529411764705:1,172,
372,703,271,239,52,102,149,98,239,63,1.0737463126843658:1,172,
378,697,271,245,50,100,142,103,239,63,1.0805970149253732:1,172,
384,693,271,249,49,100,138,103,240,63,1.0873493975903614:1,172,
390,688,271,254,48,100,136,103,237,64,1.0785498489425982:1,169,
396,683,271,259,48,100,127,108,236,64,1.0634441087613293:1,166,
402,679,271,263,48,100,122,110,232,67,1.0575757575757576:1,162,
408,676,271,266,46,100,121,109,234,66,1.0547112462006079:1,163,
414,729,325,267,99,100,119,111,233,67,1.0306406685236769:1,162,
420,731,330,270,58,93,164,114,235,67,1.041899441340782:1,164,
426,727,330,274,57,93,161,112,235,69,1.0307262569832403:1,161,
432,725,330,276,56,92,156,114,238,69,1.0365168539325842:1,163,
438,722,330,279,56,92,151,113,242,68,1.03954802259887:1,166,
444,718,330,283,55,92,145,117,241,68,1.0339943342776203:1,164,
450,715,330,286,53,92,142,119,240,69,1.03125:1,163,
456,712,330,289,52,91,139,121,239,70,1.0342857142857143:1,164,
462,706,330,295,52,90,135,119,242,68,1.052325581395349:1,164,
468,703,330,298,52,90,131,119,242,69,1.0495626822157433:1,163,
