Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,230,147,2.4468085106382977,1.5638297872340425,8.863191489361705,3.4134042553191497,
12,226,151,2.404255319148936,1.6063829787234043,8.74276595744681,3.493191489361703,
18,225,152,2.393617021276596,1.6170212765957446,8.70553191489362,3.4985106382978732,
24,222,155,2.3617021276595747,1.648936170212766,8.625744680851065,3.532553191489363,
30,218,159,2.3191489361702127,1.6914893617021276,8.407659574468086,3.607021276595746,
36,215,162,2.2872340425531914,1.7234042553191489,8.298085106382981,3.6229787234042568,
42,210,167,2.234042553191489,1.7765957446808511,8.111914893617023,3.6963829787234053,
48,202,175,2.148936170212766,1.8617021276595744,7.6842553191489396,3.8336170212765963,
54,196,181,2.0851063829787235,1.925531914893617,7.309468085106387,3.9492553191489366,
60,194,183,2.0638297872340425,1.946808510638298,7.056276595744684,4.0045744680851065,
66,191,186,2.0319148936170213,1.9787234042553192,6.94457446808511,4.030744680851064,
72,186,191,1.9787234042553192,2.0319148936170213,6.5937234042553206,4.102234042553191,
78,180,197,1.9148936170212767,2.095744680851064,6.232340425531916,4.264255319148935,
84,177,200,1.8829787234042554,2.127659574468085,6.164255319148938,4.32595744680851,
90,171,206,1.8191489361702127,2.1914893617021276,5.756808510638299,4.450425531914893,
96,169,208,1.797872340425532,2.2127659574468086,5.775957446808511,4.452553191489361,
102,169,208,1.797872340425532,2.2127659574468086,5.775957446808511,4.452553191489361,
108,166,211,1.7659574468085106,2.24468085106383,5.574893617021277,4.52595744680851,
114,163,214,1.7340425531914894,2.276595744680851,5.472765957446809,4.63872340425532,
120,161,216,1.7127659574468086,2.297872340425532,5.300425531914893,4.732340425531914,
126,157,220,1.6702127659574468,2.3404255319148937,5.109999999999999,4.855744680851064,
132,152,225,1.6170212765957446,2.393617021276596,4.868510638297872,4.958936170212766,
138,146,231,1.553191489361702,2.4574468085106385,4.658936170212766,5.096170212765957,
144,139,238,1.4787234042553192,2.5319148936170213,4.49936170212766,5.174893617021277,
150,137,240,1.4574468085106382,2.5531914893617023,4.47063829787234,5.177021276595744,
156,137,240,1.4574468085106382,2.5531914893617023,4.4876595744680845,5.165319148936169,
162,135,242,1.4361702127659575,2.574468085106383,4.3355319148936164,5.1887234042553185,
168,131,246,1.3936170212765957,2.617021276595745,4.284468085106383,5.219893617021276,
174,128,249,1.3617021276595744,2.648936170212766,4.195106382978723,5.264574468085105,
180,125,252,1.3297872340425532,2.6808510638297873,4.130212765957448,5.300744680851063,
186,123,254,1.3085106382978724,2.702127659574468,4.050425531914894,5.350425531914893,
192,123,254,1.3085106382978724,2.702127659574468,4.034468085106384,5.37595744680851,
198,122,255,1.297872340425532,2.7127659574468086,3.99936170212766,5.349361702127658,
204,123,254,1.3085106382978724,2.702127659574468,4.055744680851064,5.347234042553191,
210,121,256,1.2872340425531914,2.723404255319149,3.9780851063829794,5.421702127659573,
216,120,257,1.2765957446808511,2.734042553191489,3.8869148936170226,5.4411702127659565,
222,118,259,1.2553191489361701,2.75531914893617,3.7943617021276608,5.486914893617021,
228,117,260,1.2446808510638299,2.765957446808511,3.725212765957448,5.502872340425531,
234,119,258,1.2659574468085106,2.74468085106383,3.741170212765959,5.463510638297872,
240,118,259,1.2553191489361701,2.75531914893617,3.7401063829787247,5.474148936170212,
246,119,258,1.2659574468085106,2.74468085106383,3.7635106382978734,5.383723404255318,
252,117,260,1.2446808510638299,2.765957446808511,3.705000000000001,5.394361702127658,
258,116,261,1.2340425531914894,2.776595744680851,3.648617021276597,5.42095744680851,
264,114,263,1.2127659574468086,2.797872340425532,3.527340425531916,5.493297872340424,
270,117,260,1.2446808510638299,2.765957446808511,3.6454255319148943,5.4284042553191485,
276,116,261,1.2340425531914894,2.776595744680851,3.6153191489361713,5.435851063829786,
282,115,262,1.2234042553191489,2.7872340425531914,3.6100000000000008,5.479468085106382,
288,118,259,1.2553191489361701,2.75531914893617,3.847553191489363,5.433723404255319,
294,118,259,1.2553191489361701,2.75531914893617,3.9007446808510653,5.4103191489361695,
300,115,262,1.2234042553191489,2.7872340425531914,3.6773404255319155,5.442234042553191,
306,118,259,1.2553191489361701,2.75531914893617,3.7624468085106395,5.383723404255319,
312,115,262,1.2234042553191489,2.7872340425531914,3.6688297872340434,5.3922340425531905,
318,114,263,1.2127659574468086,2.797872340425532,3.6477659574468095,5.415851063829788,
324,111,266,1.1808510638297873,2.8297872340425534,3.5328723404255324,5.492446808510638,
330,110,267,1.1702127659574468,2.8404255319148937,3.5754255319148944,5.572234042553192,
336,111,266,1.1808510638297873,2.8297872340425534,3.5807446808510646,5.508404255319149,
342,110,267,1.1702127659574468,2.8404255319148937,3.4850000000000003,5.557340425531916,
348,109,268,1.1595744680851063,2.851063829787234,3.5062765957446813,5.560531914893618,
354,106,271,1.127659574468085,2.882978723404255,3.3796808510638305,5.616914893617022,
360,104,273,1.1063829787234043,2.904255319148936,3.309468085106383,5.677872340425534,
366,105,272,1.1170212765957446,2.893617021276596,3.331063829787235,5.569680851063831,
372,105,272,1.1170212765957446,2.893617021276596,3.331063829787235,5.569680851063831,
378,106,271,1.127659574468085,2.882978723404255,3.3736170212765964,5.55904255319149,
384,106,271,1.127659574468085,2.882978723404255,3.309787234042554,5.539893617021277,
390,103,274,1.0957446808510638,2.9148936170212765,3.142340425531916,5.573936170212766,
396,103,274,1.0957446808510638,2.9148936170212765,3.1785106382978734,5.597340425531915,
402,103,274,1.0957446808510638,2.9148936170212765,3.1750000000000003,5.567234042553192,
408,98,279,1.0425531914893618,2.9680851063829787,2.9824468085106384,5.621489361702128,
414,100,277,1.0638297872340425,2.9468085106382977,3.0037234042553194,5.5768085106382985,
420,98,279,1.0425531914893618,2.9680851063829787,2.9288297872340427,5.582127659574469,
426,94,283,1.0,3.0106382978723403,2.8235106382978725,5.615106382978724,
432,96,281,1.0212765957446808,2.9893617021276597,2.860744680851064,5.572553191489362,
438,96,281,1.0212765957446808,2.9893617021276597,2.980957446808511,5.602340425531916,
444,97,280,1.0319148936170213,2.978723404255319,2.9915957446808514,5.637127659574468,
450,98,279,1.0425531914893618,2.9680851063829787,2.9937234042553196,5.603085106382978,
456,98,279,1.0425531914893618,2.9680851063829787,2.887340425531915,5.57968085106383,
462,101,276,1.074468085106383,2.9361702127659575,3.041595744680851,5.566914893617021,
468,102,275,1.0851063829787233,2.925531914893617,3.0628723404255314,5.524361702127659,
474,103,274,1.0957446808510638,2.9148936170212765,3.092659574468085,5.51159574468085,
480,102,275,1.0851063829787233,2.925531914893617,3.0607446808510637,5.52223404255319,
486,102,275,1.0851063829787233,2.925531914893617,3.015,5.473297872340425,
492,100,277,1.0638297872340425,2.9468085106382977,2.94904255319149,5.505212765957447,
498,101,276,1.074468085106383,2.9361702127659575,3.0862765957446814,5.517978723404255,
504,101,276,1.074468085106383,2.9361702127659575,3.144787234042554,5.507340425531914,
510,99,278,1.053191489361702,2.9574468085106385,3.05968085106383,5.592446808510638,
516,99,278,1.053191489361702,2.9574468085106385,3.022446808510639,5.654148936170213,
522,95,282,1.0106382978723405,3.0,2.8203191489361705,5.732127659574469,
528,94,283,1.0,3.0106382978723403,2.772446808510638,5.755212765957447,
534,94,283,1.0,3.0106382978723403,2.749042553191489,5.735,
540,95,282,1.0106382978723405,3.0,2.7788297872340424,5.7222340425531915,
546,96,281,1.0212765957446808,2.9893617021276597,2.8798936170212768,5.685,
552,96,281,1.0212765957446808,2.9893617021276597,2.8713829787234046,5.644574468085107,
558,91,286,0.9680851063829787,3.0425531914893615,2.729893617021276,5.767978723404255,
564,93,284,0.9893617021276596,3.021276595744681,2.782021276595744,5.761595744680851,
570,94,283,1.0,3.0106382978723403,2.807553191489361,5.681808510638298,
576,95,282,1.0106382978723405,3.0,2.8394680851063834,5.6605319148936175,
582,96,281,1.0212765957446808,2.9893617021276597,3.0894680851063834,5.657340425531916,
588,95,282,1.0106382978723405,3.0,2.9387234042553194,5.655531914893617,
594,95,282,1.0106382978723405,3.0,2.9387234042553194,5.655531914893617,
600,96,281,1.0212765957446808,2.9893617021276597,2.9701063829787233,5.6475531914893615,
606,97,280,1.0319148936170213,2.978723404255319,3.0445744680851066,5.6475531914893615,
612,98,279,1.0425531914893618,2.9680851063829787,3.087127659574468,5.615638297872341,
618,99,278,1.053191489361702,2.9574468085106385,3.126489361702128,5.591170212765957,
624,100,277,1.0638297872340425,2.9468085106382977,3.1903191489361706,5.585851063829787,
630,100,277,1.0638297872340425,2.9468085106382977,3.1903191489361706,5.585851063829787,
636,102,275,1.0851063829787233,2.925531914893617,3.2647872340425534,5.534787234042553,
642,105,272,1.1170212765957446,2.893617021276596,3.5413829787234046,5.4220212765957445,
648,105,272,1.1170212765957446,2.893617021276596,3.5413829787234046,5.4220212765957445,
654,106,271,1.127659574468085,2.882978723404255,3.5626595744680856,5.400744680851063,
660,106,271,1.127659574468085,2.882978723404255,3.5626595744680856,5.400744680851063,
666,108,269,1.148936170212766,2.8617021276595747,3.65840425531915,5.3369148936170205,
672,108,269,1.148936170212766,2.8617021276595747,3.65840425531915,5.3369148936170205,
678,109,268,1.1595744680851063,2.851063829787234,3.727553191489362,5.32095744680851,
684,109,268,1.1595744680851063,2.851063829787234,3.727553191489362,5.32095744680851,
690,109,268,1.1595744680851063,2.851063829787234,3.727553191489362,5.32095744680851,
696,111,266,1.1808510638297873,2.8297872340425534,3.828617021276597,5.250744680851063,
702,111,266,1.1808510638297873,2.8297872340425534,3.828617021276597,5.250744680851063,
708,112,265,1.1914893617021276,2.8191489361702127,3.833936170212767,5.232659574468085,
714,112,265,1.1914893617021276,2.8191489361702127,3.833936170212767,5.232659574468085,
720,113,264,1.202127659574468,2.8085106382978724,3.875425531914895,5.226276595744681,
726,113,264,1.202127659574468,2.8085106382978724,3.875425531914895,5.226276595744681,
732,116,261,1.2340425531914894,2.776595744680851,4.237127659574469,5.144361702127659,
738,118,259,1.2553191489361701,2.75531914893617,4.350638297872341,5.124893617021276,
744,119,258,1.2659574468085106,2.74468085106383,4.3719148936170225,5.0610638297872335,
750,119,258,1.2659574468085106,2.74468085106383,4.3719148936170225,5.0610638297872335,
756,119,258,1.2659574468085106,2.74468085106383,4.3719148936170225,5.0610638297872335,
762,121,256,1.2872340425531914,2.723404255319149,4.49744680851064,5.037659574468084,
768,123,254,1.3085106382978724,2.702127659574468,4.550638297872341,5.016382978723403,
774,125,252,1.3297872340425532,2.6808510638297873,4.641063829787235,4.9578723404255305,
780,125,252,1.3297872340425532,2.6808510638297873,4.641063829787235,4.9578723404255305,
786,125,252,1.3297872340425532,2.6808510638297873,4.641063829787235,4.9578723404255305,
792,125,252,1.3297872340425532,2.6808510638297873,4.641063829787235,4.9578723404255305,
798,125,252,1.3297872340425532,2.6808510638297873,4.641063829787235,4.9578723404255305,
804,125,252,1.3297872340425532,2.6808510638297873,4.641063829787235,4.9578723404255305,
810,126,251,1.3404255319148937,2.6702127659574466,4.653829787234044,4.95255319148936,
816,127,250,1.351063829787234,2.6595744680851063,4.695319148936172,4.9514893617021265,
822,129,248,1.372340425531915,2.6382978723404253,4.75276595744681,4.89723404255319,
828,130,247,1.3829787234042554,2.627659574468085,4.782553191489364,4.89191489361702,
834,130,247,1.3829787234042554,2.627659574468085,4.782553191489364,4.89191489361702,
840,130,247,1.3829787234042554,2.627659574468085,4.782553191489364,4.89191489361702,
846,131,246,1.3936170212765957,2.617021276595745,4.8038297872340445,4.828085106382978,
852,131,246,1.3936170212765957,2.617021276595745,4.8038297872340445,4.828085106382978,
858,131,246,1.3936170212765957,2.617021276595745,4.8038297872340445,4.828085106382978,
864,132,245,1.4042553191489362,2.606382978723404,4.809148936170215,4.812127659574467,
870,132,245,1.4042553191489362,2.606382978723404,4.809148936170215,4.812127659574467,
876,132,245,1.4042553191489362,2.606382978723404,4.809148936170215,4.812127659574467,
882,133,244,1.4148936170212767,2.595744680851064,4.878297872340427,4.796170212765957,
888,134,243,1.425531914893617,2.5851063829787235,4.888936170212768,4.7748936170212755,
894,134,243,1.425531914893617,2.5851063829787235,4.888936170212768,4.7748936170212755,
900,135,242,1.4361702127659575,2.574468085106383,4.93148936170213,4.747234042553191,
906,136,241,1.446808510638298,2.5638297872340425,4.974042553191491,4.694042553191489,
912,136,241,1.446808510638298,2.5638297872340425,4.974042553191491,4.694042553191489,
918,137,240,1.4574468085106382,2.5531914893617023,5.0485106382978735,4.694042553191489,
924,138,239,1.4680851063829787,2.5425531914893615,5.1038297872340435,4.651489361702128,
930,138,239,1.4680851063829787,2.5425531914893615,5.1038297872340435,4.651489361702128,
936,139,238,1.4787234042553192,2.5319148936170213,5.115531914893618,4.6461702127659565,
942,140,237,1.4893617021276595,2.521276595744681,5.147446808510639,4.624893617021276,
948,141,236,1.5,2.5106382978723403,5.16872340425532,4.582340425531914,
954,142,235,1.5106382978723405,2.5,5.210212765957449,4.57595744680851,
960,142,235,1.5106382978723405,2.5,5.210212765957449,4.57595744680851,
966,142,235,1.5106382978723405,2.5,5.210212765957449,4.57595744680851,
972,142,235,1.5106382978723405,2.5,5.210212765957449,4.57595744680851,
978,142,235,1.5106382978723405,2.5,5.210212765957449,4.57595744680851,
984,142,235,1.5106382978723405,2.5,5.210212765957449,4.57595744680851,
990,144,233,1.5319148936170213,2.478723404255319,5.311276595744682,4.485531914893616,
996,144,233,1.5319148936170213,2.478723404255319,5.311276595744682,4.485531914893616,
1002,144,233,1.5319148936170213,2.478723404255319,5.311276595744682,4.485531914893616,
1008,145,232,1.5425531914893618,2.4680851063829787,5.346382978723406,4.480212765957446,
1014,148,229,1.574468085106383,2.4361702127659575,5.399574468085108,4.366382978723403,
