Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,233,144,2.478723404255319,1.5319148936170213,9.003617021276597,3.2764893617021276,
12,229,148,2.4361702127659575,1.574468085106383,8.866595744680852,3.382021276595745,
18,226,151,2.404255319148936,1.6063829787234043,8.774042553191492,3.445851063829787,
24,222,155,2.3617021276595747,1.648936170212766,8.594042553191493,3.47159574468085,
30,222,155,2.3617021276595747,1.648936170212766,8.583404255319152,3.4723404255319146,
36,220,157,2.3404255319148937,1.6702127659574468,8.526063829787237,3.473404255319149,
42,216,161,2.297872340425532,1.7127659574468086,8.348404255319153,3.5531914893617023,
48,212,165,2.25531914893617,1.7553191489361701,8.18670212765958,3.6308510638297866,
54,209,168,2.223404255319149,1.7872340425531914,8.079255319148942,3.6457446808510636,
60,207,170,2.202127659574468,1.8085106382978724,8.017553191489366,3.6882978723404256,
66,206,171,2.1914893617021276,1.8191489361702127,7.976063829787239,3.694680851063829,
72,203,174,2.1595744680851063,1.851063829787234,7.845212765957451,3.806382978723404,
78,201,176,2.1382978723404253,1.872340425531915,7.769680851063835,3.8372340425531912,
84,200,177,2.127659574468085,1.8829787234042554,7.737765957446814,3.858510638297872,
90,201,176,2.1382978723404253,1.872340425531915,7.769680851063835,3.8372340425531912,
96,200,177,2.127659574468085,1.8829787234042554,7.727127659574474,3.864893617021276,
102,196,181,2.0851063829787235,1.925531914893617,7.548404255319152,3.902127659574467,
108,192,185,2.0425531914893615,1.9680851063829787,7.38457446808511,3.975531914893616,
114,188,189,2.0,2.0106382978723403,7.301595744680854,4.0340425531914885,
120,188,189,2.0,2.0106382978723403,7.327127659574471,4.013829787234042,
126,187,190,1.9893617021276595,2.021276595744681,7.252659574468089,4.013829787234042,
132,185,192,1.9680851063829787,2.0425531914893615,7.170744680851068,4.030851063829786,
138,183,194,1.946808510638298,2.0638297872340425,7.070744680851066,4.030851063829786,
144,182,195,1.9361702127659575,2.074468085106383,7.044148936170215,4.030851063829786,
150,179,198,1.9042553191489362,2.106382978723404,6.936702127659577,4.047872340425531,
156,178,199,1.8936170212765957,2.117021276595745,6.894148936170215,4.1010638297872335,
162,178,199,1.8936170212765957,2.117021276595745,6.894148936170215,4.1010638297872335,
168,174,203,1.851063829787234,2.1595744680851063,6.7547872340425545,4.1719148936170205,
174,173,204,1.8404255319148937,2.1702127659574466,6.706914893617023,4.177234042553191,
180,174,203,1.851063829787234,2.1595744680851063,6.695212765957449,4.168723404255317,
186,171,206,1.8191489361702127,2.1914893617021276,6.58776595744681,4.205957446808509,
192,171,206,1.8191489361702127,2.1914893617021276,6.58776595744681,4.205957446808509,
198,172,205,1.8297872340425532,2.1808510638297873,6.662234042553194,4.205957446808509,
204,171,206,1.8191489361702127,2.1914893617021276,6.637765957446811,4.22723404255319,
210,170,207,1.8085106382978724,2.202127659574468,6.595212765957449,4.254893617021275,
216,169,208,1.797872340425532,2.2127659574468086,6.573936170212767,4.297446808510637,
222,168,209,1.7872340425531914,2.223404255319149,6.5473404255319165,4.297446808510637,
228,168,209,1.7872340425531914,2.223404255319149,6.52212765957447,4.30095744680851,
