Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,161,25,92,76,
12,371,0,0,0,161,25,92,76,
18,371,0,0,1,161,24,93,76,
24,371,0,0,1,162,25,93,75,
30,371,0,0,1,162,25,93,75,
36,371,0,0,1,162,25,93,75,
42,370,0,1,1,162,26,93,74,
48,370,0,1,1,162,26,93,74,
54,370,0,1,1,161,26,93,75,
60,370,0,1,1,161,26,93,75,
66,370,0,1,1,161,26,93,75,
72,370,0,1,2,160,25,94,76,
78,369,0,2,2,161,27,94,77,
84,370,1,2,3,160,26,95,78,
90,370,1,2,3,160,26,95,78,
96,370,1,2,3,160,26,95,78,
102,370,1,2,3,160,26,95,78,
108,369,1,3,3,158,26,94,79,
114,368,1,4,3,157,26,94,79,
120,369,2,4,3,157,26,94,79,
126,370,4,5,3,156,26,94,79,
132,368,4,7,3,154,26,94,79,
138,368,4,7,3,153,26,94,80,
144,368,4,7,3,153,26,94,80,
150,370,6,7,3,153,26,94,82,
156,371,7,7,3,154,27,94,81,
162,372,8,7,3,153,27,94,82,
168,373,9,7,3,153,27,94,82,
174,375,11,7,3,151,27,94,84,
180,375,11,7,3,151,27,94,84,
186,377,13,7,3,151,27,94,84,
192,377,13,7,3,151,27,94,84,
198,377,13,7,3,152,28,94,83,
204,379,15,7,3,152,28,94,83,
210,379,16,8,3,151,28,94,83,
216,380,17,8,3,151,28,94,83,
222,381,18,8,3,152,29,94,83,
228,382,19,8,3,151,29,94,84,
234,382,19,8,3,151,29,94,84,
240,382,19,8,3,151,29,94,84,
246,381,19,9,3,151,30,93,83,
252,383,21,9,3,150,30,93,84,
258,384,22,9,3,150,30,93,84,
264,384,22,9,3,150,30,93,84,
270,385,23,9,3,150,30,93,84,
276,386,24,9,3,150,30,93,84,
282,389,27,9,3,151,30,93,83,
288,390,28,9,3,152,31,93,82,
294,389,29,11,3,151,35,91,82,
300,389,29,11,3,151,35,91,82,
306,390,30,11,3,151,35,91,82,
312,390,30,11,3,151,35,91,82,
318,391,32,11,3,149,35,91,84,
324,393,34,11,3,149,35,91,84,
330,392,34,12,3,149,35,91,84,
336,391,34,13,3,149,36,90,83,
342,391,34,13,3,149,36,90,83,
348,392,35,13,3,149,36,90,83,
354,392,35,13,3,149,36,90,83,
360,391,35,14,3,148,36,89,83,
366,391,35,14,3,151,40,89,83,
372,390,35,15,4,148,39,89,85,
378,390,35,15,4,148,39,89,85,
384,392,37,15,4,147,39,89,86,
390,392,37,15,4,147,39,89,86,
396,392,37,15,4,146,39,89,87,
402,392,37,15,4,145,39,89,88,
408,393,38,15,4,145,39,89,88,
414,394,39,15,4,145,39,89,88,
420,393,39,16,4,143,39,88,89,
426,393,39,16,4,143,39,88,89,
432,394,40,16,4,143,39,88,89,
438,394,40,16,5,142,41,89,89,
444,395,41,16,5,142,41,89,89,
450,395,41,16,5,140,41,89,91,
456,395,41,16,5,139,41,89,92,
462,396,42,16,5,139,42,89,92,
468,397,43,16,5,139,42,89,92,
474,397,43,16,5,139,42,89,92,
480,397,43,16,5,139,42,89,92,
486,397,43,16,5,139,42,89,92,
492,397,43,16,5,138,42,89,93,
498,397,43,16,5,138,42,89,93,
504,398,44,16,5,139,42,89,92,
510,398,44,16,5,140,42,89,91,
516,398,44,16,5,140,43,89,91,
522,398,44,16,5,140,43,89,91,
528,398,44,16,6,140,43,90,91,
534,398,44,16,7,140,42,91,91,
540,397,44,17,7,139,42,91,91,
546,398,45,17,7,138,42,91,92,
552,398,45,17,7,138,42,91,92,
558,398,46,18,7,137,42,91,92,
564,398,46,18,8,137,41,92,92,
570,398,46,18,8,137,41,92,92,
576,398,46,18,8,137,41,92,92,
582,398,46,18,9,137,40,93,92,
588,398,46,18,9,136,42,93,92,
594,397,46,19,9,135,42,92,92,
600,397,46,19,9,135,42,92,92,
606,397,46,19,9,135,42,92,92,
612,397,46,19,9,135,42,92,92,
618,397,46,19,9,136,42,92,91,
624,397,46,19,9,136,42,92,91,
630,398,47,19,9,136,42,92,91,
636,398,47,19,9,135,42,92,92,
642,398,47,19,9,135,42,92,92,
648,397,47,20,10,134,41,93,92,
654,397,47,20,11,134,40,94,92,
660,397,47,20,11,132,40,94,91,
666,397,47,20,11,132,40,94,91,
672,398,48,20,11,132,40,94,91,
678,397,48,21,11,129,40,94,93,
684,396,48,22,11,127,40,93,94,
690,397,49,22,11,127,40,93,94,
696,397,49,22,11,127,40,93,94,
702,397,50,23,12,126,40,93,94,
708,397,50,23,12,126,39,93,94,
714,397,50,23,12,126,39,93,94,
720,397,50,23,12,126,39,93,94,
726,397,50,23,12,126,39,93,94,
732,397,50,23,12,125,40,93,94,
738,396,50,24,12,124,40,93,94,
744,396,50,24,13,124,40,94,94,
750,396,50,24,13,125,40,94,93,
756,397,51,24,13,125,40,94,93,
762,397,52,25,13,124,40,94,93,
768,398,53,25,13,124,40,94,93,
774,398,53,25,13,122,40,94,95,
780,398,53,25,14,122,39,95,95,
786,399,54,25,14,122,39,95,95,
792,399,55,26,16,121,37,97,95,
798,399,55,26,16,121,37,97,95,
804,400,56,26,16,120,37,97,95,
810,403,59,26,17,119,36,98,96,
816,403,59,26,17,119,36,98,96,
822,407,63,26,17,119,36,98,96,
828,407,63,26,18,120,36,99,95,
834,408,65,27,18,119,36,99,95,
840,409,66,27,18,119,36,99,95,
846,409,66,27,18,119,36,99,95,
852,410,67,27,18,119,36,99,95,
858,410,67,27,18,119,36,99,95,
864,412,69,27,18,119,36,99,95,
870,412,69,27,19,119,35,100,95,
876,414,71,27,19,117,35,100,95,
882,414,71,27,19,123,35,100,95,
888,414,71,27,19,123,35,100,95,
894,414,71,27,19,123,35,100,95,
900,415,72,27,19,123,35,100,95,
906,416,74,28,19,121,35,100,96,
912,416,74,28,19,121,35,100,96,
918,416,74,28,20,122,35,101,95,
924,416,74,28,20,122,35,101,95,
930,416,74,28,20,122,35,101,95,
936,416,74,28,20,122,35,101,95,
942,417,75,28,20,120,35,101,97,
948,417,75,28,20,120,35,101,97,
954,416,75,29,20,123,36,100,97,
960,417,76,29,21,122,35,101,98,
966,417,76,29,21,122,35,101,98,
972,417,76,29,22,122,34,102,98,
978,417,77,30,22,120,34,101,99,
984,418,78,30,22,120,34,101,99,
990,419,79,30,22,120,34,101,99,
996,419,79,30,22,120,34,101,99,
1002,419,79,30,22,120,34,101,99,
1008,420,80,30,22,120,34,101,99,
1014,420,81,31,22,119,34,101,99,
1020,421,82,31,22,119,34,101,99,
1026,422,83,31,22,128,36,101,99,
