,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
6,371,0,0,0,161,25,92,76,,6,370.9,0,0.066666667,0,160.6666667,25.03333333,92,76.26666667
6,371,0,0,0,161,25,92,76,,12,370.7333333,0,0.2,0.033333333,160.4,25.16666667,92,76.4
6,371,0,0,0,161,25,92,76,,18,370.5333333,0,0.366666667,0.166666667,160.1333333,25.13333333,92.06666667,76.5
6,371,0,0,0,160,25,92,77,,24,370.4,0,0.5,0.166666667,160.0666667,25.23333333,92.06666667,76.43333333
6,371,0,0,0,161,25,92,76,,30,370.1333333,0.066666667,0.766666667,0.333333333,159.5666667,25.16666667,92.13333333,76.66666667
6,371,0,0,0,162,26,92,75,,36,369.9666667,0.1,0.966666667,0.366666667,159.0333333,25.16666667,92,77
6,371,0,0,0,161,25,92,76,,42,369.9333333,0.166666667,1.066666667,0.433333333,158.8,25.1,92,77.13333333
6,371,0,0,0,160,25,92,77,,48,369.6,0.2,1.4,0.466666667,158.2,25.13333333,91.83333333,77.4
6,370,0,0,0,160,25,92,77,,54,369.3,0.333333333,1.733333333,0.5,157.4333333,25.13333333,91.7,77.83333333
6,371,0,0,0,160,25,92,77,,60,369.1333333,0.433333333,1.933333333,0.633333333,156.9333333,25.1,91.8,78.1
6,371,0,0,0,161,25,92,76,,66,368.9,0.5,2.2,0.8,156.5333333,25.03333333,91.73333333,78.23333333
6,370,0,1,0,160,25,92,76,,72,368.8666667,0.766666667,2.466666667,0.966666667,156.1666667,24.9,91.8,78.33333333
6,371,0,0,0,161,25,92,76,,78,368.9,0.966666667,2.633333333,1.1,158.8,26.73333333,91.8,78.53333333
6,371,0,0,0,161,25,92,76,,84,368.8,1.233333333,2.966666667,1.2,158.2,26.76666667,91.73333333,78.8
6,371,0,0,0,161,25,92,76,,90,369.0333333,1.566666667,3.066666667,1.233333333,157.8,26.8,91.7,79.06666667
6,371,0,0,0,160,25,92,77,,96,369.1,1.766666667,3.2,1.3,157.4666667,26.83333333,91.63333333,79.26666667
6,371,0,0,0,161,25,92,76,,102,369.1333333,2.033333333,3.366666667,1.366666667,157.0333333,26.83333333,91.63333333,79.56666667
6,371,0,0,0,161,25,92,76,,108,369.4333333,2.366666667,3.4,1.433333333,156.9666667,26.9,91.66666667,79.6
6,371,0,0,0,160,25,92,77,,114,369.5333333,2.666666667,3.566666667,1.5,156.6,26.9,91.66666667,79.83333333
6,371,0,0,0,161,25,92,76,,120,369.7,3.033333333,3.766666667,1.6,156.2666667,26.9,91.6,79.96666667
6,371,0,0,0,160,25,92,77,,126,370,3.6,4.033333333,1.6,155.8333333,26.9,91.43333333,80.13333333
6,371,0,0,0,161,25,92,76,,132,370.2666667,3.966666667,4.133333333,1.633333333,155.5333333,26.93333333,91.4,80.33333333
6,370,0,1,0,160,25,92,76,,138,370.9,4.7,4.2,1.666666667,155.2333333,26.9,91.4,80.56666667
6,371,0,0,0,161,25,92,76,,144,371.2,5.266666667,4.433333333,1.666666667,154.7666667,26.86666667,91.26666667,80.83333333
6,371,0,0,0,161,25,92,76,,150,371.4333333,5.7,4.633333333,1.733333333,156.4333333,26.86666667,91.26666667,80.93333333
6,371,0,0,0,161,25,92,76,,156,371.9,6.433333333,4.9,1.8,156,26.76666667,91.2,81.1
6,371,0,0,0,160,25,92,77,,162,371.9666667,6.833333333,5.233333333,1.866666667,155.5666667,26.76666667,91.06666667,81.2
