Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,370,0,1,0,159,25,92,77,
12,370,0,1,0,159,25,92,77,
18,370,0,1,0,159,25,92,77,
24,370,0,1,0,159,25,92,77,
30,370,0,1,0,159,25,92,77,
36,371,1,1,0,159,25,92,77,
42,371,1,1,0,159,25,92,77,
48,371,1,1,0,159,25,92,77,
54,371,1,1,0,158,25,92,78,
60,371,1,1,1,158,24,93,78,
66,370,1,2,1,157,24,93,78,
72,370,1,2,1,157,24,93,78,
78,372,3,2,1,159,26,93,79,
84,372,3,2,1,159,26,93,79,
90,372,3,2,1,160,27,93,78,
96,370,3,3,1,158,27,93,79,
102,370,3,3,1,157,27,93,80,
108,370,3,3,2,157,26,94,80,
114,370,3,3,2,157,26,94,80,
120,368,3,4,2,155,26,94,81,
126,368,3,4,2,155,26,94,81,
132,367,3,5,2,154,26,94,81,
138,367,3,5,2,154,26,94,81,
144,368,4,5,2,154,26,94,81,
150,370,6,5,2,157,27,94,80,
156,369,6,6,2,156,27,93,80,
162,368,6,7,2,156,28,93,79,
168,370,8,7,2,156,28,93,79,
174,370,8,7,2,156,28,93,79,
180,370,8,7,2,155,28,93,80,
186,370,9,8,2,152,28,93,82,
192,369,9,9,3,151,27,94,82,
198,370,10,9,3,151,27,94,82,
204,369,10,10,3,150,27,93,82,
210,369,10,10,3,149,27,93,83,
216,369,10,10,3,149,27,93,83,
222,370,11,10,3,150,28,93,83,
228,371,13,11,3,149,28,93,83,
234,372,14,11,3,149,28,93,83,
240,372,14,11,3,149,28,93,83,
246,373,15,11,3,149,28,93,83,
252,373,15,11,3,149,28,93,83,
258,373,15,11,3,148,28,93,84,
264,372,15,12,3,147,28,93,84,
270,374,17,12,5,146,26,95,85,
276,374,17,12,5,146,26,95,85,
282,375,18,12,5,146,26,95,85,
288,379,22,12,5,146,26,95,85,
294,379,22,12,5,147,30,95,85,
300,380,23,12,5,148,31,95,84,
306,380,23,12,5,148,31,95,84,
312,381,24,12,5,148,31,95,84,
318,381,24,12,5,147,31,95,85,
324,381,25,13,5,145,31,94,86,
330,381,25,13,5,145,31,94,86,
336,381,25,13,5,145,31,94,86,
342,382,26,13,5,145,31,94,86,
348,382,26,13,5,145,31,94,86,
354,382,26,13,5,145,31,94,86,
360,382,26,13,5,145,31,94,86,
366,381,26,14,5,147,34,93,86,
372,381,26,14,5,147,34,93,86,
378,382,27,14,5,148,35,93,85,
384,382,27,14,6,148,34,94,85,
390,382,27,14,7,148,33,95,85,
396,382,27,14,7,148,33,95,85,
402,382,27,14,7,148,33,95,85,
408,383,28,14,7,148,33,95,85,
414,384,29,14,7,148,34,95,85,
420,386,31,14,7,148,34,95,85,
426,387,32,14,7,148,34,95,85,
432,387,33,15,7,147,34,94,85,
438,388,34,15,7,146,42,94,85,
444,388,34,15,8,146,41,95,85,
450,388,34,15,8,146,41,95,85,
456,389,35,15,8,147,41,95,84,
462,389,35,15,8,147,41,95,84,
468,389,35,15,8,147,41,95,84,
474,389,35,15,9,147,40,96,84,
480,387,35,17,9,145,40,95,84,
486,386,35,18,9,145,41,94,83,
492,387,36,18,10,145,41,95,83,
498,386,36,19,10,144,41,94,83,
504,386,36,19,10,145,42,94,82,
510,387,37,19,10,145,42,94,82,
516,387,37,19,10,143,43,94,84,
522,387,37,19,10,143,43,94,84,
528,387,37,19,10,142,43,94,85,
534,387,37,19,10,142,43,94,85,
540,388,38,19,11,142,43,95,85,
546,388,38,19,12,142,42,96,85,
552,388,38,19,13,142,42,97,85,
558,388,38,19,14,143,41,98,84,
564,388,38,19,14,143,40,98,84,
570,388,38,19,14,143,40,98,84,
576,388,38,19,14,143,40,98,84,
582,391,41,19,14,143,40,98,84,
588,392,42,19,14,141,42,98,84,
594,392,42,19,14,139,42,98,86,
600,392,42,19,14,138,42,98,87,
606,392,42,19,14,138,42,98,87,
612,391,42,20,14,136,42,97,88,
618,390,42,21,14,135,42,97,88,
624,390,42,21,14,135,42,97,88,
630,391,43,21,14,135,42,97,88,
636,391,43,21,14,135,42,97,88,
642,391,43,21,14,135,42,97,88,
648,391,43,21,16,134,41,99,89,
654,391,43,21,16,134,41,99,89,
660,391,43,21,16,132,41,99,89,
666,394,46,21,16,133,42,99,88,
672,395,47,21,16,133,42,99,88,
678,394,47,22,16,132,42,98,88,
684,394,47,22,17,132,41,99,88,
690,394,47,22,17,132,41,99,88,
696,395,48,22,18,132,41,100,88,
702,395,48,22,18,132,41,100,88,
708,395,48,22,18,131,41,100,89,
714,397,50,22,18,131,41,100,89,
720,398,52,23,19,130,41,100,89,
726,398,53,24,19,129,41,99,89,
732,400,55,24,19,127,42,99,90,
738,402,57,24,19,127,42,99,90,
744,402,57,24,19,127,42,99,90,
750,403,58,24,19,127,42,99,90,
756,403,58,24,19,127,42,99,90,
762,404,59,24,19,126,42,99,91,
768,403,59,25,19,125,42,99,91,
774,402,59,26,19,124,42,98,91,
780,402,59,26,19,124,42,98,91,
786,403,60,26,19,124,42,98,91,
792,402,60,27,19,123,42,97,91,
798,403,61,27,19,123,42,97,91,
804,403,61,27,20,123,42,98,90,
810,403,61,27,20,124,42,98,89,
816,403,61,27,20,124,42,98,89,
822,404,62,27,20,122,42,98,91,
828,405,63,27,20,122,42,98,90,
834,405,63,27,20,122,42,98,90,
840,405,63,27,20,122,42,98,90,
846,405,63,27,20,122,42,98,90,
852,406,64,27,20,122,42,98,90,
858,404,64,29,20,120,42,97,90,
864,403,64,30,20,120,43,96,89,
870,404,65,30,20,120,43,96,89,
876,404,65,30,20,117,43,96,89,
882,404,65,30,21,123,43,97,89,
888,405,66,30,21,123,43,97,89,
894,404,66,31,21,122,43,97,89,
900,405,68,32,21,121,43,96,89,
906,405,68,32,21,121,43,96,89,
912,405,68,32,22,121,43,97,89,
918,405,68,32,22,121,43,97,89,
924,405,69,33,22,120,43,96,89,
930,406,70,33,22,120,43,96,89,
936,407,71,33,22,119,43,96,90,
942,407,71,33,22,119,43,96,90,
948,408,72,33,22,120,44,96,89,
954,408,72,33,22,124,45,96,89,
960,409,73,33,22,124,45,96,89,
966,409,73,33,22,124,45,96,89,
972,408,73,34,22,123,45,96,89,
978,408,73,34,22,123,45,96,89,
984,407,73,35,22,122,45,96,89,
990,408,74,35,22,122,45,96,89,
996,408,74,35,22,121,45,96,90,
1002,408,74,35,22,122,45,96,89,
1008,408,74,35,22,122,46,96,89,
1014,408,74,35,22,122,47,96,89,
1020,408,74,35,22,122,47,96,89,
1026,408,74,35,22,131,49,96,89,
1032,407,74,36,22,130,49,96,89,
1038,407,74,36,22,130,49,96,89,
1044,407,74,36,22,130,49,96,89,
1050,407,74,36,22,130,49,96,89,
1056,406,74,37,22,129,49,96,89,
1062,406,74,37,22,129,49,96,89,
1068,405,74,37,22,129,50,96,89,
1074,405,74,37,22,130,50,96,89,
1080,405,75,38,22,129,50,96,89,
1086,405,75,38,22,129,50,96,89,
1092,405,75,38,22,129,50,96,89,
1098,405,75,38,22,126,50,96,89,
1104,404,75,39,22,125,50,96,89,
1110,404,75,39,22,125,50,96,89,
1116,404,75,39,22,124,50,96,90,
1122,404,75,39,22,124,50,96,90,
1128,404,75,39,22,123,50,96,91,
1134,404,75,39,22,124,50,96,91,
1140,404,75,39,22,125,50,96,90,
1146,404,75,39,22,125,51,96,90,
1152,404,75,39,22,125,51,96,90,
1158,404,75,39,22,125,51,96,90,
1164,403,75,40,23,123,50,97,91,
1170,403,75,40,23,118,51,97,91,
1176,402,75,41,23,119,51,96,91,
1182,402,75,41,23,119,51,96,91,
1188,402,75,41,23,119,51,96,91,
1194,402,75,41,23,119,51,96,91,
1200,402,75,41,23,119,51,96,91,
1206,402,75,41,24,119,50,97,91,
1212,402,75,41,24,119,50,97,91,
1218,402,75,41,24,118,50,97,92,
1224,402,75,41,25,117,50,98,93,
1230,402,75,41,25,117,49,98,93,
1236,404,77,41,25,117,49,98,93,
1242,404,77,41,25,116,49,98,93,
1248,404,77,41,26,117,48,99,93,
1254,404,77,41,26,117,48,99,93,
1260,404,77,41,26,117,48,99,93,
1266,403,77,42,26,118,48,98,93,
1272,403,77,42,26,118,48,98,93,
1278,402,77,43,26,117,48,97,93,
1284,402,77,43,26,118,48,97,93,
1290,402,77,43,26,118,48,97,93,
1296,403,78,43,26,119,48,97,93,
1302,403,78,43,27,119,48,98,93,
1308,402,78,44,27,118,47,98,93,
1314,402,78,44,27,116,52,98,93,
1320,402,78,44,27,116,52,98,94,
1326,402,78,44,27,118,52,98,94,
1332,402,78,44,27,118,52,98,95,
1338,402,78,44,27,118,52,98,95,
1344,402,78,44,27,119,52,98,95,
1350,403,79,44,27,119,52,98,95,
1356,403,79,44,27,118,52,98,96,
1362,403,79,44,27,118,52,98,96,
1368,402,79,45,27,119,52,98,96,
1374,402,79,45,27,119,52,98,96,
1380,402,79,45,27,120,52,98,96,
1386,402,79,45,27,124,52,98,96,
1392,402,79,45,27,119,55,98,98,
1398,403,80,45,27,120,55,98,98,
1404,404,81,45,27,119,55,98,99,
1410,403,81,45,27,120,56,98,99,
1416,403,81,45,27,120,56,98,99,
1422,402,81,46,27,120,56,97,99,
1428,403,82,46,27,120,56,97,99,
1434,404,83,46,27,120,56,97,99,
1440,404,83,46,27,121,56,97,99,
1446,404,83,46,27,121,56,97,99,
1452,403,83,47,27,120,56,97,99,
1458,404,84,47,27,120,56,97,99,
