Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,673,0,2,65,116,97,139,235,21,1.0149700598802396:1,186,
12,670,0,5,57,116,100,137,238,22,1.0180722891566265:1,188,
18,665,0,10,47,121,101,136,238,22,1.0212765957446808:1,190,
24,663,0,12,43,117,103,137,241,22,1.021341463414634:1,192,
30,658,0,17,37,116,106,135,241,23,1.01840490797546:1,193,
36,651,0,24,28,119,109,132,238,25,1.0217391304347827:1,191,
42,648,0,27,26,113,117,126,242,24,1.025:1,192,
48,647,0,28,23,112,118,126,240,28,1.0282131661442007:1,188,
54,659,14,30,25,121,117,127,238,31,1.059375:1,186,
60,658,14,31,20,123,117,126,238,34,1.0626959247648904:1,183,
66,656,14,33,16,122,122,120,242,34,1.0628930817610063:1,186,
72,653,14,36,14,122,122,115,245,35,1.0599369085173502:1,187,
78,651,14,38,14,117,124,109,252,35,1.0601265822784811:1,189,
84,650,14,39,13,113,128,101,259,36,1.0634920634920635:1,191,
90,647,14,42,13,109,126,102,261,36,1.0605095541401275:1,192,
96,643,14,46,13,102,133,100,257,38,1.060897435897436:1,189,
102,638,14,51,13,98,132,99,258,38,1.064724919093851:1,190,
108,638,14,51,13,94,132,100,260,39,1.064724919093851:1,191,
114,633,14,56,13,85,139,94,260,42,1.0618892508143323:1,189,
120,630,14,59,13,81,142,91,259,44,1.0655737704918034:1,189,
126,693,80,62,66,94,139,89,262,43,1.0442477876106195:1,191,
132,688,80,67,65,89,141,86,264,43,1.0537313432835822:1,193,
138,685,80,70,64,85,141,89,260,46,1.057057057057057:1,189,
144,683,80,72,64,77,147,90,259,46,1.0634441087613293:1,189,
150,681,80,74,64,71,149,91,260,46,1.0699088145896656:1,190,
156,677,80,78,63,63,153,92,262,44,1.070336391437309:1,191,
162,676,80,79,62,56,158,92,263,45,1.0736196319018405:1,191,
168,673,80,82,61,53,159,87,268,45,1.0771604938271604:1,192,
174,667,80,88,58,48,164,82,271,44,1.0714285714285714:1,193,
180,661,80,94,55,41,168,82,271,44,1.0721003134796239:1,193,
186,656,80,99,54,39,167,81,270,45,1.0628930817610063:1,192,
192,651,80,104,53,36,168,78,273,43,1.0601265822784811:1,195,
198,717,154,112,75,77,173,77,274,41,1.0903790087463556:1,194,
204,712,155,118,72,73,178,73,275,41,1.106508875739645:1,198,
210,709,155,121,72,67,184,72,274,40,1.1038575667655786:1,197,
216,706,155,124,71,67,182,70,276,40,1.1074626865671642:1,199,
222,702,155,128,70,65,182,71,273,41,1.1081081081081081:1,197,
228,701,155,129,70,65,181,68,275,42,1.105105105105105:1,197,
234,698,155,132,69,65,178,68,276,42,1.0960960960960962:1,197,
240,693,155,137,66,65,176,68,275,43,1.1:1,196,
246,689,155,141,63,65,176,66,277,42,1.094224924012158:1,196,
252,684,155,146,62,64,174,65,278,41,1.1046153846153846:1,197,
258,680,155,150,61,64,173,66,274,42,1.0987654320987654:1,193,
264,674,155,156,60,62,169,68,273,42,1.0996884735202492:1,192,
270,725,210,160,59,106,178,67,272,43,1.0893371757925072:1,191,
276,723,211,163,56,110,174,67,273,43,1.0956521739130434:1,193,
282,720,211,166,54,109,174,65,272,46,1.099125364431487:1,190,
288,717,211,169,54,109,173,66,269,46,1.1026392961876832:1,188,
294,711,211,175,54,109,172,64,266,46,1.1223880597014926:1,189,
300,706,211,180,54,109,168,64,266,45,1.1137724550898203:1,190,
306,702,211,184,53,109,163,65,265,47,1.1144578313253013:1,189,
312,701,211,185,53,109,159,67,265,48,1.1114457831325302:1,188,
318,698,211,188,53,109,154,71,263,48,1.1151515151515152:1,187,
324,690,211,196,49,108,147,70,268,48,1.0972644376899696:1,190,
330,689,211,197,49,108,140,75,269,48,1.100609756097561:1,190,
336,687,211,199,49,108,135,80,267,48,1.1009174311926606:1,189,
342,741,270,204,60,111,177,79,267,47,1.008130081300813:1,190,
348,742,274,207,63,106,180,81,264,48,1.010840108401084:1,188,
354,737,274,212,62,104,176,81,267,47,1.008174386920981:1,189,
360,734,274,215,62,103,171,82,268,48,1.010958904109589:1,189,
366,727,274,222,60,103,167,85,263,49,1.0194444444444444:1,186,
372,723,274,226,59,102,163,83,266,50,1.0195530726256983:1,188,
378,722,274,227,59,101,161,82,266,53,1.0167597765363128:1,187,
384,718,274,231,59,101,156,85,265,52,1.0225352112676056:1,187,
390,714,274,235,58,100,148,93,263,52,1.0284090909090908:1,187,
396,711,274,238,57,100,144,97,262,51,1.0256410256410255:1,186,
402,707,274,242,56,100,139,99,262,51,1.037463976945245:1,186,
408,704,274,245,56,100,131,103,262,52,1.0346820809248556:1,185,
414,755,329,249,111,99,129,104,262,50,1.046070460704607:1,185,
420,753,332,254,58,101,179,103,261,51,1.0517711171662125:1,186,
426,750,332,257,58,101,178,104,259,50,1.0604395604395604:1,186,
432,745,332,262,57,101,169,112,255,51,1.0694444444444444:1,182,
438,738,332,269,57,101,165,112,254,49,1.0672268907563025:1,180,
444,735,332,272,56,101,159,117,251,51,1.0646067415730338:1,177,
450,727,332,280,53,101,152,121,250,50,1.0653409090909092:1,176,
456,725,332,282,52,101,146,123,253,50,1.0655270655270654:1,177,
462,722,332,285,52,100,143,125,252,50,1.062857142857143:1,175,
468,716,332,291,51,100,137,129,249,50,1.0574712643678161:1,173,
474,713,332,294,51,99,132,133,247,51,1.060693641618497:1,172,
480,705,332,302,49,99,130,131,247,49,1.055393586005831:1,172,
486,702,332,305,48,99,126,131,248,50,1.0586510263929618:1,171,
492,757,392,310,60,101,162,139,243,52,1.029490616621984:1,167,
498,754,392,313,59,99,158,143,243,52,1.0214477211796247:1,167,
504,747,392,320,55,99,154,146,240,53,1.0298913043478262:1,165,
510,742,392,325,55,98,152,147,240,50,1.0328767123287672:1,165,
516,739,392,328,54,98,152,147,235,53,1.0358126721763086:1,160,
522,732,392,335,53,98,151,140,238,52,1.0389972144846797:1,162,
528,729,392,338,51,98,151,138,238,53,1.0420168067226891:1,162,
534,723,392,344,49,98,151,132,241,52,1.0423728813559323:1,167,
540,719,392,348,49,97,151,128,243,51,1.0484330484330484:1,168,
546,713,392,354,47,96,150,123,246,51,1.0429799426934097:1,169,
552,712,392,355,47,96,150,117,250,52,1.0459770114942528:1,170,
558,710,392,357,47,96,150,114,252,51,1.0461095100864553:1,172,
564,762,451,364,60,93,187,121,250,51,1.0539083557951483:1,172,
570,756,451,370,59,92,189,118,247,51,1.0599455040871935:1,170,
576,749,451,377,56,92,187,116,245,53,1.0576923076923077:1,167,
582,743,451,383,56,91,187,113,244,52,1.0412087912087913:1,165,
588,739,451,387,55,90,187,109,245,53,1.0470914127423823:1,165,
594,736,451,390,54,90,187,104,248,53,1.0444444444444445:1,166,
600,731,451,395,53,90,186,101,250,51,1.041899441340782:1,167,
606,726,451,400,51,90,185,98,253,49,1.0393258426966292:1,168,
612,720,451,406,47,89,185,91,259,49,1.0396600566572238:1,172,
618,716,451,410,46,89,185,86,261,49,1.0457142857142858:1,173,
624,711,451,415,44,89,184,80,266,48,1.043103448275862:1,175,
630,708,451,418,44,89,184,76,269,46,1.0344827586206897:1,177,
636,748,499,426,48,91,183,116,263,47,1.0493150684931507:1,175,
642,741,499,433,47,90,181,114,262,47,1.064066852367688:1,175,
648,736,499,438,45,90,181,111,264,45,1.0501392757660166:1,175,
654,732,499,442,45,90,181,104,266,46,1.050420168067227:1,175,
660,730,499,444,45,90,180,101,269,45,1.050561797752809:1,177,
666,726,499,448,44,90,178,97,272,45,1.0508474576271187:1,179,
672,723,499,451,44,90,178,91,276,44,1.048158640226629:1,182,
678,719,499,455,43,90,177,87,277,45,1.0601719197707737:1,182,
684,718,499,456,43,90,177,83,280,45,1.0573065902578798:1,182,
690,716,499,458,42,90,177,79,281,47,1.0574712643678161:1,182,
696,711,499,463,38,90,177,78,281,47,1.0608695652173914:1,183,
702,704,499,470,38,90,175,75,280,46,1.064516129032258:1,184,
708,775,573,473,74,82,176,114,283,46,1.0777479892761395:1,187,
714,772,575,478,73,81,172,113,288,45,1.0697050938337802:1,189,
720,768,575,482,71,81,172,106,292,46,1.0700808625336926:1,189,
726,764,575,486,69,81,172,105,291,46,1.0817438692098094:1,189,
732,758,575,492,67,81,172,103,291,44,1.0710382513661203:1,188,
738,752,575,498,64,80,172,103,289,44,1.065934065934066:1,187,
744,748,575,502,62,80,172,103,287,44,1.0777777777777777:1,187,
750,743,575,507,58,80,172,103,286,44,1.0754189944134078:1,186,
756,740,575,510,58,80,172,103,285,42,1.072829131652661:1,186,
762,733,575,517,56,79,171,103,280,44,1.0823863636363635:1,184,
768,728,575,522,55,78,171,103,277,44,1.0919540229885059:1,184,
774,724,575,526,55,78,170,103,274,44,1.0864553314121037:1,181,
780,775,630,530,57,93,208,102,272,43,1.1059782608695652:1,181,
786,770,632,537,57,92,168,133,278,42,1.1095890410958904:1,188,
792,766,632,541,55,92,168,133,275,43,1.1043956043956045:1,186,
798,758,632,549,54,92,165,133,272,42,1.1114206128133706:1,185,
804,751,632,556,54,91,164,133,268,41,1.115492957746479:1,184,
810,742,632,565,52,91,162,132,264,41,1.12:1,183,
816,738,632,569,51,91,161,132,262,41,1.1268011527377522:1,182,
822,732,632,575,51,91,159,132,259,40,1.115606936416185:1,179,
828,727,632,580,51,90,158,131,257,40,1.1133720930232558:1,179,
834,723,632,584,49,90,158,131,252,43,1.1140350877192982:1,175,
840,719,632,588,48,90,158,130,250,43,1.1147058823529412:1,173,
846,716,632,591,48,90,158,130,247,43,1.112094395280236:1,170,
852,765,685,595,100,89,158,130,246,42,1.0844686648501363:1,169,
858,763,687,599,55,99,152,131,284,42,1.0904109589041096:1,189,
864,756,687,606,54,99,152,131,278,42,1.0883977900552486:1,186,
870,751,687,611,54,98,151,131,274,43,1.0919220055710306:1,184,
876,747,687,615,54,98,151,130,271,43,1.0924369747899159:1,182,
882,740,687,622,54,97,150,130,265,44,1.0903954802259888:1,179,
888,735,687,627,50,97,150,130,264,44,1.1060171919770774:1,179,
894,728,687,634,47,97,150,130,262,42,1.1162790697674418:1,179,
900,723,687,639,47,97,149,130,259,41,1.1078717201166182:1,177,
906,718,687,644,46,96,148,130,257,41,1.1179941002949854:1,176,
912,713,687,649,45,96,147,130,253,42,1.1347305389221556:1,175,
918,705,687,657,44,96,144,130,251,40,1.1428571428571428:1,174,
924,700,687,662,44,95,143,130,249,39,1.1406727828746177:1,172,
930,754,745,666,58,88,159,120,290,39,1.1420454545454546:1,192,
936,749,745,671,57,88,159,118,287,40,1.1339031339031338:1,188,
942,740,745,680,55,87,157,116,285,40,1.138728323699422:1,187,
948,737,745,683,54,87,157,116,283,40,1.1424418604651163:1,187,
954,730,745,690,54,86,157,114,279,40,1.1345029239766082:1,185,
960,726,745,694,53,86,157,114,276,40,1.1415929203539823:1,184,
966,720,745,700,51,86,156,114,273,40,1.1492537313432836:1,183,
972,716,745,704,51,85,156,114,268,42,1.15015015015015:1,178,
978,712,745,708,51,85,155,114,264,43,1.151057401812689:1,175,
984,707,745,713,50,85,155,114,259,44,1.162079510703364:1,172,
990,702,745,718,48,83,155,113,257,46,1.16:1,171,
996,700,745,720,47,83,155,113,255,47,1.1604938271604939:1,169,
1002,748,797,724,51,89,157,114,290,47,1.143266475644699:1,189,
1008,744,797,728,49,88,157,113,289,48,1.144092219020173:1,188,
1014,736,797,736,48,86,156,113,285,48,1.1583577712609971:1,187,
1020,731,797,741,48,86,156,113,282,46,1.1691394658753709:1,185,
1026,721,797,751,46,85,155,111,278,46,1.1716867469879517:1,181,
1032,720,797,752,46,85,155,110,278,46,1.1752265861027191:1,181,
1038,717,797,755,45,85,155,110,276,46,1.1793313069908815:1,181,
1044,710,797,762,45,85,154,110,272,44,1.177914110429448:1,179,
1050,706,797,766,45,85,154,110,269,43,1.1925465838509317:1,179,
1056,701,797,771,43,85,154,110,265,44,1.2044025157232705:1,178,
1062,697,797,775,41,84,154,110,264,44,1.2056962025316456:1,177,
1068,692,797,780,40,84,152,110,262,44,1.1968253968253968:1,175,
1074,745,852,782,54,85,158,107,296,45,1.1346704871060171:1,180,
1080,740,853,788,55,85,156,105,294,45,1.138728323699422:1,178,
1086,735,853,793,54,85,156,104,292,44,1.1428571428571428:1,177,
1092,728,853,800,52,85,156,103,287,45,1.128654970760234:1,172,
1098,725,853,803,51,84,156,103,286,45,1.1260997067448681:1,172,
1104,720,853,808,49,84,155,103,283,46,1.1301775147928994:1,171,
1110,718,853,810,48,84,155,103,281,47,1.1305637982195846:1,170,
1116,713,853,815,45,84,155,103,279,47,1.1347305389221556:1,168,
1122,706,853,822,45,83,155,103,273,47,1.1458966565349544:1,165,
1128,700,853,828,41,83,155,103,270,48,1.147239263803681:1,163,
1134,693,853,835,40,83,155,102,266,47,1.1521739130434783:1,160,
1140,687,853,841,40,83,154,102,262,46,1.167192429022082:1,159,
1146,740,910,845,59,78,166,105,285,47,1.144927536231884:1,169,
1152,739,912,848,58,79,167,103,285,47,1.1482558139534884:1,168,
1158,735,912,852,56,79,167,103,282,48,1.161764705882353:1,167,
1164,727,912,860,56,78,167,103,274,49,1.1701492537313434:1,164,
1170,723,912,864,55,78,166,103,271,50,1.177710843373494:1,163,
