Steps,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated,
6,371,0,0,0,161,25,92,76
6,370,0,1,0,160,25,91,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,160,25,92,77
6,371,0,0,0,161,25,92,76
6,371,0,0,0,160,26,92,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,161,25,92,76
6,370,0,1,0,160,25,91,76
6,370,0,1,0,160,25,91,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,161,25,92,76
6,371,0,0,0,161,26,92,75
6,370,0,1,0,160,25,92,76
6,371,0,0,0,161,25,92,76
6,369,0,1,0,159,25,92,77
6,370,0,1,0,160,25,91,76
6,370,0,1,0,160,25,91,76
6,371,0,0,0,161,25,92,76
6,370,0,1,0,160,25,92,76
6,371,0,0,0,161,25,92,76
6,370,0,1,0,159,25,92,77
6,371,0,0,0,161,25,92,76
6,371,0,0,0,159,25,92,78
6,371,0,0,0,160,25,92,77
6,371,0,0,0,162,26,92,75
6,371,0,0,0,161,25,92,76
12,371,0,0,0,161,25,92,76
12,370,0,1,0,160,25,91,76
12,371,0,0,0,161,25,92,76
12,371,0,0,0,160,25,92,77
12,371,0,0,0,161,25,92,76
12,371,0,0,0,160,26,92,76
12,371,0,0,0,161,25,92,76
12,372,1,0,0,161,25,92,76
12,370,0,1,0,160,25,91,76
12,370,0,1,0,159,25,91,77
12,370,0,1,0,160,25,92,76
12,371,0,0,0,161,25,92,76
12,371,0,0,0,161,25,92,76
12,371,0,0,0,161,25,92,76
12,371,0,0,0,161,25,92,76
12,370,0,1,1,160,25,93,75
12,370,0,1,0,160,25,92,76
12,371,0,0,1,161,24,93,76
12,369,0,1,0,160,26,92,76
12,370,0,1,0,160,25,91,76
12,370,0,1,0,160,25,91,76
12,370,0,1,0,160,25,91,76
12,370,0,1,0,160,25,92,76
12,370,0,1,1,160,24,92,76
12,370,0,1,0,159,25,92,77
12,371,0,0,0,161,25,92,76
12,371,0,0,0,159,25,92,78
12,371,0,0,0,160,25,92,77
12,371,0,0,0,161,26,92,76
12,371,0,0,0,161,25,92,76
18,371,0,0,0,161,25,92,76
18,370,0,1,0,160,25,91,76
18,371,0,0,0,160,25,92,77
18,371,0,0,0,160,25,92,77
18,371,0,0,0,161,25,92,76
18,371,0,0,0,160,26,92,76
18,370,0,1,0,160,25,92,76
18,372,1,0,0,161,25,92,76
18,370,0,1,0,160,25,91,76
18,369,0,2,1,157,24,92,78
18,369,0,2,0,159,25,91,76
18,371,0,0,0,161,25,92,76
18,371,0,0,0,161,25,92,76
18,370,0,1,0,160,25,92,76
18,370,0,1,0,160,25,92,76
18,370,0,1,1,159,25,93,76
18,369,0,2,0,159,25,92,76
18,371,0,0,1,161,24,93,76
18,369,0,1,0,160,26,92,76
18,370,0,1,0,160,25,91,76
18,370,0,1,0,160,25,91,76
18,370,0,1,0,160,25,91,76
18,369,0,2,0,159,25,91,76
18,370,0,1,1,158,24,92,78
18,369,0,2,0,158,25,92,77
18,371,0,0,0,160,25,92,77
18,371,0,0,0,159,25,92,78
18,371,0,0,0,160,25,92,77
18,371,0,0,0,160,26,92,77
18,371,0,0,0,161,25,92,76
24,371,0,0,0,161,26,92,75
24,370,0,1,0,160,25,91,76
24,371,0,0,0,159,25,92,78
24,371,0,0,0,160,25,92,77
24,371,0,0,0,161,25,92,76
24,371,0,0,0,158,26,92,78
24,370,0,1,0,160,25,92,76
24,372,1,0,0,161,25,92,76
24,370,0,1,0,159,25,91,77
24,368,0,3,1,154,24,92,80
24,368,0,3,0,158,25,90,76
24,371,0,0,0,161,25,92,76
24,371,0,0,0,161,25,92,76
24,370,0,1,0,161,26,92,75
24,370,0,1,0,160,25,92,76
24,369,0,2,1,158,25,92,76
24,369,0,2,0,159,25,92,76
24,371,0,0,1,161,24,93,76
24,369,0,1,0,160,26,92,76
24,370,0,1,0,160,25,91,76
24,370,0,1,0,160,25,91,76
24,370,0,1,0,160,25,91,76
24,368,0,2,0,159,26,91,76
24,370,0,1,1,158,24,92,78
24,369,0,2,0,157,25,92,78
24,371,0,0,0,160,25,92,77
24,371,0,0,0,159,25,92,78
24,371,0,0,0,160,25,92,77
24,371,0,0,0,160,26,92,77
24,370,0,1,0,160,25,91,76
30,371,0,0,0,161,26,92,75
30,369,0,2,0,159,25,91,76
30,372,1,0,0,159,25,92,78
30,371,0,0,0,160,25,92,77
30,371,0,0,0,161,25,92,76
30,371,0,0,0,158,26,92,78
30,371,1,1,0,160,25,92,76
30,372,1,0,0,161,25,92,76
30,369,0,2,0,159,25,91,77
30,367,0,4,1,153,24,91,80
30,367,0,4,0,157,25,90,76
30,370,0,1,0,160,25,91,76
30,371,0,0,0,161,25,92,76
30,370,0,1,1,161,25,93,75
30,370,0,1,0,160,25,92,76
30,368,0,3,1,157,25,92,76
30,368,0,3,0,158,25,92,76
30,371,0,0,1,161,24,93,76
30,368,0,2,0,159,26,92,76
30,370,0,1,0,159,25,91,77
30,370,0,1,0,160,25,91,76
30,370,0,1,0,160,25,91,76
30,367,0,3,0,158,26,91,76
30,370,0,1,1,157,24,92,79
30,369,0,2,0,157,25,92,78
30,371,0,0,0,160,25,92,77
30,371,0,0,0,159,25,92,78
30,371,0,0,0,160,25,92,77
30,371,0,0,0,160,26,92,77
30,370,0,1,0,160,25,91,76
36,371,0,0,0,161,26,92,75
36,369,0,2,0,160,25,91,75
36,372,1,0,0,160,25,92,77
36,371,0,0,0,160,25,92,77
36,371,0,0,0,161,25,92,76
36,370,0,0,0,157,26,92,79
36,371,1,1,0,160,25,92,76
36,372,1,0,0,161,25,92,76
36,369,0,2,0,160,26,91,76
36,367,0,4,1,153,24,91,80
36,367,0,4,0,157,25,90,76
36,370,0,1,0,160,25,91,76
36,370,0,1,0,160,25,91,76
36,369,0,2,1,160,25,93,75
36,370,0,1,0,160,25,92,76
36,368,0,3,1,156,25,92,77
36,368,0,3,0,158,25,92,76
36,371,0,0,1,161,24,93,76
36,368,0,2,1,158,25,93,77
36,370,0,1,0,159,25,91,77
36,370,0,1,0,161,26,91,75
36,370,0,1,0,160,25,91,76
36,367,0,3,0,160,28,91,74
36,370,0,1,1,157,24,92,79
36,368,0,2,1,156,24,93,79
36,371,0,0,0,160,25,92,77
36,371,0,0,0,158,25,92,79
36,371,0,0,0,160,25,92,77
36,371,0,0,0,160,26,92,77
36,370,0,1,0,160,25,91,76
42,371,0,0,0,161,26,92,75
42,370,1,2,0,161,26,91,74
42,372,1,0,0,160,25,92,77
42,370,0,1,0,159,25,91,77
42,371,0,0,0,162,25,92,75
42,370,0,0,0,157,26,92,79
42,370,1,2,0,159,25,92,76
42,372,1,0,0,161,25,92,76
42,369,0,2,0,160,26,91,76
42,367,0,4,1,152,24,91,81
42,367,0,4,0,157,25,90,76
42,370,0,1,1,161,24,92,75
42,370,0,1,1,160,24,92,76
42,369,0,2,1,161,25,93,74
42,370,0,1,0,160,25,92,76
42,368,0,3,1,156,25,92,77
42,368,0,3,0,158,25,92,76
42,371,0,0,1,161,24,93,76
42,368,0,2,1,158,25,93,77
42,370,0,1,0,159,25,91,77
42,370,0,1,0,160,26,91,76
42,370,0,1,0,160,25,91,76
42,367,0,3,0,160,28,91,74
42,370,0,1,1,157,24,92,79
42,368,0,2,1,155,24,93,80
42,371,0,0,0,160,25,92,77
42,371,0,0,0,159,26,92,78
42,371,0,0,0,161,26,92,76
42,370,0,1,0,159,26,91,77
42,370,0,1,0,160,25,91,76
48,371,0,0,1,162,26,93,74
48,370,1,2,0,160,26,91,75
48,372,1,0,0,159,25,92,78
48,370,0,1,0,158,25,91,78
48,372,1,0,0,163,26,92,74
48,370,0,0,0,157,26,92,79
48,370,2,3,0,158,25,91,76
48,372,1,0,0,161,25,92,76
48,369,0,2,0,160,26,91,76
48,367,0,4,1,152,24,91,81
48,367,0,4,1,157,24,91,76
48,370,0,1,1,160,24,92,76
48,370,0,1,1,160,24,92,76
48,366,0,5,1,160,26,91,72
48,369,0,2,0,159,25,92,76
48,367,0,4,1,155,25,92,77
48,368,0,3,0,157,25,92,77
48,371,0,0,1,161,24,93,76
48,368,0,2,1,158,25,93,77
48,369,0,2,0,158,25,91,77
48,369,0,2,0,159,26,91,76
48,370,0,1,0,160,25,91,76
48,367,0,3,0,160,28,91,74
48,370,0,1,1,157,24,92,79
48,368,0,2,2,155,23,94,80
48,371,0,0,0,160,25,92,77
48,371,0,0,0,158,26,92,79
48,370,0,1,0,159,26,91,77
48,370,0,1,0,159,26,91,77
48,370,0,1,1,160,24,92,76
54,371,0,0,1,162,26,93,74
54,370,1,2,0,158,26,91,77
54,373,2,0,0,159,25,92,78
54,371,1,1,0,157,25,91,79
54,371,1,1,0,161,26,91,75
54,370,0,0,0,157,26,92,79
54,370,2,3,0,158,25,91,76
54,372,1,0,0,161,25,92,76
54,369,0,2,0,159,26,91,77
54,367,0,4,1,151,24,91,82
54,367,0,4,1,157,24,91,76
54,370,0,1,1,160,24,92,76
54,370,0,1,1,160,24,92,76
54,366,0,5,1,160,26,91,72
54,369,0,2,0,159,25,92,76
54,366,0,5,1,154,25,91,77
54,368,0,3,0,156,25,92,78
54,370,0,1,1,159,24,92,77
54,368,0,2,1,158,25,93,77
54,369,0,2,0,158,25,91,77
54,369,0,2,1,159,25,92,76
54,369,0,2,0,159,25,91,76
54,367,0,3,0,160,28,91,74
54,370,0,1,1,157,24,92,79
54,368,0,2,2,154,23,94,81
54,371,0,0,0,161,26,92,76
54,371,0,0,0,158,26,92,79
54,370,0,1,0,159,26,91,77
54,370,0,1,0,158,26,91,78
54,369,0,2,1,160,24,92,76
60,371,0,0,1,162,26,93,74
60,370,1,2,0,158,26,91,77
60,372,2,1,0,158,25,91,78
60,371,1,1,0,157,25,91,79
60,371,1,1,0,161,26,91,75
