Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,232,145,2.4680851063829787,1.5425531914893618,8.86117021276596,3.333617021276596,
12,228,149,2.425531914893617,1.5851063829787233,8.498404255319151,3.492127659574468,
18,224,153,2.382978723404255,1.627659574468085,8.12617021276596,3.614468085106383,
24,220,157,2.3404255319148937,1.6702127659574468,8.096276595744683,3.646382978723404,
30,217,160,2.3085106382978724,1.702127659574468,7.942021276595748,3.6836170212765955,
36,215,162,2.2872340425531914,1.7234042553191489,7.85617021276596,3.697659574468085,
42,209,168,2.223404255319149,1.7872340425531914,7.45085106382979,3.813617021276596,
48,208,169,2.2127659574468086,1.797872340425532,7.42744680851064,3.8242553191489366,
54,203,174,2.1595744680851063,1.851063829787234,7.078510638297875,3.8870212765957453,
60,202,175,2.148936170212766,1.8617021276595744,7.04117021276596,3.961489361702128,
66,200,177,2.127659574468085,1.8829787234042554,6.974148936170216,3.988085106382979,
72,196,181,2.0851063829787235,1.925531914893617,6.832340425531918,4.088085106382979,
78,188,189,2.0,2.0106382978723403,6.474893617021277,4.244468085106383,
84,183,194,1.946808510638298,2.0638297872340425,6.351595744680852,4.29872340425532,
90,181,196,1.925531914893617,2.0851063829787235,6.323936170212766,4.3370212765957445,
96,177,200,1.8829787234042554,2.127659574468085,6.21436170212766,4.368936170212766,
102,174,203,1.851063829787234,2.1595744680851063,6.052659574468086,4.408297872340426,
108,173,204,1.8404255319148937,2.1702127659574466,6.039893617021277,4.409361702127659,
114,170,207,1.8085106382978724,2.202127659574468,5.970319148936171,4.452978723404255,
120,168,209,1.7872340425531914,2.223404255319149,5.885212765957447,4.479574468085105,
126,167,210,1.7765957446808511,2.234042553191489,5.842659574468086,4.511489361702127,
132,165,212,1.7553191489361701,2.25531914893617,5.74372340425532,4.527446808510637,
138,162,215,1.7234042553191489,2.2872340425531914,5.716063829787235,4.58595744680851,
144,161,216,1.7127659574468086,2.297872340425532,5.684148936170214,4.644468085106382,
150,160,217,1.702127659574468,2.3085106382978724,5.639468085106384,4.702978723404255,
156,161,216,1.7127659574468086,2.297872340425532,5.6607446808510655,4.660425531914893,
162,161,216,1.7127659574468086,2.297872340425532,5.6607446808510655,4.660425531914893,
168,160,217,1.702127659574468,2.3085106382978724,5.556808510638298,4.657553191489361,
174,158,219,1.6808510638297873,2.3297872340425534,5.411063829787234,4.685212765957447,
180,158,219,1.6808510638297873,2.3297872340425534,5.411063829787234,4.685212765957447,
186,156,221,1.6595744680851063,2.351063829787234,5.339787234042553,4.725638297872339,
192,155,222,1.648936170212766,2.3617021276595747,5.282340425531914,4.668191489361701,
198,153,224,1.627659574468085,2.382978723404255,5.245531914893617,4.701276595744679,
204,151,226,1.6063829787234043,2.404255319148936,5.2029787234042555,4.725744680851062,
210,151,226,1.6063829787234043,2.404255319148936,5.1604255319148935,4.685319148936169,
216,149,228,1.5851063829787233,2.425531914893617,5.061489361702128,4.703404255319148,
222,150,227,1.5957446808510638,2.4148936170212765,5.099787234042553,4.717234042553191,
228,149,228,1.5851063829787233,2.425531914893617,5.087021276595745,4.7246808510638285,
234,148,229,1.574468085106383,2.4361702127659575,5.080638297872341,4.728936170212765,
240,143,234,1.5212765957446808,2.4893617021276597,4.847659574468086,4.8044680851063815,
246,145,232,1.5425531914893618,2.4680851063829787,4.866808510638299,4.800212765957446,
252,144,233,1.5319148936170213,2.478723404255319,4.88276595744681,4.80127659574468,
258,143,234,1.5212765957446808,2.4893617021276597,4.833829787234044,4.805531914893616,
264,143,234,1.5212765957446808,2.4893617021276597,4.833829787234044,4.805531914893616,
270,144,233,1.5319148936170213,2.478723404255319,4.857234042553192,4.805531914893616,
276,143,234,1.5212765957446808,2.4893617021276597,4.86468085106383,4.826808510638297,
282,139,238,1.4787234042553192,2.5319148936170213,4.676382978723404,4.85659574468085,
288,139,238,1.4787234042553192,2.5319148936170213,4.656170212765957,4.868297872340425,
294,139,238,1.4787234042553192,2.5319148936170213,4.634893617021277,4.873617021276595,
300,139,238,1.4787234042553192,2.5319148936170213,4.624255319148936,4.884255319148935,
306,139,238,1.4787234042553192,2.5319148936170213,4.624255319148936,4.884255319148935,
312,140,237,1.4893617021276595,2.521276595744681,4.755106382978724,4.841702127659574,
318,136,241,1.446808510638298,2.5638297872340425,4.515744680851064,4.932127659574467,
324,136,241,1.446808510638298,2.5638297872340425,4.515744680851064,4.932127659574467,
330,136,241,1.446808510638298,2.5638297872340425,4.547659574468085,4.921489361702127,
336,136,241,1.446808510638298,2.5638297872340425,4.599787234042553,4.9555319148936166,
342,134,243,1.425531914893617,2.5851063829787235,4.533829787234042,5.00659574468085,
348,131,246,1.3936170212765957,2.617021276595745,4.480638297872341,5.0353191489361695,
354,130,247,1.3829787234042554,2.627659574468085,4.46468085106383,5.05659574468085,
360,130,247,1.3829787234042554,2.627659574468085,4.455106382978722,5.036382978723404,
366,129,248,1.372340425531915,2.6382978723404253,4.42,5.041702127659574,
372,129,248,1.372340425531915,2.6382978723404253,4.42,5.041702127659574,
378,127,250,1.351063829787234,2.6595744680851063,4.377446808510637,5.0470212765957445,
384,127,250,1.351063829787234,2.6595744680851063,4.377446808510637,5.0470212765957445,
390,125,252,1.3297872340425532,2.6808510638297873,4.299999999999999,5.056808510638297,
396,122,255,1.297872340425532,2.7127659574468086,4.219148936170212,5.080212765957446,
402,119,258,1.2659574468085106,2.74468085106383,4.093617021276596,5.098297872340424,
408,120,257,1.2765957446808511,2.734042553191489,4.123404255319148,5.096170212765957,
414,118,259,1.2553191489361701,2.75531914893617,4.072340425531914,5.111063829787233,
420,117,260,1.2446808510638299,2.765957446808511,4.093617021276595,5.140851063829786,
426,115,262,1.2234042553191489,2.7872340425531914,3.9276595744680844,5.2004255319148935,
432,113,264,1.202127659574468,2.8085106382978724,3.849148936170212,5.2623404255319155,
438,113,264,1.202127659574468,2.8085106382978724,3.818297872340425,5.252765957446808,
444,114,263,1.2127659574468086,2.797872340425532,3.8874468085106377,5.236808510638298,
450,114,263,1.2127659574468086,2.797872340425532,3.914042553191489,5.236808510638298,
456,112,265,1.1914893617021276,2.8191489361702127,3.8448936170212766,5.2325531914893615,
462,111,266,1.1808510638297873,2.8297872340425534,3.8151063829787235,5.2453191489361695,
468,113,264,1.202127659574468,2.8085106382978724,3.900212765957446,5.181489361702127,
474,112,265,1.1914893617021276,2.8191489361702127,3.883191489361702,5.186808510638297,
480,110,267,1.1702127659574468,2.8404255319148937,3.814042553191489,5.191063829787234,
486,111,266,1.1808510638297873,2.8297872340425534,3.8565957446808508,5.163404255319149,
492,111,266,1.1808510638297873,2.8297872340425534,3.837446808510639,5.215531914893617,
498,109,268,1.1595744680851063,2.851063829787234,3.7895744680851067,5.2261702127659575,
504,111,266,1.1808510638297873,2.8297872340425534,3.911914893617021,5.206276595744681,
510,111,266,1.1808510638297873,2.8297872340425534,3.9182978723404256,5.238191489361702,
516,109,268,1.1595744680851063,2.851063829787234,3.867234042553192,5.272234042553192,
522,108,269,1.148936170212766,2.8617021276595747,3.7760638297872346,5.260851063829787,
528,108,269,1.148936170212766,2.8617021276595747,3.7760638297872346,5.260851063829787,
534,104,273,1.1063829787234043,2.904255319148936,3.6420212765957447,5.34063829787234,
540,104,273,1.1063829787234043,2.904255319148936,3.6420212765957447,5.34063829787234,
546,102,275,1.0851063829787233,2.925531914893617,3.3218085106382977,5.436382978723404,
552,103,274,1.0957446808510638,2.9148936170212765,3.3324468085106385,5.432872340425531,
558,105,272,1.1170212765957446,2.893617021276596,3.460106382978724,5.409468085106382,
564,104,273,1.1063829787234043,2.904255319148936,3.43,5.40627659574468,
570,105,272,1.1170212765957446,2.893617021276596,3.451276595744681,5.39563829787234,
576,105,272,1.1170212765957446,2.893617021276596,3.451276595744681,5.39563829787234,
