,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,
6,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,6,33,46.96666667,49,45,41,28,36.9,22.9,4,0,26,46,19,17,30,23,28.96666667,21.93333333,10,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,12,33,46.96666667,49,45,41,28,36.86666667,22.86666667,4,0,26,45.96666667,19,17,30,23,28.93333333,21.9,10,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,18,33,46.93333333,49,45,41,28,36.73333333,22.83333333,4,0,26,45.96666667,19,17,30,23,28.83333333,21.86666667,9.933333333,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,24,33,46.93333333,49,45,41,28,36.63333333,22.83333333,4,0,26.03333333,45.96666667,19,17,30,23,28.76666667,21.86666667,9.933333333,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,30,33,46.9,49,45,41,28,36.53333333,22.76666667,4,0,26.03333333,45.96666667,19,17,30,23,28.7,21.83333333,9.933333333,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,36,33,46.9,49,45,41,28,36.5,22.7,3.966666667,0,26.13333333,45.96666667,19,17,30,23,28.7,21.83333333,9.866666667,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,42,33.06666667,46.9,49,45,41,28,36.43333333,22.63333333,3.966666667,0,26.23333333,45.96666667,19,17,30,23,28.63333333,21.83333333,9.866666667,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,48,33.13333333,46.9,49,45,41,28,36.4,22.63333333,3.966666667,0,26.3,45.96666667,19,17,30,23,28.6,21.83333333,9.866666667,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,54,33.13333333,46.9,49,45,41,28,36.33333333,22.63333333,3.966666667,0,26.4,45.96666667,19,17,30,23,28.56666667,21.76666667,9.833333333,3
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,60,33.16666667,46.9,49,45,41,28,36.33333333,22.6,3.966666667,0,26.43333333,45.96666667,19,17,30,23,28.5,21.76666667,9.833333333,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,10,3,,66,33.2,46.9,49,45,41,28,36.3,22.6,3.966666667,0,26.5,45.96666667,19,17,30,23,28.46666667,21.73333333,9.833333333,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,72,33.3,46.9,49,45,41,28,36.2,22.56666667,3.966666667,0,26.6,45.96666667,19,17,30,23,28.4,21.7,9.833333333,3
6,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,78,33.43333333,45.9,47,43,43.96666667,29,36.06666667,23.5,3.966666667,0,26.8,43.96666667,20,18,28,24.96666667,28.4,21.66666667,9.766666667,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,84,33.56666667,45.9,47,43,43.96666667,29,36.06666667,23.43333333,3.966666667,0,27,43.96666667,20,18,28,24.96666667,28.33333333,21.66666667,9.733333333,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,90,33.86666667,45.9,47,43,43.96666667,29,36,23.4,3.966666667,0,27.2,43.96666667,20,18,28,24.96666667,28.3,21.66666667,9.7,3
6,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,96,33.96666667,45.86666667,47,43,43.96666667,29,35.96666667,23.36666667,3.966666667,0,27.3,43.96666667,19.96666667,18,28,24.96666667,28.3,21.66666667,9.7,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,102,34.03333333,45.86666667,47,43,43.96666667,29,35.83333333,23.36666667,3.966666667,0,27.56666667,43.96666667,19.96666667,18,28,24.96666667,28.26666667,21.66666667,9.7,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,10,3,,108,34.2,45.83333333,47,43,43.96666667,29,35.8,23.36666667,3.966666667,0,27.73333333,43.93333333,19.96666667,18,28,24.96666667,28.23333333,21.63333333,9.7,3
6,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,114,34.33333333,45.83333333,47,43,43.96666667,29,35.8,23.36666667,3.966666667,0,27.96666667,43.9,19.96666667,18,28,24.96666667,28.06666667,21.63333333,9.7,3
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,120,34.5,45.8,47,43,43.96666667,28.96666667,35.8,23.33333333,3.966666667,0,28.23333333,43.9,19.96666667,18,28,24.93333333,28.03333333,21.63333333,9.666666667,2.966666667
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,126,34.8,45.76666667,47,43,43.96666667,28.96666667,35.66666667,23.3,3.966666667,0,28.4,43.86666667,19.96666667,18,28,24.93333333,28,21.63333333,9.666666667,2.966666667
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,132,35,45.76666667,47,43,43.96666667,28.96666667,35.56666667,23.3,3.966666667,0,28.63333333,43.86666667,19.96666667,18,28,24.93333333,27.96666667,21.63333333,9.666666667,2.966666667
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,138,35.36666667,45.76666667,47,43,43.96666667,28.96666667,35.56666667,23.3,3.966666667,0,28.93333333,43.86666667,19.96666667,18,28,24.93333333,27.96666667,21.63333333,9.633333333,2.966666667
