Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,702,0,5,66,112,112,133,249,30,1.2428115015974441:1,205,
12,698,0,9,57,114,115,135,246,31,1.2443729903536977:1,203,
18,694,0,13,50,112,115,136,249,32,1.2315112540192925:1,205,
24,691,0,16,44,109,123,132,251,32,1.229032258064516:1,205,
30,687,0,20,39,107,130,125,252,34,1.2305194805194806:1,207,
36,684,0,23,32,109,129,128,251,35,1.2352941176470589:1,208,
42,678,0,29,27,105,134,122,256,34,1.230263157894737:1,210,
48,672,0,35,21,109,133,119,254,36,1.2325581395348837:1,209,
54,686,18,39,30,114,131,120,254,37,1.256578947368421:1,211,
60,686,18,39,25,113,135,118,256,39,1.256578947368421:1,212,
66,683,18,42,22,112,137,116,257,39,1.2541254125412542:1,213,
72,682,18,43,17,111,139,117,257,41,1.2582781456953642:1,212,
78,678,18,47,17,106,141,114,260,40,1.26:1,213,
84,676,18,49,17,101,142,114,262,40,1.2608695652173914:1,214,
90,672,18,53,16,96,144,114,262,40,1.25503355704698:1,214,
96,669,18,56,14,90,149,110,265,41,1.260135135135135:1,215,
102,664,18,61,14,86,147,113,262,42,1.2585034013605443:1,212,
108,661,18,64,14,83,147,112,263,42,1.2559726962457338:1,211,
114,659,18,66,14,81,145,111,267,41,1.2646048109965635:1,214,
120,657,18,68,13,77,147,111,268,41,1.2655172413793103:1,213,
126,726,89,70,70,88,147,110,267,44,1.2616822429906542:1,212,
132,723,89,73,70,85,144,108,270,46,1.2664576802507836:1,213,
138,718,89,78,69,80,146,106,269,48,1.2649842271293374:1,210,
144,712,89,84,68,76,147,102,272,47,1.2603174603174603:1,211,
150,710,89,86,68,71,151,101,272,47,1.2611464968152866:1,211,
156,702,89,94,67,65,156,95,273,46,1.2718446601941749:1,210,
162,699,89,97,66,61,159,92,274,47,1.2694805194805194:1,210,
168,697,89,99,66,56,162,90,276,47,1.2777777777777777:1,210,
174,693,89,103,66,51,166,87,278,45,1.2796052631578947:1,213,
180,689,89,107,66,43,169,89,276,46,1.281456953642384:1,212,
186,684,89,112,64,38,170,90,276,46,1.28:1,212,
192,679,89,117,63,34,171,90,276,45,1.2861952861952861:1,214,
198,748,164,123,79,83,176,87,278,45,1.2395209580838322:1,217,
204,747,165,125,74,83,177,87,281,45,1.2365269461077844:1,217,
210,742,165,130,72,79,178,85,283,45,1.2484848484848485:1,220,
216,741,165,131,71,74,182,84,284,46,1.2522796352583587:1,221,
222,736,165,136,69,73,179,83,285,47,1.2439024390243902:1,222,
228,736,165,136,69,73,179,80,287,48,1.2439024390243902:1,223,
234,732,165,140,67,73,175,81,288,48,1.2523076923076923:1,224,
240,726,165,146,66,73,171,80,288,48,1.26875:1,226,
246,723,165,149,65,73,170,81,282,52,1.2807570977917981:1,222,
252,714,165,158,63,73,168,82,275,53,1.303225806451613:1,219,
258,710,165,162,62,73,167,78,276,54,1.2977346278317152:1,218,
264,706,165,166,62,73,166,77,275,53,1.3071895424836601:1,217,
270,768,230,169,66,121,177,74,274,56,1.272189349112426:1,215,
276,764,231,174,65,121,175,74,271,58,1.2738095238095237:1,211,
282,759,231,179,63,120,172,75,271,58,1.2724550898203593:1,211,
288,756,231,182,63,120,170,73,273,57,1.2771084337349397:1,214,
294,747,231,191,61,118,167,73,270,58,1.2984615384615386:1,212,
300,744,231,194,60,118,160,78,271,57,1.303405572755418:1,212,
