,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,6,33,46.96666667,49,45,41,28,36.86666667,23,3.966666667,0,26,46,19,17,30,23,28.96666667,22,10,2.966666667,,33,-0.107772698
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,12,33,46.93333333,49,45,41,27.96666667,36.86666667,23,3.966666667,0,25.96666667,46,19,17,30,23,28.86666667,22,10,2.933333333,,46.93333333,-0.153276725
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,18,33,46.93333333,49,45,41,27.96666667,36.76666667,22.93333333,3.966666667,0,25.96666667,45.93333333,19,17,30,23,28.86666667,22,10,2.933333333,,49,-0.160026127
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,2,,24,33,46.9,49,45,41,27.96666667,36.73333333,22.86666667,3.966666667,0,25.96666667,45.86666667,19,17,30,23,28.86666667,22,10,2.933333333,,45,-0.146962769
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,30,33,46.9,49,45,41,27.96666667,36.63333333,22.86666667,3.966666667,0,25.96666667,45.86666667,19,17,30,23,28.76666667,21.96666667,10,2.933333333,,41,-0.133899412
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,36,33.03333333,46.9,49,45,41,27.96666667,36.56666667,22.86666667,3.966666667,0,25.96666667,45.86666667,19,17,30,23,28.73333333,21.9,9.9,2.933333333,,27.96666667,-0.09133464
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,42,33.03333333,46.9,49,45,41,27.96666667,36.46666667,22.86666667,3.966666667,0,25.96666667,45.86666667,19,17,30,23,28.73333333,21.86666667,9.9,2.933333333,,36.46666667,-0.119094274
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,48,33.1,46.9,49,45,41,27.96666667,36.36666667,22.86666667,3.966666667,0,25.96666667,45.86666667,19,17,30,23,28.7,21.86666667,9.866666667,2.933333333,,22.86666667,-0.074678859
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,54,33.16666667,46.9,48.96666667,45,41,27.96666667,36.36666667,22.83333333,3.966666667,0,26,45.83333333,19,17,30,23,28.6,21.83333333,9.866666667,2.933333333,,3.966666667,-0.012954496
6,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,60,33.16666667,46.9,48.96666667,45,40.96666667,27.96666667,36.33333333,22.76666667,3.966666667,0,26,45.83333333,19,17,30,23,28.53333333,21.8,9.866666667,2.933333333,,0,0
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,66,33.2,46.86666667,48.96666667,45,40.96666667,27.96666667,36.3,22.73333333,3.933333333,0,26.03333333,45.83333333,19,17,30,23,28.5,21.8,9.866666667,2.933333333,,306.2,
