Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
,,,,,,,,
6,371,0,0,0,161,25,92,76
12,370,0,1,0,161,26,91,75
18,370,0,1,0,161,26,91,75
24,370,0,1,0,161,26,91,75
30,369,0,2,0,160,26,91,75
36,368,0,3,0,159,26,91,75
42,366,0,5,0,157,26,90,75
48,366,0,5,1,157,26,91,75
54,366,0,5,1,157,25,91,75
60,366,0,5,1,157,25,91,75
66,366,0,5,1,157,25,91,75
72,366,0,5,1,157,25,91,75
78,367,1,5,1,161,28,91,74
84,367,1,5,1,160,28,91,75
90,366,1,6,1,158,28,91,76
96,367,2,6,2,157,27,92,77
102,367,2,6,2,157,27,92,77
108,366,2,7,2,155,27,91,78
114,367,3,7,3,155,26,92,78
120,367,3,7,3,154,26,92,79
126,367,3,7,3,154,26,92,79
132,366,3,8,3,153,26,91,79
138,364,3,10,3,150,26,89,80
144,365,4,10,3,149,26,89,81
150,366,5,10,3,151,26,89,81
156,366,5,10,3,151,26,89,81
162,367,6,10,3,151,26,89,81
168,368,7,10,3,151,26,89,81
174,368,8,11,3,150,26,89,81
180,368,8,11,3,150,26,89,81
186,369,9,11,3,150,26,89,81
192,371,11,11,3,149,26,89,82
198,371,11,11,3,149,26,89,82
204,372,12,11,3,148,26,89,83
210,372,12,11,3,148,26,89,83
216,372,12,11,3,148,26,89,83
222,373,13,11,3,149,27,89,83
228,373,13,11,3,147,27,89,85
234,373,13,11,3,147,27,89,85
240,374,14,11,3,147,27,89,85
246,376,16,11,3,147,27,89,85
252,377,17,11,3,147,27,89,85
258,377,17,11,3,147,27,89,85
264,377,17,11,3,147,27,89,85
270,377,17,11,3,147,27,89,85
276,377,17,11,3,147,27,89,85
282,377,17,11,3,147,27,89,85
288,377,17,11,3,146,27,89,86
294,378,18,11,3,147,31,89,86
300,379,20,11,3,146,31,89,87
306,379,20,11,3,146,31,89,87
312,379,20,11,3,146,32,89,87
318,380,21,11,3,145,32,89,88
324,380,21,11,3,145,32,89,88
330,380,21,11,3,145,32,89,88
336,379,21,12,3,143,32,88,89
342,379,21,12,3,143,32,88,89
348,379,21,12,3,142,32,88,90
354,379,21,12,3,142,32,88,90
360,379,21,12,3,142,32,88,90
366,379,22,13,3,144,35,88,90
372,377,22,15,3,143,36,88,89
378,376,22,16,3,142,36,88,89
384,375,22,17,3,141,36,87,89
390,375,22,17,3,141,36,87,89
396,375,22,17,3,140,36,87,90
402,376,23,17,3,140,36,87,90
408,377,24,17,3,140,36,87,90
414,377,24,17,3,140,36,87,90
420,377,24,17,3,140,36,87,90
426,377,24,17,3,140,36,87,90
432,377,24,17,4,140,35,88,90
438,377,24,17,4,140,42,88,90
444,375,24,19,4,138,42,87,90
450,375,24,19,5,138,42,88,90
456,375,24,19,5,138,41,88,90
462,376,25,19,5,139,41,88,89
468,376,25,19,5,139,41,88,89
474,377,26,19,6,139,40,89,89
480,377,26,19,6,140,41,89,88
486,376,26,20,6,139,41,89,88
492,376,26,20,6,139,41,89,88
498,377,27,20,6,139,41,89,88
504,378,28,20,6,139,41,89,88
510,378,28,20,6,139,41,89,88
516,379,29,20,8,138,40,91,88
522,379,29,20,8,138,40,91,88
528,380,30,20,8,138,40,91,88
534,381,31,20,8,138,40,91,88
540,381,31,20,8,137,40,91,89
546,382,32,20,8,136,40,91,90
552,382,33,21,9,135,39,92,90
558,383,34,21,9,135,39,92,90
564,383,35,22,9,134,39,91,90
570,383,35,22,9,134,39,91,90
576,384,36,22,10,134,38,92,90
582,385,37,22,10,133,38,92,91
588,384,37,23,10,130,40,92,91
594,385,38,23,11,130,39,93,91
600,385,38,23,12,130,38,94,91
606,385,38,23,12,130,38,94,91
612,385,38,23,12,129,38,94,92
618,385,38,23,12,129,38,94,92
624,386,39,23,12,129,38,94,92
630,385,39,24,12,127,38,94,93
636,386,40,24,12,128,39,94,92
642,387,41,24,12,128,39,94,92
648,387,41,24,13,128,39,95,92
654,387,41,24,13,129,39,95,91
660,387,41,24,13,128,39,95,91
666,387,41,24,13,128,39,95,91
672,388,42,24,13,128,39,95,91
678,388,42,24,13,127,39,95,92
684,390,44,24,13,127,39,95,92
690,389,44,24,13,124,39,95,95
696,389,44,24,14,124,38,96,95
702,388,45,26,15,122,38,96,95
708,388,45,26,15,122,37,96,95
714,388,45,26,15,122,37,96,95
720,388,45,26,15,122,37,96,95
726,388,45,26,15,122,37,96,95
732,387,45,27,15,120,38,95,95
738,387,45,27,15,120,39,95,95
744,387,45,27,15,120,39,95,95
750,387,45,27,16,120,38,96,95
756,386,45,28,17,118,38,97,96
762,387,46,28,17,118,37,97,96
768,387,46,28,17,117,37,97,97
774,388,47,28,17,117,37,97,97
780,387,47,29,17,116,37,96,97
786,387,47,29,18,116,36,97,97
792,387,47,29,18,116,36,97,97
798,388,48,29,18,116,37,97,97
804,388,48,29,18,116,37,97,97
810,389,49,29,18,117,38,97,96
816,390,50,29,18,117,38,97,96
822,391,51,29,18,117,38,97,96
828,389,51,31,19,116,37,98,96
834,389,51,31,19,116,37,98,96
840,389,51,31,20,117,37,99,95
846,388,51,32,20,116,37,98,95
852,388,51,32,20,116,37,98,95
858,388,51,32,20,115,37,98,96
864,388,51,32,20,114,37,98,97
870,388,51,32,20,114,37,98,97
