Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated,,Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,161,25,92,76,,6,370.7333333,0,0.233333333,0,160.6666667,25.1,91.83333333,76.1
6,371,0,0,0,161,25,92,76,,12,370.5,0,0.433333333,0.033333333,160.3666667,25.2,91.83333333,76.23333333
6,371,0,0,0,161,25,92,76,,18,370.2666667,0,0.6,0.066666667,160.0333333,25.2,91.73333333,76.4
6,370,0,1,0,160,25,92,76,,24,370.0666667,0,0.7,0.133333333,159.8,25.13333333,91.7,76.53333333
6,371,0,0,0,161,25,92,76,,30,369.8333333,0,0.933333333,0.266666667,159.3666667,25.06666667,91.73333333,76.73333333
6,371,0,0,0,161,25,92,76,,36,369.6,0.033333333,1.2,0.333333333,158.9666667,25,91.73333333,76.86666667
6,371,0,0,0,162,25,92,75,,42,369.4666667,0.033333333,1.333333333,0.466666667,158.5666667,24.9,91.8,77.13333333
6,371,0,0,0,161,25,92,76,,48,369.3666667,0.1,1.5,0.566666667,158.3,24.86666667,91.83333333,77.23333333
6,371,0,0,0,161,25,92,76,,54,369.2333333,0.2,1.7,0.7,158.1333333,24.8,91.9,77.2
6,370,0,0,0,160,25,92,77,,60,369,0.3,2.033333333,0.766666667,157.8333333,24.83333333,91.86666667,77.26666667
6,371,0,0,0,160,25,92,77,,66,368.9,0.366666667,2.166666667,0.933333333,157.6,24.7,91.96666667,77.36666667
6,371,0,0,0,161,25,92,76,,72,368.8333333,0.533333333,2.4,1.066666667,157.0666667,24.63333333,91.93333333,77.66666667
6,371,0,0,0,160,25,92,77,,78,368.7333333,0.733333333,2.666666667,1.066666667,159.6666667,26.7,91.8,77.8
6,370,0,1,0,160,25,91,76,,84,368.6666667,0.9,2.9,1.166666667,159.5,26.7,91.76666667,77.83333333
6,371,0,0,0,161,26,92,76,,90,368.6666667,1.066666667,3.066666667,1.233333333,159.1333333,26.66666667,91.8,78.03333333
6,370,0,1,0,160,25,91,76,,96,368.8,1.4,3.266666667,1.3,158.7666667,26.6,91.83333333,78.16666667
6,371,0,0,0,161,26,92,76,,102,369.0333333,1.8,3.4,1.4,158.4666667,26.53333333,91.93333333,78.33333333
6,370,0,1,0,160,25,91,76,,108,368.9333333,2,3.666666667,1.433333333,157.9,26.53333333,91.83333333,78.63333333
6,370,0,1,0,160,25,91,76,,114,369,2.166666667,3.733333333,1.533333333,157.7333333,26.56666667,91.93333333,78.73333333
6,371,0,0,0,161,25,92,76,,120,369.0333333,2.5,4,1.566666667,157.3666667,26.56666667,91.9,78.86666667
6,370,0,1,0,159,25,92,77,,126,369.1666667,2.833333333,4.133333333,1.733333333,157,26.5,92.03333333,79.1
6,371,0,0,0,160,25,92,77,,132,369.4666667,3.266666667,4.266666667,1.8,156.8,26.4,92,79.16666667
6,371,0,0,0,161,25,92,76,,138,369.7,3.866666667,4.6,1.8,156.2333333,26.46666667,91.9,79.4
6,371,0,0,0,161,25,92,76,,144,370.1666667,4.433333333,4.666666667,1.9,156.0666667,26.4,91.96666667,79.5
6,371,0,0,0,163,26,92,74,,150,370.5333333,5.033333333,4.866666667,2,157.6,26.4,92,79.76666667
6,371,0,0,0,161,25,92,76,,156,370.9333333,5.633333333,5.033333333,2.1,157.1666667,26.3,92,80.03333333
6,371,0,0,0,161,25,92,76,,162,371.2666667,6.133333333,5.166666667,2.133333333,156.8666667,26.4,92,80.2
6,371,0,0,0,160,25,92,77,,168,371.3333333,6.566666667,5.5,2.166666667,156.4,26.5,91.93333333,80.33333333
6,370,0,1,0,160,25,91,76,,174,371.6,7.233333333,5.9,2.266666667,155.8666667,26.4,91.86666667,80.5
6,371,0,0,0,161,25,92,76,,180,371.9,7.666666667,6.033333333,2.333333333,155.6,26.4,91.8,80.63333333
12,371,0,0,0,161,25,92,76,,186,372.3333333,8.233333333,6.166666667,2.333333333,155.4333333,26.46666667,91.7,80.66666667
12,371,0,0,0,161,25,92,76,,192,373.0333333,9.133333333,6.366666667,2.333333333,155.1666667,26.46666667,91.6,80.73333333
12,371,0,0,0,160,25,92,77,,198,373.2666667,9.633333333,6.633333333,2.366666667,154.8,26.46666667,91.5,80.86666667
12,370,0,1,0,160,25,92,76,,204,373.5,10.26666667,7.033333333,2.4,154.3666667,26.53333333,91.4,80.9
12,371,0,0,0,161,25,92,76,,210,374,10.9,7.166666667,2.5,154.3,26.5,91.46666667,80.8
12,371,0,0,0,161,25,92,76,,216,374.5333333,11.6,7.3,2.5,153.9333333,26.5,91.36666667,81.03333333
12,371,0,0,0,162,25,92,75,,222,374.9333333,12.13333333,7.433333333,2.533333333,154.7333333,27.53333333,91.33333333,81.2
12,371,0,0,0,162,26,92,75,,228,375.3666667,12.86666667,7.733333333,2.6,154.2,27.53333333,91.33333333,81.46666667
12,370,0,1,0,162,26,92,75,,234,375.8333333,13.63333333,8,2.633333333,153.7,27.5,91.26666667,81.73333333
12,370,0,0,0,160,25,92,77,,240,376.2666667,14.3,8.233333333,2.733333333,153.5666667,27.56666667,91.23333333,81.63333333
12,371,0,0,0,160,25,92,77,,246,376.8333333,15.06666667,8.433333333,2.833333333,153.4333333,27.53333333,91.26666667,81.6
12,370,0,1,0,161,26,91,75,,252,377.2333333,15.76666667,8.733333333,2.9,153.1333333,27.56666667,91.2,81.6
12,371,0,0,0,160,25,92,77,,258,377.5666667,16.23333333,8.833333333,2.9,152.9333333,27.6,91.13333333,81.7
12,370,0,1,0,160,25,91,76,,264,377.7333333,16.73333333,9.133333333,2.933333333,152.4333333,27.6,91.06666667,81.9
12,371,0,0,0,161,26,92,76,,270,378.3666667,17.53333333,9.3,3.066666667,152.1666667,27.53333333,91.06666667,82
12,370,0,1,0,159,25,91,77,,276,378.6333333,18.03333333,9.533333333,3.133333333,151.8666667,27.5,90.93333333,82.06666667
12,371,0,0,0,161,26,92,76,,282,379.0666667,18.6,9.666666667,3.166666667,151.5666667,27.46666667,90.93333333,82.23333333
12,370,0,1,0,159,25,91,77,,288,379.3,19.1,9.866666667,3.2,151.4,27.53333333,90.9,82.23333333
12,370,0,1,0,160,25,91,76,,294,379.5666667,19.66666667,10.1,3.3,151.9666667,31.93333333,90.93333333,82.43333333
12,370,0,1,1,160,24,93,76,,300,379.9,20.2,10.26666667,3.3,151.7,31.93333333,90.83333333,82.53333333
12,370,0,1,0,159,25,92,77,,306,380.1333333,20.66666667,10.5,3.366666667,151.2,31.86666667,90.76666667,82.8
12,371,0,0,0,160,25,92,77,,312,380.5,21.23333333,10.7,3.533333333,150.8333333,31.73333333,90.8,82.96666667
12,371,0,0,0,161,25,92,76,,318,380.7333333,21.73333333,10.93333333,3.6,150.4,31.7,90.8,83.16666667
12,370,0,1,0,159,25,92,77,,324,381,22.13333333,11.06666667,3.666666667,150.2666667,31.76666667,90.76666667,83.13333333
12,369,0,2,0,161,26,92,74,,330,381.3666667,22.6,11.16666667,3.8,150.1333333,31.7,90.8,83.16666667
12,370,0,0,0,159,25,92,78,,336,381.7,23.23333333,11.46666667,3.9,149.7666667,31.7,90.73333333,83.26666667
12,371,0,0,0,162,26,92,75,,342,381.7333333,23.63333333,11.83333333,4,149.4333333,31.66666667,90.7,83.26666667
12,371,0,0,0,160,25,92,77,,348,381.9,24.06666667,12.1,4.066666667,149.0666667,31.63333333,90.56666667,83.4
12,370,0,1,0,159,25,91,77,,354,382.2333333,24.5,12.2,4.2,148.8333333,31.56666667,90.66666667,83.53333333
12,371,0,0,0,160,25,92,77,,360,382.3666667,24.83333333,12.4,4.3,148.5,31.6,90.66666667,83.66666667
18,371,0,0,0,162,26,92,75,,366,382.3,25.06666667,12.7,4.466666667,151.3333333,35.23333333,90.73333333,83.53333333
18,371,0,0,0,160,25,92,77,,372,382.3666667,25.36666667,12.9,4.633333333,150.8333333,35.06666667,90.86666667,83.83333333
18,370,0,1,0,159,25,91,77,,378,382.6333333,25.86666667,13.13333333,4.766666667,150.4333333,34.96666667,90.9,84
18,369,0,2,0,158,25,91,77,,384,382.8666667,26.33333333,13.33333333,4.8,150.2,35,90.86666667,84.06666667
