Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,233,144,2.478723404255319,1.5319148936170213,9.044042553191494,3.2761702127659578,
12,230,147,2.4468085106382977,1.5638297872340425,8.89329787234043,3.3435106382978725,
18,228,149,2.425531914893617,1.5851063829787233,8.827340425531919,3.397765957446808,
24,223,154,2.372340425531915,1.6382978723404256,8.63585106382979,3.4903191489361705,
30,221,156,2.351063829787234,1.6595744680851063,8.595425531914897,3.5190425531914897,
36,219,158,2.3297872340425534,1.6808510638297873,8.50393617021277,3.591382978723404,
42,217,160,2.3085106382978724,1.702127659574468,8.418829787234046,3.6764893617021275,
48,213,164,2.265957446808511,1.7446808510638299,8.239042553191494,3.760531914893617,
54,212,165,2.25531914893617,1.7553191489361701,8.219893617021281,3.733936170212766,
60,211,166,2.24468085106383,1.7659574468085106,8.20925531914894,3.739255319148936,
66,211,166,2.24468085106383,1.7659574468085106,8.20925531914894,3.739255319148936,
72,211,166,2.24468085106383,1.7659574468085106,8.20925531914894,3.739255319148936,
78,209,168,2.223404255319149,1.7872340425531914,8.140744680851068,3.746702127659574,
84,205,172,2.1808510638297873,1.8297872340425532,8.060957446808514,3.7881914893617017,
90,203,174,2.1595744680851063,1.851063829787234,8.00457446808511,3.80095744680851,
96,202,175,2.148936170212766,1.8617021276595744,7.993936170212769,3.816914893617021,
102,201,176,2.1382978723404253,1.872340425531915,7.962021276595748,3.838191489361702,
108,199,178,2.117021276595745,1.8936170212765957,7.867340425531919,3.8647872340425526,
114,197,180,2.095744680851064,1.9148936170212767,7.790744680851066,3.8764893617021268,
120,194,183,2.0638297872340425,1.946808510638298,7.68617021276596,3.908404255319148,
126,192,185,2.0425531914893615,1.9680851063829787,7.591489361702129,3.9094680851063823,
132,191,186,2.0319148936170213,1.9787234042553192,7.543617021276598,3.920106382978723,
138,188,189,2.0,2.0106382978723403,7.432978723404257,3.957234042553191,
144,187,190,1.9893617021276595,2.021276595744681,7.397021276595747,3.96595744680851,
150,187,190,1.9893617021276595,2.021276595744681,7.397021276595747,3.96595744680851,
156,187,190,1.9893617021276595,2.021276595744681,7.35872340425532,3.9648936170212763,
162,183,194,1.946808510638298,2.0638297872340425,7.212978723404256,4.05531914893617,
168,181,196,1.925531914893617,2.0851063829787235,7.112021276595746,4.068085106382979,
174,178,199,1.8936170212765957,2.117021276595745,7.013085106382979,4.118085106382979,
180,178,199,1.8936170212765957,2.117021276595745,7.002446808510639,4.169893617021276,
186,175,202,1.8617021276595744,2.148936170212766,6.9311702127659585,4.230531914893617,
192,174,203,1.851063829787234,2.1595744680851063,6.862021276595746,4.246489361702128,
198,174,203,1.851063829787234,2.1595744680851063,6.826914893617022,4.2390425531914895,
204,172,205,1.8297872340425532,2.1808510638297873,6.76968085106383,4.26904255319149,
210,172,205,1.8297872340425532,2.1808510638297873,6.76968085106383,4.26904255319149,
216,172,205,1.8297872340425532,2.1808510638297873,6.786702127659576,4.211595744680851,
222,173,204,1.8404255319148937,2.1702127659574466,6.8281914893617035,4.210531914893617,
228,172,205,1.8297872340425532,2.1808510638297873,6.806914893617023,4.214787234042553,
234,171,206,1.8191489361702127,2.1914893617021276,6.715425531914895,4.20627659574468,
240,169,208,1.797872340425532,2.2127659574468086,6.667553191489363,4.234999999999999,
246,168,209,1.7872340425531914,2.223404255319149,6.635638297872342,4.256276595744681,
252,167,210,1.7765957446808511,2.234042553191489,6.640957446808512,4.2597872340425535,
258,167,210,1.7765957446808511,2.234042553191489,6.640957446808512,4.2597872340425535,
264,167,210,1.7765957446808511,2.234042553191489,6.59308510638298,4.314787234042553,
270,165,212,1.7553191489361701,2.25531914893617,6.511170212765959,4.366914893617021,
276,163,214,1.7340425531914894,2.276595744680851,6.445212765957448,4.396702127659574,
282,160,217,1.702127659574468,2.3085106382978724,6.354468085106384,4.477553191489362,
288,161,216,1.7127659574468086,2.297872340425532,6.400531914893618,4.456276595744681,
294,161,216,1.7127659574468086,2.297872340425532,6.400531914893618,4.456276595744681,
300,160,217,1.702127659574468,2.3085106382978724,6.379255319148937,4.4605319148936164,
306,161,216,1.7127659574468086,2.297872340425532,6.384574468085107,4.4424468085106374,
312,159,218,1.6914893617021276,2.3191489361702127,6.337765957446808,4.46159574468085,
318,159,218,1.6914893617021276,2.3191489361702127,6.356914893617021,4.427553191489361,
324,158,219,1.6808510638297873,2.3297872340425534,6.303723404255319,4.438191489361701,
330,158,219,1.6808510638297873,2.3297872340425534,6.303723404255319,4.438191489361701,
336,158,219,1.6808510638297873,2.3297872340425534,6.303723404255319,4.438191489361701,
342,156,221,1.6595744680851063,2.351063829787234,6.210106382978723,4.502021276595744,
348,155,222,1.648936170212766,2.3617021276595747,6.125,4.5147872340425526,
354,156,221,1.6595744680851063,2.351063829787234,6.183510638297872,4.45627659574468,
360,155,222,1.648936170212766,2.3617021276595747,6.155851063829787,4.4605319148936164,
366,155,222,1.648936170212766,2.3617021276595747,6.155851063829787,4.4605319148936164,
