Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,689,0,4,73,111,112,142,233,18,1.087878787878788:1,184,
12,685,0,8,68,111,111,139,237,19,1.0757575757575757:1,186,
18,683,0,10,60,114,111,141,237,20,1.0759878419452888:1,186,
24,679,0,14,49,118,115,140,237,20,1.0828220858895705:1,187,
30,675,0,18,39,126,112,139,237,22,1.0833333333333333:1,186,
36,673,0,20,30,129,116,137,238,23,1.0771604938271604:1,185,
42,670,0,23,25,129,117,137,239,23,1.0743034055727554:1,184,
48,666,0,27,18,130,119,137,238,24,1.0683229813664596:1,184,
54,682,20,31,32,130,121,136,239,24,1.0542168674698795:1,185,
60,682,20,31,29,127,124,135,241,26,1.0542168674698795:1,187,
66,675,20,38,24,128,121,136,240,26,1.0642201834862386:1,186,
72,671,20,42,17,132,122,129,244,27,1.0646153846153845:1,187,
78,668,20,45,17,124,129,128,243,27,1.068111455108359:1,186,
84,666,20,47,15,118,133,124,248,28,1.074766355140187:1,189,
90,664,20,49,15,111,137,121,252,28,1.075:1,191,
96,661,20,52,14,109,136,119,254,29,1.0721003134796239:1,192,
102,657,20,56,14,107,135,116,256,29,1.0791139240506329:1,194,
108,656,20,57,14,105,133,118,256,30,1.0759493670886076:1,193,
114,652,20,61,14,99,134,120,256,29,1.0764331210191083:1,194,
120,649,20,64,14,96,132,120,258,29,1.0668789808917198:1,196,
126,695,70,68,51,102,136,117,260,29,1.0623145400593472:1,196,
132,685,70,78,49,99,137,113,258,29,1.082066869300912:1,197,
138,683,70,80,47,95,136,113,262,30,1.0886850152905199:1,200,
144,681,70,82,47,91,137,112,264,30,1.0889570552147239:1,203,
150,676,70,87,46,82,146,109,263,30,1.0993788819875776:1,206,
156,673,70,90,44,78,150,101,268,32,1.0965732087227413:1,208,
162,667,70,96,43,70,156,96,270,32,1.110759493670886:1,207,
168,663,70,100,43,63,159,94,271,33,1.1047619047619048:1,205,
174,660,70,103,42,52,164,95,274,33,1.1019108280254777:1,206,
180,656,70,107,42,41,171,93,274,35,1.1093247588424437:1,205,
186,651,70,112,41,38,169,96,272,35,1.1274509803921569:1,204,
192,648,70,115,39,30,176,92,275,36,1.131578947368421:1,206,
198,725,152,120,82,64,176,89,276,38,1.1198830409356726:1,207,
204,724,155,124,84,63,174,87,272,44,1.1107871720116618:1,200,
210,716,155,132,80,58,177,85,273,43,1.099706744868035:1,199,
216,714,155,134,79,54,181,80,277,43,1.1:1,201,
222,711,155,137,79,52,182,76,278,44,1.1035502958579881:1,202,
228,710,155,138,79,52,180,75,280,44,1.1005917159763314:1,203,
234,707,155,141,78,52,178,72,281,46,1.1041666666666667:1,203,
240,703,155,145,77,52,176,70,283,45,1.1111111111111112:1,204,
246,697,155,151,76,52,174,71,279,45,1.105740181268882:1,201,
252,695,155,153,75,52,174,69,279,46,1.106060606060606:1,200,
258,693,155,155,74,52,171,68,281,47,1.1063829787234043:1,201,
264,691,155,157,73,52,170,66,281,49,1.1003039513677813:1,201,
270,740,207,160,56,109,179,66,280,50,1.0786516853932584:1,199,
276,738,209,164,54,110,180,64,280,50,1.0788732394366196:1,199,
282,736,209,166,53,109,176,64,284,50,1.07909604519774:1,202,
288,728,209,174,51,109,175,61,282,50,1.0740740740740742:1,202,
294,725,209,177,49,109,172,64,281,50,1.0833333333333333:1,202,
300,721,209,181,47,108,169,66,280,51,1.0778097982708934:1,201,
306,717,209,185,46,106,165,69,279,52,1.0903790087463556:1,201,
312,714,209,188,45,106,161,69,280,53,1.087719298245614:1,199,
318,710,209,192,44,106,156,73,279,52,1.0943952802359882:1,199,
324,707,209,195,44,106,153,71,281,52,1.0917159763313609:1,199,
330,704,209,198,43,105,149,71,284,52,1.089020771513353:1,200,
336,700,209,202,41,105,144,72,286,52,1.0895522388059702:1,200,
342,764,275,204,69,109,172,75,288,51,1.059299191374663:1,201,
348,758,278,213,65,108,174,74,286,51,1.0542005420054201:1,198,
354,752,278,219,64,106,168,75,288,51,1.0434782608695652:1,198,
360,749,278,222,63,106,166,73,288,53,1.0520547945205478:1,198,
366,744,278,227,62,105,161,76,285,55,1.0495867768595042:1,195,
372,742,278,229,62,104,156,81,281,58,1.0497237569060773:1,193,
378,739,278,232,61,104,149,87,280,58,1.0470914127423823:1,192,
384,736,278,235,60,104,145,91,279,57,1.0501392757660166:1,192,
390,730,278,241,60,102,143,89,277,59,1.050561797752809:1,189,
396,726,278,245,59,102,140,89,275,61,1.0508474576271187:1,186,
402,722,278,249,57,102,137,90,275,61,1.0511363636363635:1,187,
408,718,278,253,56,102,132,92,275,61,1.0455840455840455:1,186,
414,786,350,257,127,102,129,95,273,60,1.0415584415584416:1,185,
420,786,353,260,74,93,190,95,274,60,1.046875:1,186,
426,781,353,265,73,93,185,97,274,59,1.055263157894737:1,186,
432,774,353,272,72,92,180,98,273,59,1.064:1,184,
438,771,353,275,71,92,174,104,270,60,1.0670241286863271:1,182,
444,763,353,283,69,92,165,111,268,58,1.0621621621621622:1,180,
450,755,353,291,64,92,160,114,266,59,1.0572207084468666:1,178,
456,748,353,298,63,92,150,121,263,59,1.0606060606060606:1,175,
462,746,353,300,63,92,144,125,263,59,1.0550964187327823:1,174,
468,739,353,307,62,91,137,130,262,57,1.0642458100558658:1,174,
474,734,353,312,60,91,131,135,262,55,1.0793201133144477:1,173,
480,730,353,316,59,90,129,137,261,54,1.0857142857142856:1,172,
486,722,353,324,54,89,122,142,259,56,1.0747126436781609:1,170,
492,773,406,326,53,105,155,143,261,56,1.106267029972752:1,172,
498,767,406,332,52,104,153,143,259,56,1.1013698630136985:1,170,
504,764,406,335,52,104,147,144,261,56,1.098901098901099:1,172,
510,760,406,339,51,104,142,148,258,57,1.105263157894737:1,170,
516,754,406,345,51,104,141,145,258,55,1.1179775280898876:1,170,
522,751,406,348,50,104,141,141,260,55,1.1214689265536724:1,171,
528,746,406,353,49,104,140,137,262,54,1.1253561253561253:1,172,
534,741,406,358,48,104,139,132,261,57,1.1354466858789625:1,171,
540,738,406,361,47,104,139,131,258,59,1.1329479768786128:1,168,
546,733,406,366,45,104,139,128,258,59,1.1432748538011697:1,168,
552,731,406,368,45,104,139,123,260,60,1.15:1,169,
558,728,406,371,45,104,139,119,260,61,1.1474926253687316:1,168,
564,782,465,376,58,96,182,124,263,59,1.1307901907356948:1,170,
570,774,465,384,56,97,178,125,259,59,1.1263736263736264:1,166,
576,768,465,390,56,97,177,121,257,60,1.139275766016713:1,168,
582,761,465,397,55,97,176,118,257,58,1.143661971830986:1,167,
588,755,465,403,55,96,175,111,258,60,1.1388101983002832:1,167,
594,751,465,407,55,96,174,106,262,58,1.1396011396011396:1,167,
600,747,465,411,55,96,174,99,265,58,1.146551724137931:1,171,
