Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,161,25,92,76,
12,371,0,0,0,160,25,92,77,
18,371,0,0,1,160,24,93,77,
24,371,0,0,1,160,24,93,77,
30,371,0,0,1,160,24,93,77,
36,371,0,0,2,160,23,94,77,
42,370,0,1,2,159,23,93,77,
48,371,1,1,2,159,23,93,77,
54,371,1,1,2,159,23,93,77,
60,371,1,1,2,159,23,93,77,
66,371,1,1,2,158,23,93,78,
72,372,2,1,2,158,23,93,78,
78,372,2,1,2,161,25,93,78,
84,372,2,1,2,161,25,93,78,
90,373,3,1,2,161,25,93,78,
96,373,3,1,2,160,25,93,79,
102,373,3,1,2,160,25,93,79,
108,373,3,1,2,160,25,93,79,
114,374,4,1,2,160,25,93,79,
120,374,4,1,3,160,24,94,79,
126,375,5,1,3,158,24,94,81,
132,375,5,1,3,157,24,94,82,
138,375,5,1,3,158,24,94,81,
144,376,6,1,3,158,24,94,81,
150,376,6,1,3,161,25,94,80,
156,378,9,1,3,160,25,94,81,
162,380,11,1,3,160,25,94,81,
168,381,13,1,3,160,25,94,81,
174,382,14,1,3,159,25,94,82,
180,382,14,1,3,159,25,94,82,
186,383,16,1,3,159,26,94,82,
192,382,16,1,3,159,27,94,82,
198,382,16,1,3,157,27,94,84,
204,382,17,2,3,156,27,94,84,
210,382,17,2,3,154,27,94,86,
216,385,20,2,3,154,27,94,86,
222,385,20,2,3,154,28,94,87,
228,385,21,3,3,153,28,93,87,
234,385,21,3,3,153,28,93,87,
240,385,21,3,3,153,28,93,87,
246,385,21,3,3,154,29,93,86,
252,386,22,3,3,154,29,93,86,
258,388,24,3,3,154,29,93,86,
264,389,25,3,3,154,29,93,86,
270,389,25,3,3,154,29,93,86,
276,390,26,3,3,154,29,93,86,
282,390,26,3,3,154,29,93,86,
288,391,27,3,3,155,30,93,85,
294,392,28,3,3,156,34,93,85,
300,393,29,3,3,156,34,93,85,
306,392,29,4,4,155,33,93,85,
312,392,29,4,4,154,33,93,86,
318,393,30,4,4,154,33,93,86,
324,393,30,4,4,154,33,93,86,
330,394,31,4,4,154,33,93,86,
336,395,32,4,4,154,33,93,86,
342,395,32,4,4,155,34,93,85,
348,396,33,4,4,155,34,93,85,
354,396,33,4,4,155,34,93,85,
360,397,34,4,5,155,34,94,85,
366,398,35,4,5,158,37,94,85,
372,398,35,4,5,158,37,94,85,
378,398,35,4,5,157,37,94,86,
384,398,36,5,5,156,37,94,86,
390,398,36,5,5,157,38,94,85,
396,398,36,5,5,157,38,94,85,
402,398,37,6,5,156,38,94,85,
408,399,38,6,5,156,38,94,85,
414,398,38,7,5,155,38,94,85,
420,397,38,8,5,154,38,93,85,
426,397,38,8,5,155,38,93,84,
432,397,38,8,5,155,38,93,84,
438,397,38,8,5,154,43,93,84,
444,398,39,8,5,154,43,93,84,
450,398,39,8,5,154,43,93,84,
456,398,39,8,6,154,42,94,84,
462,399,40,8,7,153,41,95,85,
468,399,40,8,7,153,41,95,85,
474,399,40,8,7,153,41,95,85,
480,399,40,8,8,153,40,96,85,
486,401,42,8,8,152,40,96,86,
492,401,42,8,8,152,40,96,86,
498,401,42,8,8,152,40,96,86,
504,401,42,8,8,152,40,96,86,
510,402,43,8,8,152,40,96,86,
516,402,43,8,8,151,40,96,86,
522,402,43,8,8,151,40,96,86,
528,402,43,8,8,151,40,96,86,
534,401,43,9,8,150,40,95,86,
540,400,43,10,8,149,40,95,86,
