Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,227,150,2.4148936170212765,1.5957446808510638,8.652553191489364,3.447446808510639,
12,219,158,2.3297872340425534,1.6808510638297873,8.344042553191493,3.5697872340425545,
18,211,166,2.24468085106383,1.7659574468085106,7.928085106382981,3.7623404255319164,
24,202,175,2.148936170212766,1.8617021276595744,7.2584042553191495,3.966063829787234,
30,199,178,2.117021276595745,1.8936170212765957,7.030957446808512,4.057765957446809,
36,195,182,2.074468085106383,1.9361702127659575,6.889574468085107,4.043936170212766,
42,184,193,1.9574468085106382,2.0531914893617023,6.447021276595746,4.214148936170213,
48,178,199,1.8936170212765957,2.117021276595745,6.185,4.283297872340426,
54,174,203,1.851063829787234,2.1595744680851063,5.9467021276595755,4.3035106382978725,
60,170,207,1.8085106382978724,2.202127659574468,5.799574468085107,4.3886170212765965,
66,168,209,1.7872340425531914,2.223404255319149,5.675744680851065,4.410957446808511,
72,164,213,1.7446808510638299,2.265957446808511,5.349148936170212,4.527978723404256,
78,160,217,1.702127659574468,2.3085106382978724,5.168297872340425,4.72159574468085,
84,159,218,1.6914893617021276,2.3191489361702127,5.1629787234042555,4.72691489361702,
90,156,221,1.6595744680851063,2.351063829787234,5.044148936170212,4.792446808510638,
96,151,226,1.6063829787234043,2.404255319148936,4.863297872340425,4.866489361702127,
102,150,227,1.5957446808510638,2.4148936170212765,4.846276595744681,4.871808510638298,
108,150,227,1.5957446808510638,2.4148936170212765,4.8664893617021265,4.926063829787235,
114,146,231,1.553191489361702,2.4574468085106385,4.74627659574468,4.998404255319149,
120,146,231,1.553191489361702,2.4574468085106385,4.74627659574468,4.998404255319149,
126,142,235,1.5106382978723405,2.5,4.542021276595744,5.096276595744681,
132,140,237,1.4893617021276595,2.521276595744681,4.526063829787233,5.159042553191489,
138,141,236,1.5,2.5106382978723403,4.534574468085105,5.11436170212766,
