Steps,Male 0-10,Male 10-20,Male 20-30,Male 30-40,Male 40-50,Male 50-60,Male 60-70,Male 70-80,Male 80-90,Male 90+,Female 0-10,Female 10-20,Female 20-30,Female 30-40,Female 40-50,Female 50-60,Female 60-70,Female 70-80,Female 80-90,Female 90+
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,
12,33,47,49,45,41,28,37,23,4,0,25,46,19,17,30,23,29,22,10,3,
18,33,47,49,45,41,28,37,23,4,0,25,46,19,17,30,23,29,22,10,3,
24,33,47,49,45,41,28,36,23,4,0,25,46,19,17,30,23,29,22,10,3,
30,33,47,49,45,41,28,36,23,4,0,25,46,19,17,30,23,29,22,10,3,
36,33,47,49,45,41,28,36,23,4,0,25,46,19,17,30,23,29,22,10,3,
42,33,47,49,45,41,28,36,23,4,0,25,46,19,17,30,23,29,22,10,3,
48,33,47,49,45,41,28,35,23,4,0,25,46,19,17,30,23,29,22,10,3,
54,33,47,49,45,41,28,35,23,4,0,25,46,19,17,30,23,29,22,10,3,
60,32,47,49,45,41,28,35,23,4,0,25,46,19,17,30,23,29,22,10,3,
66,32,47,49,45,41,28,35,23,4,0,25,46,19,17,30,23,29,22,10,3,
72,32,47,49,45,41,28,35,23,4,0,25,46,19,17,30,23,28,22,10,3,
78,32,46,47,43,44,29,35,24,4,0,25,43,20,18,28,25,28,22,10,3,
84,31,46,47,43,44,29,35,24,4,0,25,43,20,18,28,25,28,22,10,3,
90,31,46,47,43,44,29,35,24,4,0,25,43,20,18,28,25,28,22,10,3,
96,31,46,47,43,44,29,35,24,4,0,26,43,20,18,28,25,28,22,9,3,
102,31,46,47,43,44,29,35,24,4,0,26,43,20,18,28,25,28,22,9,3,
108,31,46,47,43,44,29,35,24,4,0,26,43,20,18,28,25,28,22,9,3,
114,31,46,47,43,44,29,35,24,4,0,26,43,20,18,28,25,28,22,9,3,
120,33,46,47,43,44,29,35,24,4,0,26,43,20,18,28,25,27,22,9,3,
126,33,46,47,43,44,29,35,24,4,0,26,42,20,18,28,25,27,22,9,3,
132,33,46,47,43,44,29,35,24,4,0,26,42,20,18,28,25,27,22,9,3,
138,33,46,47,43,44,29,35,24,4,0,26,42,20,18,28,25,26,22,9,3,
144,34,46,47,43,44,29,35,24,4,0,26,42,20,18,28,25,26,22,9,3,
150,34,45,46,41,46,32,33,24,6,0,24,42,20,19,25,25,28,23,10,3,
156,34,45,46,41,46,32,33,24,6,0,25,42,20,19,25,25,28,23,10,3,
162,34,45,46,41,46,32,33,24,6,0,26,42,20,19,25,25,28,23,10,3,
168,34,45,46,41,46,32,33,24,6,0,26,42,20,19,25,25,27,23,10,3,
174,35,45,46,41,46,32,33,24,6,0,25,42,20,19,25,25,27,23,10,3,
180,35,45,46,41,46,32,33,24,6,0,25,42,20,19,25,25,27,23,10,3,
186,35,45,46,41,46,32,33,24,6,0,25,42,20,19,25,25,27,23,10,3,
192,35,45,46,41,46,32,33,24,6,0,26,42,20,19,25,25,27,23,10,3,
198,35,45,46,41,46,32,33,24,6,0,27,42,20,19,25,25,27,23,10,3,
204,35,45,46,41,46,32,33,24,6,0,27,42,20,19,25,25,27,23,10,3,
210,35,45,46,41,46,32,33,24,6,0,27,42,20,19,25,25,27,23,10,3,
216,35,45,46,41,46,32,33,24,6,0,27,42,20,19,25,25,27,23,10,3,
222,33,42,48,38,51,30,34,24,8,0,28,37,22,20,27,24,27,24,10,3,
228,34,42,48,38,51,30,34,24,8,0,28,37,22,20,27,24,27,24,10,3,
234,34,42,48,38,51,30,34,24,8,0,28,37,22,20,27,24,27,24,10,3,
240,34,42,48,38,51,30,34,24,8,0,28,37,22,20,27,24,27,24,10,3,
246,36,42,48,38,51,30,34,24,8,0,28,37,22,20,27,24,27,24,10,3,
252,36,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
258,36,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
264,36,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
270,37,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
276,37,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
282,37,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
288,37,42,48,38,51,30,34,24,8,0,29,37,22,20,27,24,27,24,10,3,
294,37,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,12,3,
300,37,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,12,3,
306,38,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,12,3,
312,38,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,12,3,
318,38,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,11,3,
324,39,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,11,3,
330,39,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,11,3,
336,39,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,27,22,11,3,
342,39,38,45,40,55,30,33,24,10,0,27,38,23,19,24,28,26,22,11,3,
348,39,38,45,40,55,30,33,24,10,0,28,38,23,19,24,28,26,22,11,3,
354,39,38,45,40,55,30,33,24,10,0,28,38,23,19,24,28,26,22,11,3,
360,39,38,45,40,55,30,33,24,10,0,28,38,23,19,24,28,26,22,11,3,
366,38,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
372,38,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
378,39,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
384,40,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
390,40,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
396,40,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
402,40,31,47,46,50,35,27,28,11,1,27,36,26,18,23,28,28,20,13,3,
408,41,31,47,46,50,35,26,28,11,1,28,36,26,18,23,28,28,20,13,3,
414,41,31,47,46,50,35,25,28,11,1,28,36,26,18,23,28,28,20,13,3,
420,41,31,47,46,50,35,25,28,11,1,28,36,26,18,23,28,28,20,13,3,
426,42,31,47,46,50,35,25,28,11,1,28,36,26,18,23,28,27,20,13,3,
432,42,31,47,46,50,35,25,28,11,1,28,36,26,18,23,28,27,20,13,3,
438,43,30,42,46,51,39,22,32,11,1,27,34,29,16,22,29,27,22,13,3,
444,44,30,42,46,51,39,22,32,11,1,27,34,29,16,22,29,27,22,13,3,
450,44,30,42,46,51,39,22,32,11,1,27,34,29,16,22,29,27,22,12,3,
456,44,30,42,46,51,39,22,32,11,1,27,34,29,16,22,29,27,22,12,3,
462,44,30,42,46,51,39,22,32,11,1,27,34,29,16,22,29,27,22,12,3,
