Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,370,0,1,0,160,25,91,76,
12,370,0,1,0,159,25,91,77,
18,370,0,1,0,159,25,91,77,
24,370,0,1,0,159,25,91,77,
30,370,0,1,0,159,25,91,77,
36,370,0,1,0,159,25,91,77,
42,370,0,1,1,159,24,92,77,
48,370,0,1,1,159,24,92,77,
54,370,0,1,1,159,24,92,77,
60,371,1,1,1,159,24,92,77,
66,370,1,1,1,158,24,92,78,
72,368,1,3,1,156,24,90,78,
78,368,1,3,1,159,26,90,78,
84,368,1,3,2,160,26,91,77,
90,368,1,3,2,159,26,91,78,
96,367,1,4,2,158,26,91,78,
102,368,2,4,2,158,26,91,78,
108,368,2,4,2,156,26,91,80,
114,368,2,4,2,156,26,91,80,
120,368,2,4,2,156,26,91,80,
126,368,2,4,2,155,26,91,81,
132,370,4,4,2,155,26,91,81,
138,370,4,4,2,155,26,91,81,
144,369,4,4,3,154,25,92,82,
150,371,6,4,3,156,25,92,82,
156,372,7,4,3,154,25,92,84,
162,370,7,5,3,152,25,92,85,
168,370,7,5,3,153,26,92,84,
174,369,7,6,3,152,26,91,84,
180,370,8,6,3,152,26,91,84,
186,371,9,6,3,152,26,91,84,
192,370,9,7,3,151,26,91,84,
198,370,9,7,4,151,25,92,84,
204,370,10,8,4,151,25,92,83,
210,371,11,8,4,151,25,92,83,
216,373,13,8,4,150,25,92,84,
222,373,13,8,4,151,26,92,84,
228,374,15,9,4,150,26,92,84,
234,375,16,9,4,150,26,92,84,
240,377,18,9,4,151,27,92,83,
246,378,20,10,4,150,27,92,83,
252,380,22,10,4,150,27,92,83,
258,382,24,10,4,150,27,92,83,
264,383,25,10,4,150,27,92,83,
270,383,26,11,4,149,27,91,83,
276,384,27,11,4,149,27,91,83,
282,385,28,11,4,149,27,91,83,
288,385,28,11,4,149,27,91,83,
294,386,29,11,4,150,31,91,83,
300,386,29,11,4,150,31,91,83,
306,387,30,11,4,150,31,91,83,
312,388,31,11,4,150,31,91,83,
318,388,31,11,4,149,31,91,84,
324,388,31,11,4,150,31,91,83,
330,390,33,11,4,150,31,91,83,
336,390,34,12,4,149,31,90,83,
342,390,34,12,5,149,30,91,83,
348,387,34,15,5,146,30,88,83,
354,388,35,15,5,146,30,88,83,
360,390,37,15,5,146,30,88,83,
366,390,37,15,5,149,33,88,83,
372,390,37,15,5,149,33,88,83,
378,390,37,15,5,149,33,88,83,
384,389,37,16,5,148,33,88,83,
390,388,37,17,5,147,33,87,83,
396,390,39,17,5,147,33,87,83,
402,390,39,17,5,147,33,87,83,
408,389,39,18,5,146,33,87,83,
414,389,39,18,5,144,33,87,85,
420,391,41,18,5,144,33,87,85,
426,391,41,18,6,144,32,88,85,
432,391,41,18,6,144,32,88,85,
438,391,41,18,6,143,40,88,85,
444,390,41,19,6,141,40,88,86,
450,391,42,19,6,141,40,88,86,
456,391,42,19,6,141,40,88,86,
462,391,43,19,6,140,40,88,87,
468,391,43,19,6,139,40,88,88,
474,391,43,19,6,139,40,88,88,
480,391,43,19,7,139,39,89,88,
486,391,44,20,8,138,39,90,88,
492,391,44,20,8,138,38,90,88,
498,391,45,21,8,137,38,90,88,
504,392,46,21,8,137,38,90,88,
510,393,47,21,8,137,38,90,88,
516,393,47,21,8,136,39,90,88,
522,394,48,21,8,136,39,90,88,
528,395,49,21,8,136,39,90,88,
534,395,49,21,8,136,39,90,88,
540,395,49,21,8,136,39,90,88,
546,395,49,21,8,136,39,90,88,
552,395,49,21,8,135,39,90,89,
558,396,50,21,8,135,39,90,89,
564,396,50,21,8,134,39,90,90,
570,396,50,21,8,134,39,90,90,
576,396,50,21,8,134,39,90,90,
582,396,50,21,8,134,39,90,90,
588,396,50,21,8,132,40,90,90,
594,397,51,21,8,133,41,90,89,
600,398,52,21,8,133,41,90,89,
606,398,52,21,8,133,41,90,89,
612,398,52,21,8,133,41,90,89,
618,398,52,21,8,133,41,90,89,
624,399,53,21,8,133,41,90,89,
630,399,53,21,8,133,42,90,89,
636,400,54,21,8,133,42,90,89,
642,400,54,21,8,134,43,90,88,
648,399,54,22,8,133,43,90,88,
