Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,696,0,7,72,117,115,140,232,20,1.0232558139534884:1,192,
12,691,0,12,64,121,113,142,231,20,1.0383480825958702:1,191,
18,689,0,14,53,127,115,139,233,22,1.0445103857566767:1,193,
24,686,0,17,47,129,115,142,229,24,1.0356083086053411:1,190,
30,679,0,24,40,129,117,141,226,26,1.032934131736527:1,185,
36,677,0,26,32,127,125,138,228,27,1.026946107784431:1,184,
42,671,0,32,26,125,129,134,227,30,1.0333333333333334:1,182,
48,667,0,36,23,119,135,131,229,30,1.0335365853658536:1,183,
54,678,13,38,31,117,140,131,228,31,1.0421686746987953:1,181,
60,676,13,40,27,116,142,130,228,33,1.036144578313253:1,179,
66,674,13,42,20,119,143,125,232,35,1.0424242424242425:1,182,
72,670,13,46,12,124,143,123,232,36,1.0364741641337385:1,181,
78,666,13,50,12,119,147,120,232,36,1.036697247706422:1,183,
84,666,13,50,12,115,150,119,233,37,1.036697247706422:1,184,
90,661,13,55,12,111,154,116,232,36,1.0338461538461539:1,183,
96,659,13,57,11,106,155,119,229,39,1.0339506172839505:1,180,
102,658,13,58,11,103,154,120,226,44,1.0308641975308641:1,178,
108,656,13,60,11,100,152,117,230,46,1.0309597523219813:1,180,
114,652,13,64,11,96,152,114,235,44,1.0311526479750779:1,183,
120,648,13,68,11,90,155,114,234,44,1.0377358490566038:1,182,
126,707,77,73,60,96,156,110,237,48,1.067251461988304:1,184,
132,706,77,74,59,92,158,110,237,50,1.064327485380117:1,185,
138,704,77,76,59,85,164,109,235,52,1.064516129032258:1,184,
144,700,77,80,57,82,167,103,239,52,1.0588235294117647:1,185,
150,695,77,85,55,75,171,99,242,53,1.0562130177514792:1,184,
156,692,77,88,55,69,173,91,249,55,1.047337278106509:1,184,
162,689,77,91,54,58,183,90,249,55,1.0567164179104478:1,185,
168,683,77,97,52,53,183,88,251,56,1.0572289156626506:1,187,
174,678,77,102,51,47,186,88,248,58,1.0545454545454545:1,184,
180,676,77,104,50,44,187,82,254,59,1.0547112462006079:1,188,
186,672,77,108,48,37,191,80,255,61,1.0613496932515338:1,189,
192,668,77,112,47,32,195,78,253,63,1.068111455108359:1,188,
198,728,143,118,67,73,197,74,253,64,1.0681818181818181:1,188,
204,725,143,121,64,74,193,75,253,66,1.0655270655270654:1,188,
210,720,143,126,64,70,192,76,249,69,1.0571428571428572:1,182,
216,717,143,129,64,60,199,77,247,70,1.0544412607449856:1,180,
222,711,143,135,63,57,200,75,244,72,1.0549132947976878:1,178,
228,708,143,138,62,57,196,73,247,73,1.064139941690962:1,180,
234,702,143,144,60,56,191,75,246,74,1.0707964601769913:1,179,
240,701,143,145,60,56,190,71,250,74,1.0678466076696165:1,179,
246,695,143,151,60,56,188,72,245,74,1.0746268656716418:1,178,
252,693,143,153,59,56,183,76,243,76,1.0810810810810811:1,176,
258,687,143,159,57,55,180,76,244,75,1.0818181818181818:1,177,
264,683,143,163,57,55,177,77,243,74,1.0886850152905199:1,175,
270,722,190,171,45,101,186,77,241,72,1.0747126436781609:1,175,
276,722,191,172,46,101,185,78,240,72,1.0747126436781609:1,174,
